Title,Artist,Year,Country,Thumbnail
b'Improvisation 9',b'Wassily Kandinsky',b'1910',b'RU',https://az333960.vo.msecnd.net/images-0/improvisation-9-vasily-kandinsky-1910-013fe235.jpg
b'The Death of Medusa',b'Edward Burne-Jones',b'1888',b'GB',https://az334033.vo.msecnd.net/images-8/the-death-of-medusa-edward-burne-jones-1888-4884b45b.jpg
b'The Calling of Perseus',b'Edward Burne-Jones',b'1872',b'GB',https://az333959.vo.msecnd.net/images-5/the-calling-of-perseus-edward-burne-jones-1872-a4f261da.jpg
|b'The Gardener, Afternoon, Sun, \xc3\x89ragny'|,b'Camille Pissarro',b'\xc3\x89ragny',b'FR',https://az333960.vo.msecnd.net/images-8/the-gardener-afternoon-sun-eragny-camille-pissarro-9677eb37.jpg
b'Corpse of Christ',b'Annibale Carracci',b'1583',b'IT',https://az334033.vo.msecnd.net/images-1/corpse-of-christ-annibale-carracci-1583-15dd9e15.jpg
b'Bohemian landscape',b'Caspar David Friedrich',b'1808',b'DE',https://az333959.vo.msecnd.net/images-9/bohemian-landscape-caspar-david-friedrich-1808-1968b848.jpg
b'The Baleful Head',b'Edward Burne-Jones',b'1886',b'GB',https://az333959.vo.msecnd.net/images-7/the-baleful-head-edward-burne-jones-1886-de18bb17.jpg
b'B\xc3\xb6hmische Landschaft',b'Caspar David Friedrich',b'1808',b'DE',https://az334034.vo.msecnd.net/images-0/untitled-caspar-david-friedrich-1-472c1788.jpg
b'Composition with Red and Blue',b'Piet Mondrian',b'1936',b'NL',https://az334033.vo.msecnd.net/images-4/composition-with-red-and-blue-piet-mondrian-1936-0764bb54.jpg
b'Tobias healing his blind father',b'Rembrandt',b'father',b'NL',https://az334034.vo.msecnd.net/images-0/tobias-healing-his-blind-father-rembrandt-a5e70e61.jpg
b'Young woman with cats',b'Lovis Corinth',b'1904',,https://az334034.vo.msecnd.net/images-2/untitled-lovis-corinth-1904-98a6a681.jpg
b'The Doom Fulfilled',b'Edward Burne-Jones',b'1888',b'GB',https://az333960.vo.msecnd.net/images-4/the-doom-fulfilled-edward-burne-jones-1888-1-94d31dee.jpg
b'St. Paul in Prison',b'Rembrandt',b'1627',b'NL',https://az333960.vo.msecnd.net/images-9/st-paul-in-prison-rembrandt-1627-e7324082.jpg
b'Untitled',b'Hans Memling',b'1485',b'NL',https://az333959.vo.msecnd.net/images-9/untitled-hans-memling-1485-1-1009d1d7.jpg
b'The Finding of Medusa',b'Edward Burne-Jones',b'1888',b'GB',https://az333960.vo.msecnd.net/images-4/the-finding-of-medusa-edward-burne-jones-1888-fe4f6524.jpg
b'Perseus and the Graiae',b'Edward Burne-Jones',b'1892',b'GB',https://az333959.vo.msecnd.net/images-1/perseus-and-the-graiae-edward-burne-jones-1892-281def68.jpg
b'Cross in the Mountains',b'Caspar David Friedrich',b'1813',b'DE',https://az333960.vo.msecnd.net/images-9/cross-in-the-mountains-caspar-david-friedrich-1813-1593de55.jpg
b'The Rock of Doom',b'Edward Burne-Jones',b'1885',b'GB',https://az333960.vo.msecnd.net/images-7/the-rock-of-doom-edward-burne-jones-1885-f9a46d90.jpg
b'Leaving the Tavern',b'Jan Steen',b'1660',b'NL',https://az333959.vo.msecnd.net/images-6/leaving-the-tavern-jan-steen-1660-c5f0fb34.jpg
b'Bords de la Seine \xc3\xa0 Bougival',b'Camille Pissarro',b'1872',b'FR',https://az334034.vo.msecnd.net/images-7/bords-de-la-seine-a-bougival-camille-pissarro-1872-4c7fa93f.jpg
b"Fontainebleau. B\xc3\xbbcheronnes au pied d'un gros ch\xc3\xaane",b'Jean-Baptiste-Camille Corot',b'1872',b'FR',https://az333959.vo.msecnd.net/images-4/fontainebleau-bucheronnes-au-pied-d-un-gros-chene-camille-corot-1872-03f33e75.jpg
b'Le four \xc3\xa0 briques',b'Jean-Baptiste-Camille Corot',b'1840',b'FR',https://az333960.vo.msecnd.net/images-4/le-four-a-briques-camille-corot-1840-3fc501bf.jpg
b'Portrait de Mme Charles Maquet',b'Gustave Courbet',b'1856',b'FR',https://az334033.vo.msecnd.net/images-2/portrait-de-mme-charles-maquet-gustave-courbet-1856-32e3281e.jpg
b'Au coin de la chemin\xc3\xa9e',b'Auguste Renoir',b'1875',b'FR',https://az333960.vo.msecnd.net/images-7/au-coin-de-la-cheminee-pierre-auguste-renoir-1875-3f147f30.jpg
b'Portrait de Mme Chocquet en blanc',b'Auguste Renoir',b'1875',b'FR',https://az333959.vo.msecnd.net/images-4/portrait-de-mme-chocquet-en-blanc-pierre-auguste-renoir-1875-3489dc68.jpg
b'Bathers in front of a tend',b'Paul C\xc3\xa9zanne',b'1880',b'FR',https://az334033.vo.msecnd.net/images-1/bathers-in-front-of-a-tend-paul-cezanne-1880-1bfa33b2.jpg
b'Paris vu de Notre-Dame',b'\xc3\x89tienne Moreau-N\xc3\xa9laton',b'1898',,https://az334034.vo.msecnd.net/images-3/paris-vu-de-notre-dame-etienne-moreau-nelaton-1898-9a2e6adb.jpg
b'Le d\xc3\xa9jeuner du matin',b'\xc3\x89douard Vuillard',b'1900',b'FR',https://az334034.vo.msecnd.net/images-6/le-dejeuner-du-matin-edouard-vuillard-1900-b79baf60.jpg
b'Perseus and Andromeda',b'Eug\xc3\xa8ne Delacroix',b'1853',b'FR',https://az333959.vo.msecnd.net/images-7/perseus-and-andromeda-eugene-delacroix-1853-76cf2fcf.jpg
b'Where are you going? (I)',b'Paul Gauguin',b'1892',b'FR',https://az334033.vo.msecnd.net/images-0/where-are-you-going-i-paul-gauguin-1892-fc59729f.jpg
b'Monet in his Studio',b'Edouard Manet',b'Studio',b'FR',https://az333959.vo.msecnd.net/images-1/monet-in-his-studio-edouard-manet-a87babd8.jpg
b'Dans le jardin chez Vallotton',b'\xc3\x89douard Vuillard',b'1900',b'FR',https://az334033.vo.msecnd.net/images-1/dans-le-jardin-chez-vallotton-edouard-vuillard-1900-7e478943.jpg
b"Portrait de la m\xc3\xa8re de l'artiste",b'Paul Gauguin',b'1890',b'FR',https://az334034.vo.msecnd.net/images-1/portrait-de-la-mere-de-l-artiste-paul-gauguin-1890-7e6b71d1.jpg
b"Portrait d'une femme \xc3\xa0 la fourrure",b'Auguste Renoir',b'1866',b'FR',https://az334033.vo.msecnd.net/images-9/portrait-d-une-femme-a-la-fourrure-pierre-auguste-renoir-1866-57137100.jpg
b'Grazing Horses II',b'Franz Marc',b'1910',b'DE',https://az333959.vo.msecnd.net/images-5/grazing-horses-ii-franz-marc-1910-d14491a9.jpg
b'The Old Amsterdam Exchange (Beurs)',b'Jan van der Heyden',b'1667',b'NL',https://az334033.vo.msecnd.net/images-1/the-old-amsterdam-exchange-beurs-jan-van-der-heyden-1667-ba0f926b.jpg
b'Hans Jacob Freiherr zu Morsperg und Beffert',b'Hans Baldung',b'1525',,https://az333959.vo.msecnd.net/images-0/hans-jacob-freiherr-zu-morsperg-und-beffert-hans-baldung-1525-221e1f85.jpg
b'Hiver \xc3\xa0 Louveciennes',b'Alfred Sisley',b'1876',b'GB',https://az333960.vo.msecnd.net/images-8/hiver-a-louveciennes-alfred-sisley-1876-101e6e10.jpg
b'La soubrette \xc3\xa0 la fleur rouge',b'Jean-Baptiste-Camille Corot',b'1850',b'FR',https://az334033.vo.msecnd.net/images-5/la-soubrette-a-la-fleur-rouge-camille-corot-1850-f7b5d627.jpg
b'The Annunciation',b'Bartholom\xc3\xa4us Zeitblom',b'1496',,https://az333959.vo.msecnd.net/images-9/the-annunciation-bartholomaus-zeitblom-1496-88751493.jpg
b'Still-Life with Lobster and Nautilus Cup',b'Jan Davidsz de Heem',b'1634',,https://az333959.vo.msecnd.net/images-1/still-life-with-lobster-and-nautilus-cup-jan-davidsz-de-heem-1634-a855c067.jpg
b'Fabeltiere (Blaues Pferd und roter Hund)',b'Franz Marc',b'1913',b'DE',https://az333960.vo.msecnd.net/images-5/fabeltiere-blaues-pferd-und-roter-hund-franz-marc-1913-40539044.jpg
b'Deux baigneuses',b'Auguste Renoir',b'1918',b'FR',https://az334034.vo.msecnd.net/images-9/deux-baigneuses-pierre-auguste-renoir-1918-88bc5d8a.jpg
b'Herrenberg Altarpiece',b'Jerg Ratgeb',b'1519',,https://az333959.vo.msecnd.net/images-3/herrenberg-altarpiece-jerg-ratgeb-1519-c3b91944.jpg
b'Eschacher Altar: Die Heimsuchung Mariens',b'Bartholom\xc3\xa4us Zeitblom',b'1496',,https://az333959.vo.msecnd.net/images-8/eschacher-altar-die-heimsuchung-mariens-bartholomaus-zeitblom-1496-507153ef.jpg
b'Le bain',b'Paul C\xc3\xa9zanne',b'1880',b'FR',https://az334034.vo.msecnd.net/images-5/le-bain-paul-cezanne-1880-a139d70c.jpg
