Title,Artist,Year,Country,Thumbnail
b'Black Suprematic Square',b'Kazimir Malevich',b'1915',b'RU',https://az334034.vo.msecnd.net/images-8/black-suprematic-square-kazimir-malevich-1915-c9d7d69c.png
b'Suprematism',b'Kazimir Malevich',b'1915',b'RU',https://az334034.vo.msecnd.net/images-5/suprematism-kazimir-malevich-1915-531dc971.jpg
b'Suprematism',b'Olga Rozanova',b'Suprematism',b'RU',https://az334033.vo.msecnd.net/images-2/suprematism-olga-rozanova-4-d8a26638.jpg
b'Black Circle',b'Kazimir Malevich',b'1915',b'RU',https://az334033.vo.msecnd.net/images-5/black-circle-kazimir-malevich-1915-2c4ac6cb.jpg
b'Appearance of Jesus Christ to Maria Magdalena',b'Alexander Andreyevich Ivanov',b'1834',,https://az333960.vo.msecnd.net/images-7/appearance-of-jesus-christ-to-maria-magdalena-alexander-andreyevich-ivanov-1834-f420d72a.jpg
b'Non-Objective Composition. Color Painting',b'Olga Rozanova',b'1917',b'RU',https://az334033.vo.msecnd.net/images-4/non-objective-composition-color-painting-olga-rozanova-2-a4ad1569.jpg
b'The Last Supper',b'Nikolai Ge',b'1863',,https://az333959.vo.msecnd.net/images-4/the-last-supper-nikolai-ge-1863-68c93ffa.jpg
b'Ceremonial Sitting of the State Council on 7 May 1901...',b'Ilya Repin',b'1903',b'RU',https://az334034.vo.msecnd.net/images-1/ceremonial-sitting-of-the-state-council-on-7-may-1901-marking-the-centenary-of-its-foundation-ilya-repin-1903-5366623f.jpg
b'Barge Haulers on the Volga',b'Ilya Repin',b'1870',b'RU',https://az334034.vo.msecnd.net/images-1/barge-haulers-on-the-volga-ilya-repin-1870-0aa2fe26.jpg
b'The bath-house',b'Zinaida Serebriakova',b'1913',,https://az333959.vo.msecnd.net/images-4/untitled-zinaida-serebriakova-8d423792.jpg
b'Cyclist',b'Natalia Goncharova',b'1913',b'RU',https://az333959.vo.msecnd.net/images-6/cyclist-natalia-goncharova-80473af9.jpg
b'The Ninth Wave',b'Ivan Aivazovsky',b'1850',b'RU',https://az334034.vo.msecnd.net/images-8/the-ninth-wave-ivan-aivazovsky-1850-91f477b5.jpg
b'Red Square',b'Kazimir Malevich',b'1915',b'RU',https://az333959.vo.msecnd.net/images-4/red-square-kazimir-malevich-1915-56502bda.jpg
b'Red Cavalry Riding',b'Kazimir Malevich',b'1928',b'RU',https://az334034.vo.msecnd.net/images-5/red-cavalry-riding-kazimir-malevich-1928-da4c7692.jpg
b'Supremus #58: Yellow and Black',b'Kazimir Malevich',b'1916',b'RU',https://az334034.vo.msecnd.net/images-7/supremus-58-yellow-and-black-kazimir-malevich-1916-09dd0806.jpg
