Title,Artist,Year,Country,Thumbnail
b'Lozenge Composition with Two Lines',b'Piet Mondrian',b'1931',b'NL',https://az333959.vo.msecnd.net/images-9/lozenge-composition-with-two-lines-piet-mondrian-1931-65521472.jpg
b'The Woodcutter (recto) / Peasant Women in Church (verso)',b'Kazimir Malevich',b'1912',b'RU',https://az333959.vo.msecnd.net/images-2/the-woodcutter-recto-peasant-women-in-church-verso-kazimir-malevich-1912-fd8f9c0b.jpg
b'Suprematist Painting (with Black Trapezium and Red Square)',b'Kazimir Malevich',b'1915',b'RU',https://az333959.vo.msecnd.net/images-9/suprematist-painting-with-black-trapezium-and-red-square-kazimir-malevich-1915-755dee02.jpg
b'Peasant Woman with Buckets',b'Kazimir Malevich',b'1912',b'RU',https://az333959.vo.msecnd.net/images-0/peasant-woman-with-buckets-kazimir-malevich-1912-a95e3fdd.jpg
b'Nude Behind a Curtain (Fr\xc3\xa4nzi)',b'Ernst Ludwig Kirchner',b'1910',b'DE',https://az334033.vo.msecnd.net/images-6/nude-behind-a-curtain-franzi-ernst-ludwig-kirchner-1910-c8c167a3.jpg
b'Three Nudes in the Forest',b'Ernst Ludwig Kirchner',b'1908',b'DE',https://az333959.vo.msecnd.net/images-5/three-nudes-in-the-forest-ernst-ludwig-kirchner-1908-9b2f02ff.jpg
b'On Board',b'George Hendrik Breitner',b'1897',b'NL',https://az334033.vo.msecnd.net/images-4/on-board-george-hendrik-breitner-1897-95b83196.jpg
b'Lady on a Tram Station',b'Kazimir Malevich',b'1913',b'RU',https://az334033.vo.msecnd.net/images-0/woman-at-the-tram-stop-kazimir-malevich-1913-07b366c0.jpg
b'Englishman in Moscow',b'Kazimir Malevich',b'1914',b'RU',https://az334034.vo.msecnd.net/images-8/englishman-in-moscow-kazimir-malevich-465c0400.jpg
b'Suprematism: Self-Portrait in Two Dimensions',b'Kazimir Malevich',b'1915',b'RU',https://az333959.vo.msecnd.net/images-9/suprematism-self-portrait-in-two-dimensions-kazimir-malevich-1915-629e5739.jpg
b'Suprematist Painting: Eight Red Rectangles',b'Kazimir Malevich',b'1915',b'RU',https://az333960.vo.msecnd.net/images-8/suprematist-painting-eight-red-rectangles-kazimir-malevich-1915-d3271fb8.jpg
b'Suprematism with Blue Triangle and Black Square',b'Kazimir Malevich',b'1915',b'RU',https://az334034.vo.msecnd.net/images-1/suprematist-composition-with-blue-triangle-and-black-rectangle-kazimir-malevich-1915-1ebc428d.jpg
b'The Mill',b'Piet Mondrian',b'1908',b'NL',https://az333959.vo.msecnd.net/images-9/the-mill-piet-mondrian-1908-701f07f5.jpg
b'Head of a Peasant Girl',b'Kazimir Malevich',b'1913',b'RU',https://az334033.vo.msecnd.net/images-5/untitled-kazimir-malevich-1-3672a77a.jpg
b'Bottles and Peaches',b'Paul C\xc3\xa9zanne',b'1890',b'FR',https://az334034.vo.msecnd.net/images-0/bottles-and-peaches-paul-cezanne-1890-6fa266a0.jpg
b'Jan Wiegers',b'Ernst Ludwig Kirchner',b'1924',b'DE',https://az333960.vo.msecnd.net/images-6/jan-wiegers-ernst-ludwig-kirchner-1924-bbdb46f1.jpg
b'Reclining Nude',b'George Hendrik Breitner',b'1888',b'NL',https://az333959.vo.msecnd.net/images-9/reclining-nude-george-hendrik-breitner-1888-150a59e8.jpg
b'La Toilette I',b'Theo Molkenboer',b'1903',,https://az334034.vo.msecnd.net/images-8/la-toilette-i-theo-molkenboer-1903-1a638281.jpg
b'Cowshed',b'Lovis Corinth',b'1922',,https://az333960.vo.msecnd.net/images-4/cowshed-lovis-corinth-1922-0cd68993.jpg
b'The House of Master Adam Billaud at Nevers',b'Johan Jongkind',b'1874',,https://az333959.vo.msecnd.net/images-1/the-house-of-master-adam-billaud-at-nevers-johan-jongkind-1874-b42b44dc.jpg
b'Improvisation 33 (Orient I)',b'Wassily Kandinsky',b'1913',b'RU',https://az334033.vo.msecnd.net/images-1/improvisation-33-orient-i-vasily-kandinsky-1913-332b9ab4.jpg
b'Bridge with Rain / Rain and Wind',b'George Hendrik Breitner',b'1887',b'NL',https://az333959.vo.msecnd.net/images-9/bridge-with-rain-rain-and-wind-george-hendrik-breitner-1887-cb64e129.jpg
b'Painting with Houses',b'Wassily Kandinsky',b'1909',b'RU',https://az333960.vo.msecnd.net/images-0/painting-with-houses-vasily-kandinsky-1909-e8b94734.jpg
