Title,Artist,Year,Country,Thumbnail
b'Mont Sainte-Odile with Pagan Wall',b'Gustave Dor\xc3\xa9',b'1875',b'FR',https://az334034.vo.msecnd.net/images-6/mont-sainte-odile-with-pagan-wall-gustave-dore-1875-ecee0788.jpg
b'Houses and Reeds',b'F\xc3\xa9lix Vallotton',b'1921',b'CH',https://az333960.vo.msecnd.net/images-5/houses-and-reeds-felix-vallotton-1921-f2ec67a5.jpg
b'Old Factory on the River Somme (Evening)',b'Frits Thaulow',b'1896',,https://az334033.vo.msecnd.net/images-3/old-factory-on-the-river-somme-evening-frits-thaulow-1896-19c0908b.jpg
b'Christ Leaving the Court',b'Gustave Dor\xc3\xa9',b'1867',b'FR',https://az333959.vo.msecnd.net/images-6/christ-leaving-the-court-gustave-dore-1867-e7b8933c.jpg
b'River in the Alps',b'Gustave Dor\xc3\xa9',b'1849',b'FR',https://az333959.vo.msecnd.net/images-8/river-in-the-alps-gustave-dore-1849-fe69492d.jpg
b'The Golgotha',b'Gustave Dor\xc3\xa9',b'1877',b'FR',https://az334034.vo.msecnd.net/images-9/the-golgotha-gustave-dore-1877-7411e631.jpg
b'Sweet trifles',b'Wassily Kandinsky',b'trifles',b'RU',https://az333960.vo.msecnd.net/images-4/sweet-trifles-vasily-kandinsky-bf21bdd4.jpg
b'Condemned Christ',b'Gustave Dor\xc3\xa9',b'1877',b'FR',https://az334034.vo.msecnd.net/images-1/condemned-christ-gustave-dore-1877-56b9a28c.jpg
b'Extasy',b'Jean Benner',b'Extasy',b'FR',https://az333959.vo.msecnd.net/images-9/extasy-jean-benner-06b23365.jpg
b'The Small Factory',b'Camille Pissarro',b'Factory',b'FR',https://az334033.vo.msecnd.net/images-7/the-small-factory-camille-pissarro-80752532.jpg
b'Loch Leven',b'Gustave Dor\xc3\xa9',b'1878',b'FR',https://az334034.vo.msecnd.net/images-0/loch-leven-gustave-dore-1878-e77bfa09.jpg
b'Pyrenean Landscape',b'Gustave Dor\xc3\xa9',b'1875',b'FR',https://az333960.vo.msecnd.net/images-7/pyrenean-landscape-gustave-dore-1875-1915a3f0.jpg
b'The Fall of the Rebel Angels',b'Gustave Dor\xc3\xa9',b'1866',b'FR',https://az334033.vo.msecnd.net/images-4/the-fall-of-the-rebel-angels-gustave-dore-1866-5e4b82ba.jpg
b'Christian Martyrs',b'Gustave Dor\xc3\xa9',b'1871',b'FR',https://az334034.vo.msecnd.net/images-2/christian-martyrs-gustave-dore-1871-cef84c7c.jpg
b'Evening in Alsace',b'Gustave Dor\xc3\xa9',b'1869',b'FR',https://az333960.vo.msecnd.net/images-2/evening-in-alsace-gustave-dore-1869-29b1b53d.jpg
b'Antibes le soir',b'Paul Signac',b'1914',b'FR',https://az333959.vo.msecnd.net/images-8/antibes-le-soir-paul-signac-1914-7842cd1f.jpg
b'Self-portrait',b'Louise Catherine Breslau',b'1891',,https://az334034.vo.msecnd.net/images-9/self-portrait-louise-catherine-breslau-1891-70601a17.jpg
b'still-life in front of an engraving of Delacroix',b'Paul Gauguin',b'1887',b'FR',https://az333960.vo.msecnd.net/images-3/still-life-in-front-of-an-engraving-of-delacroix-paul-gauguin-1887-0e8e02af.jpg
b'Fleurs et singes',b'Georges Kars',b'1945',,https://az334033.vo.msecnd.net/images-9/fleurs-et-singes-georges-kars-1945-142ff734.jpg
b'Sitting nude',b'Georges Kars',b'1921',,https://az334034.vo.msecnd.net/images-1/sitting-nude-georges-kars-1921-155cc27e.jpg
b'The old people',b'Maurice Eliot',b'1892',,https://az333959.vo.msecnd.net/images-1/the-old-people-maurice-eliot-1892-63d1c497.jpg
b'Portrait of Albert Schweitzer',b'\xc3\x89mile Schneider',b'1912',,https://az333960.vo.msecnd.net/images-4/portrait-of-albert-schweitzer-emile-schneider-1912-2fd50128.jpg
b'Untitled',b'Gaston La Touche',b'1913',,https://az333959.vo.msecnd.net/images-3/untitled-gaston-la-touche-1913-1-8db401ab.jpg
b'Clo\xc3\xaetre des Jacobins \xc3\xa0 Toulouse',b'Paul Jamot',b'1940',,https://az333959.vo.msecnd.net/images-8/cloitre-des-jacobins-a-toulouse-paul-jamot-1940-10e855f2.jpg
b'Portrait of Alfred Marzolff',b'\xc3\x89mile Schneider',b'1927',,https://az333960.vo.msecnd.net/images-1/portrait-of-alfred-marzolff-emile-schneider-1927-b41cc6db.jpg
b'Marine',b'Hendrik Willem Mesdag',b'1895',b'NL',https://az333959.vo.msecnd.net/images-5/marine-hendrik-willem-mesdag-1895-81aac4d9.jpg
b'Untitled',b'Gaston La Touche',b'1913',,https://az334034.vo.msecnd.net/images-3/untitled-gaston-la-touche-1913-5d5d8836.jpg
b'Portrait d\xe2\x80\x99Elsa Koeberl\xc3\xa9',b'Eug\xc3\xa8ne Carri\xc3\xa8re',b'1903',b'FR',https://az333960.vo.msecnd.net/images-8/portrait-d-elsa-koeberle-eugene-carriere-1903-a82c7a0e.jpg
b'Le Troupeau de Vieux-Ferrette',b'Henri Zuber',b'1883',,https://az333960.vo.msecnd.net/images-8/le-troupeau-de-vieux-ferrette-henri-zuber-1883-2753cce5.jpg
b'Portrait de Gustave Dor\xc3\xa9',b'Carolus-Duran',b'1877',b'FR',https://az334033.vo.msecnd.net/images-4/portrait-de-gustave-dore-carolus-duran-1877-30c6df98.jpg
b'Portrait de Madame Herbin',b'Auguste Herbin',b'1922',,https://az333959.vo.msecnd.net/images-2/portrait-de-madame-herbin-auguste-herbin-1922-531bf02f.jpg
b'Paysage avec maisons',b'Alfred Sisley',b'1873',b'GB',https://az333959.vo.msecnd.net/images-8/paysage-avec-maisons-alfred-sisley-1873-215a6e31.jpg
b'La R\xc3\xa9volution',b'Ren\xc3\xa9 Beeh',b'1918',,https://az333959.vo.msecnd.net/images-0/la-revolution-rene-beeh-1918-4df605c8.jpg
b'Landscape',b'Jehan Georges Vibert',b'1862',,https://az334033.vo.msecnd.net/images-2/landscape-jehan-georges-vibert-1862-87950a8c.jpg
b'La cueillette du houblon en Alsace',b'Fr\xc3\xa9d\xc3\xa9ric Th\xc3\xa9odore Lix',b'Alsace',,https://az334033.vo.msecnd.net/images-0/la-cueillette-du-houblon-en-alsace-frederic-theodore-lix-760500d4.jpg
b'Nude Woman in a Park',b'Aizik Feder',b'1943',,https://az334033.vo.msecnd.net/images-8/nude-woman-in-a-park-aizik-feder-1943-0368731f.jpg
b'Portrait de Richard Pr\xc3\xa8',b'Georges Kars',b'1939',,https://az334034.vo.msecnd.net/images-9/portrait-de-richard-pre-georges-kars-1939-9cf9a427.jpg
