Title,Artist,Year,Country,Thumbnail
b'The Luncheon (Le D\xc3\xa9jeuner)',b'Claude Monet',b'1868',b'FR',https://az334034.vo.msecnd.net/images-5/the-luncheon-claude-monet-cdec2e40.jpg
b'The Geographer',b'Johannes Vermeer',b'1668',b'NL',https://az334033.vo.msecnd.net/images-8/the-geographer-johannes-vermeer-1668-bfbc16c6.jpg
b'Portrait of a Young Woman',b'Sandro Botticelli',b'1480',b'IT',https://az333960.vo.msecnd.net/images-3/portrait-of-a-young-woman-sandro-botticelli-1480-d5d2a60f.jpg
b'David playing the harp before Saul',b'Rembrandt',b'1629',b'NL',https://az334034.vo.msecnd.net/images-8/david-playing-the-harp-before-saul-rembrandt-1629-47020276.jpg
b'The Blinding of Samson',b'Rembrandt',b'1636',b'NL',https://az333960.vo.msecnd.net/images-1/the-blinding-of-samson-rembrandt-1636-4b371ca4.jpg
b'Saint with two angels',b'Parmigianino',b'1523',b'IT',https://az334034.vo.msecnd.net/images-6/saint-with-two-angels-parmigianino-1523-46f67581.jpg
b'Two Women with a Washbasin; The Sisters',b'Ernst Ludwig Kirchner',b'1913',b'DE',https://az333959.vo.msecnd.net/images-5/untitled-ernst-ludwig-kirchner-16-6d2c7f9d.jpg
b"The Artist's Studio",b'Hubert Robert',b'1760',b'FR',https://az333959.vo.msecnd.net/images-2/the-artist-s-studio-hubert-robert-1760-26c45a4a.jpg
b'Sunset',b'Eug\xc3\xa8ne Delacroix',b'1850',b'FR',https://az333960.vo.msecnd.net/images-2/sunset-eugene-delacroix-1850-96d0508e.gif
b'Young Girl Reading',b'Auguste Renoir',b'1886',b'FR',https://az334034.vo.msecnd.net/images-3/young-girl-reading-pierre-auguste-renoir-1886-843766aa.jpg
b'Orchestra Musicians',b'Edgar Degas',b'1874',b'FR',https://az333960.vo.msecnd.net/images-0/untitled-edgar-degas-1874-1-0e90a284.jpg
b'After the Luncheon',b'Auguste Renoir',b'1879',b'FR',https://az334033.vo.msecnd.net/images-1/after-the-luncheon-pierre-auguste-renoir-dea6c75e.jpg
b'The Croquet Game',b'Edouard Manet',b'Game',b'FR',https://az334034.vo.msecnd.net/images-6/the-croquet-game-edouard-manet-c0dd512b.jpg
b'Ritratto di giovane dal berretto rosso',b'Titian',b'1516',b'IT',https://az333959.vo.msecnd.net/images-8/untitled-titian-1516-1-c0a5ed0c.jpg
b'View of Frankfurt am Main',b'Gustave Courbet',b'1858',b'FR',https://az334033.vo.msecnd.net/images-4/view-of-frankfurt-am-main-gustave-courbet-1858-8ab7cafc.jpg
|b'Portrait of Beatrix Pacheco, Countess of Montbel und...'|,b'Jean Clouet',b'1550',,https://az334033.vo.msecnd.net/images-9/portrait-of-beatrix-pacheco-countess-of-montbel-und-entremonts-jean-clouet-1550-30e09805.jpg
b'Landscape during a Thunderstorm with Pyramus and Thisbe',b'Nicolas Poussin',b'Thisbe',b'FR',https://az333959.vo.msecnd.net/images-5/landscape-during-a-thunderstorm-with-pyramus-and-thisbe-nicolas-poussin-7218c6e9.jpg
b'Portrait of a woman',b'Frans Hals',b'woman',b'NL',https://az334034.vo.msecnd.net/images-8/portrait-of-a-woman-frans-hals-89b47d53.jpg
b'Accordion Player by Moonlight',b'Ernst Ludwig Kirchner',b'1924',b'DE',https://az333959.vo.msecnd.net/images-5/untitled-ernst-ludwig-kirchner-1924-5486bdbb.jpg
b'Landscape with the Rosenberg in the Bohemian Mountains',b'Caspar David Friedrich',b'1835',b'DE',https://az333959.vo.msecnd.net/images-6/landscape-with-the-rosenberg-in-the-bohemian-mountains-caspar-david-friedrich-1835-ccc26827.jpg
b'The Crucified Thief',b'Robert Campin',b'1430',,https://az334033.vo.msecnd.net/images-2/untitled-robert-campin-1430-4-4f0f6e75.jpg
b'Medici Madonna',b'Rogier van der Weyden',b'1460',,https://az334033.vo.msecnd.net/images-3/medici-madonna-rogier-van-der-weyden-1460-4a0cd941.jpg
b'Portrait of a Young F\xc3\xbcrleger with Loose Hair',b'Albrecht D\xc3\xbcrer',b'1497',b'DE',https://az334033.vo.msecnd.net/images-0/portrait-of-a-young-furleger-with-loose-hair-albrecht-durer-1497-c6b2cecf.jpg
b'The Wave',b'Gustave Courbet',b'1869',b'FR',https://az334033.vo.msecnd.net/images-4/the-wave-gustave-courbet-1869-1-54e85f24.jpg
b'Ecce Homo',b'Hieronymus Bosch',b'1476',b'NL',https://az333959.vo.msecnd.net/images-9/ecce-homo-hieronymus-bosch-1476-11fb790b.jpg
b'Winter Landscape near Haarlem',b'Jacob van Ruisdael',b'Haarlem',b'NL',https://az334034.vo.msecnd.net/images-9/winter-landscape-near-haarlem-jacob-van-ruisdael-4db9d762.jpg
