Title,Artist,Year,Country,Thumbnail
b"Canoe on the Epte (En canot sur l'Epte ou Cano\xc3\xa9 sur l'Epte)",b'Claude Monet',b'1890',b'FR',https://az334034.vo.msecnd.net/images-7/boating-on-the-river-epte-claude-monet-1890-84cd620f.jpg
b'Landscape with Couple Walking and Crescent Moon',b'Vincent van Gogh',b'1890',b'NL',https://az334033.vo.msecnd.net/images-2/landscape-with-couple-walking-and-crescent-moon-vincent-van-gogh-420ae0bb.jpg
b'Resurrection of Christ',b'Raphael',b'1501',b'IT',https://az334034.vo.msecnd.net/images-7/resurrection-of-christ-raphael-1501-e3d50e9e.jpg
b'Monsieur Fourcade',b'Henri de Toulouse-Lautrec',b'1889',b'FR',https://az334034.vo.msecnd.net/images-8/untitled-henri-de-toulouse-lautrec-1889-1-b695ecdf.jpg
b'Madonna Willys',b'Giovanni Bellini',b'1480',b'IT',https://az333960.vo.msecnd.net/images-7/madonna-willys-giovanni-bellini-1480-a6a584c4.jpg
b'Ill-Matched Marriage',b'Quentin Matsys',b'1525',b'BE',https://az333960.vo.msecnd.net/images-2/ill-matched-marriage-quentin-matsys-1525-30edf96f.jpg
b'Portrait of Madame Georges Van Muyden',b'Amedeo Modigliani',b'1917',b'IT',https://az334033.vo.msecnd.net/images-8/portrait-of-madame-georges-van-muyden-amedeo-modigliani-1917-7d9412b1.jpg
b'Portrait of Diego Rivera',b'Amedeo Modigliani',b'1914',b'IT',https://az334034.vo.msecnd.net/images-2/untitled-amedeo-modigliani-4-2853e22e.jpg
b'Pink and Blue',b'Auguste Renoir',b'1881',b'FR',https://az333959.vo.msecnd.net/images-1/pink-and-blue-pierre-auguste-renoir-1881-e12fb6c6.jpg
b'The Annunciation',b'El Greco',b'1600',b'GR',https://az334033.vo.msecnd.net/images-3/untitled-el-greco-1600-2-0a0e7940.jpg
b'Blonde Nymph',b'Paul \xc3\x89mile Chabas',b'Nymph',b'FR',https://az333960.vo.msecnd.net/images-3/blonde-nymph-paul-emile-chabas-5ebf9a49.jpg
b'Portrait of a Lady',b'Paul \xc3\x89mile Chabas',b'Lady',b'FR',https://az333959.vo.msecnd.net/images-3/portrait-of-a-lady-paul-emile-chabas-24721798.jpg
b'Retrato de madame Hanka Zborowska',b'Amedeo Modigliani',b'1918',b'IT',https://az333960.vo.msecnd.net/images-2/untitled-amedeo-modigliani-1918-30d0e0d7.jpg
b'Ecstasy of Saint Francis Receiving the Stigmata',b'El Greco',b'1600',b'GR',https://az334033.vo.msecnd.net/images-2/untitled-el-greco-38-b551a1ae.jpg
b"The Artist's Workshop",b'Jos\xc3\xa9 Ferraz de Almeida J\xc3\xbanior',b'1886',b'BR',https://az333959.vo.msecnd.net/images-4/the-artist-s-workshop-jose-ferraz-de-almeida-junior-1886-4ba9e701.jpg
b"L'Arl\xc3\xa9sienne",b'Vincent van Gogh',b'1890',b'NL',https://az333959.vo.msecnd.net/images-8/l-arlesienne-vincent-van-gogh-1890-0e74b949.jpg
b'Rose in a Glass',b'Jean-Baptiste-Camille Corot',b'1874',b'FR',https://az334033.vo.msecnd.net/images-7/untitled-jean-baptiste-camille-corot-1874-1-61889c82.jpg
b'Paul Alexis reading to \xc3\x89mile Zola',b'Paul C\xc3\xa9zanne',b'1869',b'FR',https://az333960.vo.msecnd.net/images-5/untitled-paul-cezanne-1869-07ae8bd0.jpg
b'Portrait of a Young Man with a Golden Chain',b'Rembrandt',b'1635',b'NL',https://az333960.vo.msecnd.net/images-5/portrait-of-a-young-man-with-a-golden-chain-rembrandt-1635-cdf6cc5a.jpg
b'Portrait of the Count-Duke of Olivares',b'Diego Vel\xc3\xa1zquez',b'1624',b'ES',https://az333960.vo.msecnd.net/images-5/portrait-of-the-count-duke-of-olivares-diego-velazquez-1624-450fd509.jpg
b'The Bath of Diana',b'Fran\xc3\xa7ois Clouet',b'Diana',,https://az334034.vo.msecnd.net/images-5/the-bath-of-diana-francois-clouet-412e9c3a.jpg
b'Portrait of an officer',b'Frans Hals',b'1631',b'NL',https://az333960.vo.msecnd.net/images-9/portrait-of-an-officer-frans-hals-1631-320097dc.jpg
