Title,Artist,Year,Country,Thumbnail
|b'Carnation, Lily, Lily, Rose'|,b'John Singer Sargent',b'1886',b'US',https://az334033.vo.msecnd.net/images-6/carnation-lily-lily-rose-john-singer-sargent-1885-b99a2b0d.jpg
b'The Lady of Shalott',b'John William Waterhouse',b'1888',b'GB',https://az334034.vo.msecnd.net/images-1/the-lady-of-shalott-john-william-waterhouse-1888-77e64f15.jpg
b'The Awakening Conscience',b'William Holman Hunt',b'1853',b'GB',https://az333959.vo.msecnd.net/images-5/the-awakening-conscience-william-holman-hunt-1853-1-eea188ee.jpg
b'The Magic Circle',b'John William Waterhouse',b'1886',b'GB',https://az333959.vo.msecnd.net/images-1/the-magic-circle-john-william-waterhouse-1886-2-d25a5f4a.jpg
b'Venice with the Salute',b'Joseph Mallord William Turner',b'1840',b'GB',https://az334033.vo.msecnd.net/images-5/venice-with-the-salute-j-m-w-turner-1840-53cdb8a4.jpg
b'The Scarlet Sunset',b'Joseph Mallord William Turner',b'1840',b'GB',https://az333960.vo.msecnd.net/images-9/the-scarlet-sunset-joseph-mallord-william-turner-1830-95ac06f7.jpg
b'Dew-Drenched Furze',b'John Everett Millais',b'1889',b'GB',https://az333959.vo.msecnd.net/images-5/dew-drenched-furze-john-everett-millais-1889-fe4a841e.jpg
b'Claudio and Isabella',b'William Holman Hunt',b'1850',b'GB',https://az333960.vo.msecnd.net/images-2/claudio-and-isabella-william-holman-hunt-1850-0b42dc2c.jpg
b'The Order of Release',b'John Everett Millais',b'1852',b'GB',https://az333959.vo.msecnd.net/images-8/the-order-of-release-john-everett-millais-1852-5325f224.jpg
b'Hearts are Trumps',b'John Everett Millais',b'1872',b'GB',https://az333959.vo.msecnd.net/images-6/hearts-are-trumps-john-everett-millais-1872-f2b42508.jpg
b'Ellen Terry as Lady Macbeth',b'John Singer Sargent',b'1889',b'US',https://az333959.vo.msecnd.net/images-9/ellen-terry-as-lady-macbeth-john-singer-sargent-1889-4a386735.jpg
b'Mariana',b'John Everett Millais',b'1851',b'GB',https://az333959.vo.msecnd.net/images-9/mariana-john-everett-millais-1851-1-0170f97c.jpg
b'Abstract Speed - The Car has Passed',b'Giacomo Balla',b'1913',b'IT',https://az333959.vo.msecnd.net/images-4/abstract-speed-the-car-has-passed-giacomo-balla-1913-e8000691.jpg
b'The Wedding of St George and Princess Sabra',b'Dante Gabriel Rossetti',b'1857',b'GB',https://az333959.vo.msecnd.net/images-8/the-wedding-of-st-george-and-princess-sabra-dante-gabriel-rossetti-1857-247bc616.jpg
b'The Gallery of HMS Calcutta (Portsmouth)',b'James Tissot',b'1876',b'FR',https://az334034.vo.msecnd.net/images-9/untitled-james-tissot-1-b8f6fe55.jpg
b'Portsmouth Dockyard',b'James Tissot',b'1877',b'FR',https://az334034.vo.msecnd.net/images-3/portsmouth-dockyard-james-tissot-1877-8f3c6d6f.jpg
b'The Bath of Psyche',b'Frederic Leighton',b'1889',b'GB',https://az333960.vo.msecnd.net/images-9/the-bath-of-psyche-frederic-leighton-1889-05b9039d.jpg
b'Portrait of Mrs Robert Harrison',b'John Singer Sargent',b'1886',b'US',https://az334033.vo.msecnd.net/images-2/mrs-robert-harrison-john-singer-sargent-1886-fb2dbd5c.jpg
|b'Morning amongst the Coniston Fells, Cumberland'|,b'Joseph Mallord William Turner',b'1798',b'GB',https://az334033.vo.msecnd.net/images-8/morning-amongst-the-coniston-fells-cumberland-j-m-w-turner-1798-d2339f9f.jpg
b'A Sleeping Girl',b'Albert Joseph Moore',b'1875',b'GB',https://az333959.vo.msecnd.net/images-8/a-sleeping-girl-albert-joseph-moore-1875-597ae986.jpg
b'Beata Beatrix',b'Dante Gabriel Rossetti',b'1872',b'GB',https://az334033.vo.msecnd.net/images-5/beata-beatrix-dante-gabriel-rossetti-1872-7813b874.jpg
b'Sancta Lilias',b'Dante Gabriel Rossetti',b'Lilias',b'GB',https://az333960.vo.msecnd.net/images-0/sancta-lilias-dante-gabriel-rossetti-6849495a.jpg
b'Celebes',b'Max Ernst',b'1921',b'DE',https://az334033.vo.msecnd.net/images-8/celebes-max-ernst-1921-8802143f.jpg
|b'Bridge of Sighs, Ducal Palace and Custom House, Venice:...'|,b'Joseph Mallord William Turner',b'1833',b'GB',https://az333960.vo.msecnd.net/images-5/bridge-of-sighs-ducal-palace-and-custom-house-venice-canaletti-painting-j-m-w-turner-1833-d88bb465.jpg
|b'The Dogano, San Giorgio, Citella, from the Steps of the...'|,b'Joseph Mallord William Turner',b'1842',b'GB',https://az334033.vo.msecnd.net/images-3/the-dogano-san-giorgio-citella-from-the-steps-of-the-europa-j-m-w-turner-1842-26dfc029.jpg
b'Sunrise with Sea Monsters',b'Joseph Mallord William Turner',b'1845',b'GB',https://az334033.vo.msecnd.net/images-2/sunrise-with-sea-monsters-j-m-w-turner-1845-1a4838a2.jpg
b'Newton',b'William Blake',b'1795',b'GB',https://az334034.vo.msecnd.net/images-6/newton-william-blake-1795-8bdd1cf1.jpg
b'King Cophetua and the Beggar Maid',b'Edward Burne-Jones',b'1884',b'GB',https://az334034.vo.msecnd.net/images-1/king-cophetua-and-the-beggar-maid-edward-burne-jones-1884-b6bc5e93.jpg
b'Chichester Canal (painting)',b'Joseph Mallord William Turner',b'(painting)',b'GB',https://az333960.vo.msecnd.net/images-8/chichester-canal-painting-j-m-w-turner-c818a821.jpg
|b'Tivoli, the Cascatelle'|,b'Joseph Mallord William Turner',b'1827',b'GB',https://az333959.vo.msecnd.net/images-5/tivoli-the-cascatelle-j-m-w-turner-1827-ab976702.jpg
b'The Small Meadows in Spring',b'Alfred Sisley',b'1880',b'GB',https://az333959.vo.msecnd.net/images-3/the-small-meadows-in-spring-alfred-sisley-1880-cd5b5072.jpg
b'Sidonia von Bork',b'Edward Burne-Jones',b'1860',b'GB',https://az334034.vo.msecnd.net/images-3/sidonia-von-bork-edward-burne-jones-1860-374440b1.jpg
b'The Two Crowns',b'Frank Dicksee',b'1900',b'GB',https://az334034.vo.msecnd.net/images-2/the-two-crowns-frank-dicksee-1900-fcd29d23.jpg
b'Consulting the Oracle',b'John William Waterhouse',b'1884',b'GB',https://az334033.vo.msecnd.net/images-7/consulting-the-oracle-john-william-waterhouse-1884-e18d6b7f.jpg
|b'Composition with Red, Yellow and Blue'|,b'Piet Mondrian',b'1942',b'NL',https://az334034.vo.msecnd.net/images-3/composition-with-red-yellow-and-blue-piet-mondrian-1937-881ce2bd.jpg
|b'Venice, the Bridge of Sighs'|,b'Joseph Mallord William Turner',b'Sighs',b'GB',https://az333960.vo.msecnd.net/images-1/venice-the-bridge-of-sighs-j-m-w-turner-a55d2f1f.jpg
b'The Shipwreck',b'Joseph Mallord William Turner',b'Shipwreck',b'GB',https://az334033.vo.msecnd.net/images-7/the-shipwreck-j-m-w-turner-f160755c.jpg
b'A Distinguished Member of the Humane Society',b'Edwin Henry Landseer',b'1831',b'GB',https://az333960.vo.msecnd.net/images-6/a-distinguished-member-of-the-humane-society-edwin-henry-landseer-1831-2fc3f61d.jpg
b'The Body of Abel Found by Adam and Eve',b'William Blake',b'1826',b'GB',https://az333960.vo.msecnd.net/images-0/the-body-of-abel-found-by-adam-and-eve-william-blake-1826-7f3cae15.jpg
b'Hyena Stomp',b'Frank Stella',b'1962',b'US',https://az334033.vo.msecnd.net/images-7/hyena-stomp-frank-stella-1962-e70b456c.jpg
|b'Take your Son, Sir!'|,b'Ford Madox Brown',b'1851',b'GB',https://az334034.vo.msecnd.net/images-6/take-your-son-sir-ford-madox-brown-1851-e537d164.jpg
b'Nocturne: Blue and Gold \xe2\x80\x93 Old Battersea Bridge',b'James Abbott McNeill Whistler',b'1872',b'US',https://az333959.vo.msecnd.net/images-4/nocturne-blue-and-gold-old-battersea-bridge-james-abbott-mcneill-whistler-1872-fc350fc6.jpg
b'Ancient Rome; Agrippina Landing with the Ashes of Germanicus',b'Joseph Mallord William Turner',b'1839',b'GB',https://az334034.vo.msecnd.net/images-1/ancient-rome-agrippina-landing-with-the-ashes-of-germanicus-j-m-w-turner-1839-bc60298d.jpg
b'And the Sea Gave Up the Dead Which Were in It',b'Frederic Leighton',b'1800',b'GB',https://az334033.vo.msecnd.net/images-7/and-the-sea-gave-up-the-dead-which-were-in-it-frederic-leighton-1800-51ec3055.jpg
b'April Love',b'Arthur Hughes',b'Love',,https://az333959.vo.msecnd.net/images-7/april-love-arthur-hughes-0a172a80.jpg
b'Hope',b'George Frederic Watts',b'1886',,https://az333959.vo.msecnd.net/images-1/hope-george-frederic-watts-1886-1df03952.jpg
b"Fazio's Mistress (Aurelia)",b'Dante Gabriel Rossetti',b'1873',b'GB',https://az334033.vo.msecnd.net/images-1/fazio-s-mistress-dante-gabriel-rossetti-10f73712.jpg
b'The Destruction of Pompeii and Herculaneum',b'John Martin',b'1822',,https://az333959.vo.msecnd.net/images-0/the-destruction-of-pompeii-and-herculaneum-john-martin-0ff4ce11.jpg
b'Proserpine',b'Dante Gabriel Rossetti',b'1874',b'GB',https://az333960.vo.msecnd.net/images-9/proserpine-dante-gabriel-rossetti-1874-1-00071f57.jpg
b'The Lament for Icarus',b'Herbert James Draper',b'1898',b'GB',https://az334034.vo.msecnd.net/images-3/the-lament-for-icarus-herbert-james-draper-1898-b379d059.jpg
b'The Sun of Venice Going to Sea',b'Joseph Mallord William Turner',b'Sea',b'GB',https://az333960.vo.msecnd.net/images-2/the-sun-of-venice-going-to-sea-j-m-w-turner-9ed1b44e.jpg
b'The Thames above Waterloo Bridge',b'Joseph Mallord William Turner',b'1830',b'GB',https://az334033.vo.msecnd.net/images-2/the-thames-above-waterloo-bridge-j-m-w-turner-1830-ae555f72.jpg
