Title,Artist,Year,Country,Thumbnail
b'Allegory',b'Nikolaos Gyzis',b'Allegory',b'GR',https://az333959.vo.msecnd.net/images-3/alligoria-nikolaos-gyzis-b5240d7a.png
b'Interior of a church',b'Aristotelis Zachos',b'church',b'GR',https://az333959.vo.msecnd.net/images-6/interior-of-a-church-aristotelis-zachos-1-655c4606.jpg
b'Sailing boats',b'Konstantinos Volanakis',b'boats',b'GR',https://az333959.vo.msecnd.net/images-8/sailing-boats-konstantinos-volanakis-konstantinos-volanakis-2da2ba46.jpg
b'Oriental building',b'Symeon Savvidis',b'1922',b'GR',https://az334034.vo.msecnd.net/images-1/anatolitiko-ktirio-symeon-savvidis-1922-23f2205e.jpg
b'Still life with cherries',b'Loukas Geralis',b'cherries',b'GR',https://az333960.vo.msecnd.net/images-2/nekri-fysi-me-kerasia-loukas-geralis-1fd8651c.jpg
b'The young shepherd',b'Polychronis Lembesis',b'shepherd',b'GR',https://az333960.vo.msecnd.net/images-5/the-young-shepherd-polychronis-lembesis-1-0e1db911.jpg
b'Still life with sugared buns',b'Alexandros Kaloudis',b'buns',b'GR',https://az334034.vo.msecnd.net/images-6/still-life-with-sugared-buns-alexandros-kaloudis-1-fadbfd1a.jpg
b'Lyre',b'Konstantinos Maleas',b'1999',b'GR',https://az334033.vo.msecnd.net/images-1/lyra-konstantinos-maleas-1999-bbd67f7a.png
b'Landscape with cypresses',b'Konstantinos Maleas',b'1999',b'GR',https://az333959.vo.msecnd.net/images-1/topio-me-kyparissia-konstantinos-maleas-1999-11e037eb.jpg
b'Vase with roses',b'Loukas Geralis',b'roses',b'GR',https://az334034.vo.msecnd.net/images-2/vazo-me-triantafylla-loukas-geralis-13598215.png
b'Sailing boat',b'Vasileios Chatzis',b'boat',b'GR',https://az334034.vo.msecnd.net/images-8/sailing-boat-vasileios-chatzis-221e8b5e.jpg
b'Sailing boats',b'Ioannis Altamouras',b'boats',b'GR',https://az333959.vo.msecnd.net/images-5/sailing-boats-ioannis-altamouras-d651f3bb.png
b'Turkish quarter',b'Konstantinos Maleas',b'quarter',b'GR',https://az334033.vo.msecnd.net/images-6/turkish-quarter-konstantinos-maleas-52b3866e.jpg
b'Hydra',b'Lykourgos Kogevinas',b'1916',b'GR',https://az333960.vo.msecnd.net/images-1/hydra-lykourgos-kogevinas-1206a92a.jpg
b'Sailing boats',b'Vasileios Chatzis',b'boats',b'GR',https://az333960.vo.msecnd.net/images-8/sailing-boats-vasileios-chatzis-1-045b7920.jpg
b'Landscape',b'Odysseas Fokas',b'Landscape',b'GR',https://az334033.vo.msecnd.net/images-9/landscape-odysseas-fokas-0b58e628.jpg
b'Landscape',b'Maria Inglesi',b'Landscape',b'GR',https://az334033.vo.msecnd.net/images-7/lanscape-maria-inglesi-1-364a5e40.png
b'Still life with pomegranate and quince',b'Vasileios Chatzis',b'quince',b'GR',https://az333959.vo.msecnd.net/images-9/still-life-with-pomegranate-and-quince-vasileios-chatzis-8c271b2d.jpg
