Title,Artist,Year,Country,Thumbnail
b'The Piano Lesson (De pianoles)',b'Henri\xc3\xabtte Ronner-Knip',b'1897',b'NL',https://az334033.vo.msecnd.net/images-1/the-pianolesson-henriette-ronner-knip-648d78e1.jpg
b'Winter landscape',b'Barend Cornelis Koekkoek',b'1837',b'NL',https://az334033.vo.msecnd.net/images-7/untitled-barend-cornelis-koekkoek-1837-a512afe5.jpg
b'Kinderen in het Duin (Children in the Dune)',b'George Hendrik Breitner',b'1886',b'NL',https://az333960.vo.msecnd.net/images-1/untitled-george-hendrik-breitner-4-ba727cda.jpg
b'The Open Door',b'Albert Neuhuys',b'Door',,https://az334034.vo.msecnd.net/images-4/the-open-door-albert-neuhuys-7d0c4bdc.jpg
b'Portrait of Catharina Elisabeth Rente Linsen (1830-1890)',b'Jan Adam Kruseman',b'1831',b'NL',https://az334034.vo.msecnd.net/images-2/untitled-jan-adam-kruseman-1831-f4ba6eeb.jpg
b'Two maids are chatting along the canals of Amsterdam',b'George Hendrik Breitner',b'Amsterdam',b'NL',https://az334033.vo.msecnd.net/images-8/untitled-george-hendrik-breitner-61d178e5.jpg
b'Untitled',b'Arnoldus Bloemers',b'Untitled',,https://az333960.vo.msecnd.net/images-9/untitled-arnoldus-bloemers-cf807fa1.jpg
|b'Ada, Countess of Holland in Exile'|,b'Jan Adam Kruseman',b'Exile',b'NL',https://az333959.vo.msecnd.net/images-3/untitled-jan-adam-kruseman-1-3bc2795c.jpg
b'The Mill',b'Johan Hendrik Weissenbruch',b'1899',b'NL',https://az334034.vo.msecnd.net/images-1/the-mill-johan-hendrik-weissenbruch-1899-0eea0112.jpg
b'Cat',b'Henri\xc3\xabtte Ronner-Knip',b'1896',b'NL',https://az333959.vo.msecnd.net/images-4/cat-henriette-ronner-knip-1896-1f40a80f.jpg
b'November mood',b'Arnold Marc Gorter',b'1905',,https://az334033.vo.msecnd.net/images-2/november-mood-arnold-marc-gorter-1905-ab518bd3.jpg
|b'The well and sycamore in Ezbekieh Square, Cairo'|,b'Willem de Famars Testas',b'1884',,https://az334034.vo.msecnd.net/images-6/the-well-and-sycamore-in-ezbekieh-square-cairo-willem-de-famars-testas-1884-66253ed2.jpg
b'Zomerlandschap',b'Barend Cornelis Koekkoek',b'1830',b'NL',https://az333960.vo.msecnd.net/images-5/untitled-barend-cornelis-koekkoek-1830-71fb6690.jpg
b'Styrian Hunter',b'Jan Adam Kruseman',b'1832',b'NL',https://az334034.vo.msecnd.net/images-2/untitled-jan-adam-kruseman-1832-e64823ee.jpg
b'Untitled',b'Georgius Jacobus Johannes van Os',b'Untitled',,https://az334033.vo.msecnd.net/images-0/untitled-georgius-jacobus-johannes-van-os-1-88e27c3a.jpg
b'Untitled',b'Jozef Isra\xc3\xabls',b'Untitled',b'NL',https://az333960.vo.msecnd.net/images-5/untitled-jozef-israels-f0a50dff.jpg
b'Adrianus Anthonij Vinju (1799-1860)',b'Jan Adam Kruseman',b'1837',b'NL',https://az334034.vo.msecnd.net/images-3/untitled-jan-adam-kruseman-1837-2aaa7d72.jpg
b'View from Dekkersduin',b'Johan Hendrik Weissenbruch',b'1849',b'NL',https://az334034.vo.msecnd.net/images-6/view-from-dekkersduin-johan-hendrik-weissenbruch-1849-4a741bd3.jpg
|b'Interior of the Nieuwe Kerk, Haarlem'|,b'Wybrand Hendricks',b'1816',,https://az334034.vo.msecnd.net/images-1/interior-of-the-nieuwe-kerk-haarlem-wybrand-hendricks-1816-ef78e00b.jpg
b'Portrait of the painter Warnaar Horstink',b'Wybrand Hendricks',b'1812',,https://az334034.vo.msecnd.net/images-5/portrait-of-the-painter-warnaar-horstink-wybrand-hendricks-1812-4dde5f99.jpg
