Title,Artist,Year,Country,Thumbnail
b'Landscape with a Wheatfield',b'Jacob van Ruisdael',b'1662',b'NL',https://az334033.vo.msecnd.net/images-6/landscape-with-a-wheatfield-jacob-van-ruisdael-1662-80bed837.jpg
b'The Signal',b'John William Godward',b'1899',b'GB',https://az334034.vo.msecnd.net/images-2/the-signal-john-william-godward-1899-ff9e8f7a.jpg
b'Sunrise (Marine)',b'Claude Monet',b'1873',b'FR',https://az333960.vo.msecnd.net/images-2/sunrise-marine-claude-monet-4f76f2a9.jpg
|b"Italian Landscape (Site d'Italie, Soleil Levant)"|,b'Jean-Baptiste-Camille Corot',b'1839',b'FR',https://az334033.vo.msecnd.net/images-5/untitled-jean-baptiste-camille-corot-1839-1-e4a6ff29.jpg
b'Still Life with Flowers and Fruit',b'Claude Monet',b'1869',b'FR',https://az333959.vo.msecnd.net/images-0/still-life-with-flowers-and-fruit-claude-monet-1869-1-600954db.jpg
b'The Wounded Foot',b'Joaquin Sorolla y Bastida',b'1909',b'ES',https://az334033.vo.msecnd.net/images-4/the-wounded-foot-joaquin-sorolla-1909-8c855b31.jpg
b'La Promenade',b'Auguste Renoir',b'1870',b'FR',https://az334034.vo.msecnd.net/images-7/la-promenade-pierre-auguste-renoir-1870-7990eab3.jpg
b'The Model Resting',b'Henri de Toulouse-Lautrec',b'1889',b'FR',https://az334034.vo.msecnd.net/images-5/the-model-resting-henri-de-toulouse-lautrec-1889-1-0aae2f6b.jpg
b'The Portal of Rouen Cathedral in Morning Light',b'Claude Monet',b'1894',b'FR',https://az334033.vo.msecnd.net/images-0/the-portal-of-rouen-cathedral-in-morning-light-claude-monet-1894-1-4976a545.jpg
b'Irises',b'Vincent van Gogh',b'1889',b'NL',https://az334034.vo.msecnd.net/images-3/irises-vincent-van-gogh-1889-ed3ef8a2.jpg
b'A Young Girl Defending Herself against Eros',b'William-Adolphe Bouguereau',b'1880',b'FR',https://az334034.vo.msecnd.net/images-6/a-young-girl-defending-herself-against-eros-william-adolphe-bouguereau-1880-b69cfcd0.jpg
b'Venus on the Waves',b'Fran\xc3\xa7ois Boucher',b'1769',b'FR',https://az334033.vo.msecnd.net/images-1/venus-on-the-waves-francois-boucher-1769-30f1bc1e.jpg
b'Mischief and Repose',b'John William Godward',b'1895',b'GB',https://az333960.vo.msecnd.net/images-6/mischief-and-repose-john-william-godward-1895-1-327181d5.jpg
b'Reverie',b'John William Godward',b'1904',b'GB',https://az333959.vo.msecnd.net/images-4/reverie-john-william-godward-1904-47d35d57.jpg
b'The Farewell of Telemachus and Eucharis',b'Jacques-Louis David',b'1818',b'FR',https://az334034.vo.msecnd.net/images-7/the-farewell-of-telemachus-and-eucharis-jacques-louis-david-1818-c00b9db8.jpg
b'A Walk at Dusk',b'Caspar David Friedrich',b'1835',b'DE',https://az334034.vo.msecnd.net/images-4/a-walk-at-dusk-caspar-david-friedrich-1835-e0c2e2a2.jpg
b'Fruit Piece',b'Jan van Huysum',b'1722',b'NL',https://az334034.vo.msecnd.net/images-1/fruit-piece-jan-van-huysum-1722-80f1764b.jpg
|b'Wheatstacks, Snow Effect, Morning (Meules, Effet de Neige...'|,b'Claude Monet',b'1891',b'FR',https://az333960.vo.msecnd.net/images-4/wheatstacks-snow-effect-morning-meules-effet-de-neige-le-matin-claude-monet-1891-1-e64e542c.jpg
b'The Convalescent',b'Edgar Degas',b'1887',b'FR',https://az333959.vo.msecnd.net/images-6/the-convalescent-edgar-degas-1887-be39b312.jpg
b'Triumph of the Marine Venus',b'Sebastiano Ricci',b'1713',b'IT',https://az334033.vo.msecnd.net/images-1/triumph-of-the-marine-venus-sebastiano-ricci-9e5dac17.jpg
b'Portrait of Maria Frederike van Reede-Athlone at Seven...',b'Jean-Etienne Liotard',b'1756',b'CH',https://az334033.vo.msecnd.net/images-3/portrait-of-maria-frederike-van-reede-athlone-at-seven-years-of-age-jean-etienne-liotard-d0ce70d1.jpg
b'An Artist in His Studio',b'Rembrandt',b'1630',b'NL',https://az333960.vo.msecnd.net/images-0/an-artist-in-his-studio-rembrandt-van-rijn-1630-f6dc2f8c.jpg
b'Study of a Model',b'Th\xc3\xa9odore G\xc3\xa9ricault',b'1819',b'FR',https://az334034.vo.msecnd.net/images-4/study-of-a-model-theodore-gericault-1819-9367cb85.jpg
b'Anatomical Studies',b'Peter Paul Rubens',b'1605',b'NL',https://az334034.vo.msecnd.net/images-0/anatomical-studies-sir-peter-paul-rubens-1605-4cddad0f.jpg
b'Landscape with a Calm (Un Tem[p]s calme et serein)',b'Nicolas Poussin',b'1651',b'FR',https://az334034.vo.msecnd.net/images-5/landscape-with-a-calm-un-tem-p-s-calme-et-serein-nicolas-poussin-1651-a5addbb5.jpg
b'Diana and Her Nymphs on the Hunt',b'Peter Paul Rubens',b'1628',b'NL',https://az334034.vo.msecnd.net/images-9/diana-and-her-nymphs-on-the-hunt-sir-peter-paul-rubens-1628-950eff98.jpg
b'Diana and Her Dog',b'Sebastiano Ricci',b'1720',b'IT',https://az334033.vo.msecnd.net/images-7/diana-and-her-dog-sebastiano-ricci-3f618a70.jpg
b'The Abduction of Europa',b'Rembrandt',b'1632',b'NL',https://az334033.vo.msecnd.net/images-5/the-abduction-of-europa-rembrandt-van-rijn-1632-6fa1ff0d.jpg
b'Van Tromp',b'Joseph Mallord William Turner',b'1844',b'GB',https://az334034.vo.msecnd.net/images-0/van-tromp-j-m-w-turner-1844-6f882d3f.jpg
b'Dejanira (Autumn)',b'Gustave Moreau',b'1873',b'FR',https://az333959.vo.msecnd.net/images-1/dejanira-autumn-gustave-moreau-40f8fbd1.jpg
b'The Penitent Magdalene',b'Titian',b'1565',b'IT',https://az334033.vo.msecnd.net/images-2/the-penitent-magdalene-titian-6718b5e9.jpg
b'The Fountain of Love',b'Fran\xc3\xa7ois Boucher',b'1748',b'FR',https://az334033.vo.msecnd.net/images-8/the-fountain-of-love-francois-boucher-1748-454f8ea4.jpg
b'The Fountain of Love',b'Jean-Honor\xc3\xa9 Fragonard',b'1785',b'FR',https://az334034.vo.msecnd.net/images-8/the-fountain-of-love-jean-honore-fragonard-b00008dc.jpg
b'The Entombment',b'Peter Paul Rubens',b'1612',b'NL',https://az334034.vo.msecnd.net/images-0/the-entombment-peter-paul-rubens-b4550968.jpg
b'The Miracles of Saint Francis of Paola',b'Peter Paul Rubens',b'1628',b'NL',https://az333960.vo.msecnd.net/images-2/the-miracles-of-saint-francis-of-paola-peter-paul-rubens-57d4b194.jpg
b"Houses near Orl\xc3\xa9ans (Maisons aux Environs d'Orl\xc3\xa9ans)",b'Jean-Baptiste-Camille Corot',b'1830',b'FR',https://az334033.vo.msecnd.net/images-2/houses-near-orleans-maisons-aux-environs-d-orleans-jean-baptiste-camille-corot-1830-e8254ddd.jpg
b'Before',b'William Hogarth',b'1731',b'GB',https://az334033.vo.msecnd.net/images-0/before-william-hogarth-e1b8765b.jpg
b'The Ransom',b'John Everett Millais',b'1862',b'GB',https://az333959.vo.msecnd.net/images-3/the-ransom-john-everett-millais-6c67a031.jpg
b'After',b'William Hogarth',b'1731',b'GB',https://az333959.vo.msecnd.net/images-9/after-william-hogarth-09f214b8.jpg
b'David Meeting Abigail',b'Peter Paul Rubens',b'1625',b'NL',https://az333960.vo.msecnd.net/images-5/david-meeting-abigail-anonymous-e4549a90.jpg
b'Portrait of Louise-Antoinette Feuardent',b'Jean-Fran\xc3\xa7ois Millet',b'1841',b'FR',https://az334034.vo.msecnd.net/images-1/portrait-of-louise-antoinette-feuardent-jean-francois-millet-1841-fb8d8da3.jpg
b'Spring',b'Lawrence Alma-Tadema',b'1894',b'NL',https://az333959.vo.msecnd.net/images-5/spring-lawrence-alma-tadema-1894-a8491f5d.jpg
b'Bleaching Ground at Scheveningen',b'Vincent van Gogh',b'1882',b'NL',https://az334033.vo.msecnd.net/images-9/bleaching-ground-at-scheveningen-vincent-van-gogh-2b058b73.jpg
b'Alexander the Great and Campaspe in the Studio of Apelles',b'Giovanni Battista Tiepolo',b'1740',b'IT',https://az334034.vo.msecnd.net/images-5/alexander-the-great-and-campaspe-in-the-studio-of-apelles-giovanni-battista-tiepolo-74a53ea9.jpg
b"Albert Cahen d' Anvers",b'Auguste Renoir',b'1881',b'FR',https://az334033.vo.msecnd.net/images-7/albert-cahen-d-anvers-pierre-auguste-renoir-1881-2d7ae98a.jpg
b'Pepilla the Gypsy and Her Daughter',b'Joaquin Sorolla y Bastida',b'1910',b'ES',https://az334034.vo.msecnd.net/images-8/pepilla-the-gypsy-and-her-daughter-joaquin-sorolla-1910-83ab3358.jpg
b'The Virgin as the Woman of the Apocalypse',b'Peter Paul Rubens',b'1624',b'NL',https://az334033.vo.msecnd.net/images-3/the-virgin-as-the-woman-of-the-apocalypse-sir-peter-paul-rubens-1624-f68b3ce1.jpg
b'The Rue Mosnier with Flags',b'Edouard Manet',b'1878',b'FR',https://az333959.vo.msecnd.net/images-2/the-rue-mosnier-with-flags-edouard-manet-1878-18fae1d7.jpg
b'The Calydonian Boar Hunt',b'Peter Paul Rubens',b'1612',b'NL',https://az334034.vo.msecnd.net/images-8/the-calydonian-boar-hunt-peter-paul-rubens-b08d4500.jpg
b'Portrait of the Sisters Z\xc3\xa9na\xc3\xafde and Charlotte Bonaparte',b'Jacques-Louis David',b'1821',b'FR',https://az333960.vo.msecnd.net/images-2/portrait-of-the-sisters-zenaide-and-charlotte-bonaparte-jacques-louis-david-1821-959ffe8f.jpg
b'After the Bath',b'Edgar Degas',b'1895',b'FR',https://az334034.vo.msecnd.net/images-6/after-the-bath-edgar-degas-1895-a79b3ec9.jpg
b'Christ Crowned with Thorns',b'Gerard van Honthorst',b'1620',b'NL',https://az334034.vo.msecnd.net/images-0/christ-crowned-with-thorns-gerard-van-honthorst-b2785a8d.jpg
b'The Road from Versailles to Saint-Germain',b'Alfred Sisley',b'1875',b'GB',https://az334033.vo.msecnd.net/images-3/the-road-from-versailles-to-saint-germain-alfred-sisley-1875-1-ce9b88ea.jpg
b'Astronomer by Candlelight',b'Gerrit Dou',b'1660',b'NL',https://az333960.vo.msecnd.net/images-3/astronomer-by-candlelight-gerrit-dou-6a32a808.jpg
b'Flower Still Life',b'Ambrosius Bosschaert the Elder',b'1614',b'NL',https://az334034.vo.msecnd.net/images-9/flower-still-life-ambrosius-bosschaert-1614-eec2d30e.jpg
b'The Milliners',b'Edgar Degas',b'1904',b'FR',https://az334034.vo.msecnd.net/images-5/the-milliners-edgar-degas-1904-256028ee.jpg
b'An Old Woman with Cat',b'Max Liebermann',b'1878',b'DE',https://az334034.vo.msecnd.net/images-6/an-old-woman-with-cat-max-liebermann-1878-cebef379.jpg
b'Portrait of a Halberdier (Francesco Guardi?)',b'Pontormo',b'1529',b'IT',https://az334034.vo.msecnd.net/images-9/portrait-of-a-halberdier-francesco-guardi-pontormo-1529-52b4d7f3.jpg
b"The Entry of the Animals into Noah's Ark",b'Jan Brueghel the Elder',b'1613',b'BE',https://az333959.vo.msecnd.net/images-2/the-entry-of-the-animals-into-noah-s-ark-jan-brueghel-the-elder-1613-1-b8240629.jpg
b'The Grand Canal in Venice from Palazzo Flangini to Campo...',b'Canaletto',b'1738',b'IT',https://az334033.vo.msecnd.net/images-2/the-grand-canal-in-venice-from-palazzo-flangini-to-campo-san-marcuola-canaletto-1738-1-12e03eac.jpg
b'The Holy Family',b'Giulio Romano',b'1523',b'IT',https://az334033.vo.msecnd.net/images-5/the-holy-family-giulio-romano-01e7bda6.jpg
