Title,Artist,Year,Country,Thumbnail
b'The Eiffel Tower',b'Henri Rousseau',b'1889',b'FR',https://az334034.vo.msecnd.net/images-7/the-eiffel-tower-henri-rousseau-1889-6378de4b.jpg
b'The Orange Trees',b'Gustave Caillebotte',b'1878',b'FR',https://az333960.vo.msecnd.net/images-8/les-orangers-gustave-caillebotte-1878-a80fd7a2.jpg
b'Composition with Grid 1',b'Piet Mondrian',b'1918',b'NL',https://az334033.vo.msecnd.net/images-9/composition-with-grid-1-piet-mondrian-1918-4decaa57.jpg
b'Still Life with Bouquet and Fan',b'Auguste Renoir',b'1871',b'FR',https://az334033.vo.msecnd.net/images-7/still-life-with-bouquet-and-fan-pierre-auguste-renoir-1871-f4277b52.jpg
b'Still Life: The Smell',b'Evert Collier',b'1706',b'NL',https://az333959.vo.msecnd.net/images-5/still-life-the-smell-evert-collier-1701-df0ee31e.jpg
b'Still Life with Golden Bream',b'Francisco de Goya',b'1808',b'ES',https://az334033.vo.msecnd.net/images-1/untitled-francisco-de-goya-1808-7-81da29ff.jpg
b'Autumn on Greenwood Lake',b'Jasper Francis Cropsey',b'1861',b'US',https://az334034.vo.msecnd.net/images-4/autumn-on-greenwood-lake-jasper-francis-cropsey-1861-0370b733.jpg
|b'The Entrance to the Grand Canal, Venice'|,b'Canaletto',b'1730',b'IT',https://az334033.vo.msecnd.net/images-8/the-entrance-to-the-grand-canal-venice-canaletto-1730-c8a5e1f8.jpg
b'Cotopaxi',b'Frederic Edwin Church',b'1855',b'US',https://az333959.vo.msecnd.net/images-0/cotopaxi-frederic-edwin-church-1855-1-4d3f4623.jpg
b'Flower Still Life in a Glass Vase',b'Balthasar van der Ast',b'1624',b'NL',https://az334034.vo.msecnd.net/images-3/flower-still-life-in-a-glass-vase-balthasar-van-der-ast-1624-a04b6320.jpg
b'Indian Pass',b'Thomas Cole',b'1847',b'US',https://az333960.vo.msecnd.net/images-9/indian-pass-thomas-cole-1847-d615e9b5.jpg
b'The Rocks',b'Vincent van Gogh',b'1888',b'NL',https://az333959.vo.msecnd.net/images-5/rocky-hill-with-oak-vincent-van-gogh-869c9093.jpg
b'Fantasy View with the Pantheon and other Monuments of...',b'Giovanni Paolo Panini',b'1737',b'IT',https://az333959.vo.msecnd.net/images-8/fantasy-view-with-the-pantheon-and-other-monuments-of-ancient-rome-giovanni-paolo-panini-1737-8179a485.jpg
|b'Marsh Sunset, Newburyport, Massachusetts'|,b'Martin Johnson Heade',b'1882',b'US',https://az334034.vo.msecnd.net/images-6/marsh-sunset-newburyport-massachusetts-martin-johnson-heade-1876-c7a98c16.jpg
b'The Gust of Wind',b'Gustave Courbet',b'1865',b'FR',https://az333960.vo.msecnd.net/images-6/the-gust-of-wind-gustave-courbet-3d640602.jpg
b'Magnolias on Gold Velvet Cloth',b'Martin Johnson Heade',b'1890',b'US',https://az334033.vo.msecnd.net/images-4/magnolias-on-gold-velvet-cloth-martin-johnson-heade-1888-254acb18.jpg
b'The Elder Sister',b'William-Adolphe Bouguereau',b'1869',b'FR',https://az334034.vo.msecnd.net/images-6/the-elder-sister-william-adolphe-bouguereau-1869-64113ec5.jpg
b'The Marketplace at Pirna',b'Bernardo Bellotto',b'1762',b'IT',https://az333959.vo.msecnd.net/images-2/the-marketplace-at-pirna-bernardo-bellotto-1762-ed44c927.jpg
b'Still Life with Apricots and Butterflies',b'Jan Mortel',b'1683',,https://az334034.vo.msecnd.net/images-5/still-life-with-apricots-and-butterflies-jan-mortel-1683-71646ede.jpg
b'The Hussar',b'Frederic Remington',b'1893',,https://az334033.vo.msecnd.net/images-5/the-hussar-frederic-remington-1893-4192d3fe.jpg
b'New England Village',b'Maurice Prendergast',b'Village',b'US',https://az334034.vo.msecnd.net/images-3/new-england-village-maurice-prendergast-05ea85a1.jpg
b'Coastal Scene with Shipping and Cattle',b'Thomas Gainsborough',b'1781',b'GB',https://az334034.vo.msecnd.net/images-4/coastal-scene-with-shipping-and-cattle-thomas-gainsborough-1781-497d5c6c.jpg
b'Portrait of a Gentleman',b'Joseph Wright of Derby',b'Gentleman',b'GB',https://az334034.vo.msecnd.net/images-4/portrait-of-a-gentleman-joseph-wright-of-derby-1-4f3218b9.jpg
b'Landscape',b'Albert Bierstadt',b'Landscape',,https://az333959.vo.msecnd.net/images-5/landscape-albert-bierstadt-da5f309e.jpg
b'A Wooded Landscape with a Pond',b'Jacob van Ruisdael',b'1649',b'NL',https://az333959.vo.msecnd.net/images-0/a-wooded-landscape-with-a-pond-jacob-van-ruisdael-f152d6cc.jpg
b'Portrait of an Elderly Woman',b'Frans Hals',b'1650',b'NL',https://az333959.vo.msecnd.net/images-5/portrait-of-a-woman-frans-hals-1650-2-257b98f9.jpg
b'Portrait of a Woman',b'Samuel Lovett Waldo',b'Woman',,https://az333960.vo.msecnd.net/images-5/portrait-of-a-woman-samuel-lovett-waldo-70de4f17.jpg
b'Abstraction',b'Marsden Hartley',b'1914',b'US',https://az333959.vo.msecnd.net/images-0/abstraction-marsden-hartley-7c9b1bf3.jpg
b'The Siege of Mathura by Jarasandha',b'Anonymous',b'1769',,https://az334034.vo.msecnd.net/images-6/the-siege-of-mathura-by-jarasandha-anonymous-1769-a6cd5ed3.jpg
b'Dovedale by Moonlight',b'Joseph Wright of Derby',b'1785',b'GB',https://az334034.vo.msecnd.net/images-5/dovedale-by-moonlight-joseph-wright-of-derby-1785-800c4541.jpg
b'Boatwomen in Brittany',b'Georges Lacombe',b'Brittany',b'FR',https://az333960.vo.msecnd.net/images-1/boatwomen-in-brittany-georges-lacombe-989e8ae6.jpg
b'Italian Landscape with Mountains and a River',b'Joseph Wright of Derby',b'1790',b'GB',https://az333959.vo.msecnd.net/images-2/italian-landscape-with-mountains-and-a-river-joseph-wright-of-derby-1790-415d06a3.jpg
b'Orpheus Leading Eurydice from the Underworld',b'Jean-Baptiste-Camille Corot',b'1861',b'FR',https://az334033.vo.msecnd.net/images-8/untitled-jean-baptiste-camille-corot-1861-2-0dbd7690.jpg
|b'Still Life with Crab, Shrimps and Lobster'|,b'Clara Peeters',b'1640',,https://az333959.vo.msecnd.net/images-3/breakfast-still-life-clara-peeters-d5b85ebe.jpg
b'Portrait of a Young Woman',b'Rembrandt',b'1633',b'NL',https://az334034.vo.msecnd.net/images-4/portrait-of-a-young-woman-formerly-seen-as-oval-portrait-of-oopjen-coppit-rembrandt-2b789717.jpg
|b'View of the Fairmount Waterworks, Philadelphia, from the...'|,b'Thomas Doughty',b'1824',,https://az334034.vo.msecnd.net/images-9/view-of-the-fairmount-waterworks-philadelphia-from-the-opposite-side-of-the-schuylkill-river-thomas-doughty-1824-30f08b2e.jpg
b'Bottom of the Ravine',b'Paul C\xc3\xa9zanne',b'1879',b'FR',https://az333960.vo.msecnd.net/images-3/bottom-of-the-ravine-paul-cezanne-1879-ffadde87.jpg
b'The Flight into Egypt',b'Fran\xc3\xa7ois de Nom\xc3\xa9',b'1625',,https://az334033.vo.msecnd.net/images-5/the-flight-into-egypt-francois-de-nome-1625-987abc03.jpg
b'Landscape with a Hunting Party',b'Nicolaes Pieterszoon Berchem',b'1655',,https://az334033.vo.msecnd.net/images-1/landscape-with-a-hunting-party-nicolaes-pieterszoon-berchem-1655-1be03927.jpg
b'Moonrise: Soldier and Maiden',b'Ernst Ludwig Kirchner',b'1905',b'DE',https://az333960.vo.msecnd.net/images-7/moonrise-soldier-and-maiden-ernst-ludwig-kirchner-1905-050bcedb.jpg
b'Saint Anthony Abbot Shunning the Mass of Gold',b'Fra Angelico',b'Gold',b'IT',https://az333959.vo.msecnd.net/images-5/saint-anthony-abbot-shunning-the-mass-of-gold-fra-angelico-06b96477.jpg
b"The Witches' Sabbath",b'Salvator Rosa',b'Sabbath',b'IT',https://az333960.vo.msecnd.net/images-5/the-witches-sabbath-salvator-rosa-776fff16.jpg
b'Young Nude Seated on the Edge of a Well',b'Henri Lebasque',b'1907',,https://az334033.vo.msecnd.net/images-5/young-nude-seated-on-the-edge-of-a-well-henri-lebasque-1907-f69c322c.jpg
|b'Portrait of Mrs. Matthew Tilghman (Anna Lloyd, 1724\xe2\x80\x931794)...'|,b'John Hesselius',b'1757',,https://az333959.vo.msecnd.net/images-0/portrait-of-mrs-matthew-tilghman-anna-lloyd-1724-1794-and-her-daughter-anna-maria-1755-1843-john-hesselius-1757-48560941.jpg
b'The Cherub Harvesters',b'Fran\xc3\xa7ois Boucher',b'Harvesters',b'FR',https://az333959.vo.msecnd.net/images-6/the-cherub-harvesters-francois-boucher-db861292.jpg
b'Portrait of an Old Woman',b'Hans Memling',b'1470',b'NL',https://az333960.vo.msecnd.net/images-5/untitled-hans-memling-8-9e496b26.jpg
b'The Good Education',b'Jean-Baptiste-Sim\xc3\xa9on Chardin',b'Education',b'FR',https://az333959.vo.msecnd.net/images-3/the-good-education-jean-baptiste-simeon-chardin-df182a48.jpg
|b'The Grand Canal near the Rialto Bridge, Venice'|,b'Canaletto',b'1728',b'IT',https://az334033.vo.msecnd.net/images-8/the-grand-canal-near-the-rialto-bridge-venice-canaletto-1728-5d40c520.jpg
b'Frederick Wenz',b'Henri de Toulouse-Lautrec',b'Wenz',b'FR',https://az333959.vo.msecnd.net/images-6/frederick-wenz-henri-de-toulouse-lautrec-73ec9085.jpg
b'The Adoration of the Christ Child',b'Sandro Botticelli',b'1500',b'IT',https://az334034.vo.msecnd.net/images-8/the-adoration-of-the-christ-child-sandro-botticelli-1500-80f6bc88.jpg
b'Saint Michael the Archangel',b'Claudio Coello',b'1660',,https://az333960.vo.msecnd.net/images-6/saint-michael-the-archangel-claudio-coello-1660-af4e1360.jpg
b'Putti as Fisherman',b'Fran\xc3\xa7ois Boucher',b'1744',b'FR',https://az333960.vo.msecnd.net/images-7/putti-as-fisherman-francois-boucher-1744-6aed10f9.jpg
b'Portrait of Maggie Wilson',b'Frank Duveneck',b'1898',b'US',https://az334033.vo.msecnd.net/images-2/portrait-of-maggie-wilson-frank-duveneck-1898-bc626b07.jpg
b'The Four Elements',b'Louis Finson',b'1611',,https://az334033.vo.msecnd.net/images-6/the-four-elements-louis-finson-1611-0bda5c9c.jpg
b'Still Life of Flowers and Fruit',b'Jan van Huysum',b'1716',b'NL',https://az334033.vo.msecnd.net/images-4/still-life-of-flowers-and-fruit-jan-van-huysum-1716-0c1cda2a.jpg
b'Water Lilies (Nymph\xc3\xa9as)',b'Claude Monet',b'1907',b'FR',https://az333959.vo.msecnd.net/images-3/water-lilies-nympheas-claude-monet-1907-34e6259a.jpg
b'Young Woman Playing a Lute',b'Parrasio Micheli',b'Lute',,https://az333960.vo.msecnd.net/images-5/young-woman-playing-a-lute-parrasio-micheli-296de451.jpg
b'Portrait of Joseph Henry',b'Thomas Lawrence',b'1805',b'GB',https://az334034.vo.msecnd.net/images-7/portrait-of-joseph-henry-thomas-lawrence-1805-6bf03865.jpg
b'View of the Dogana and Santa Maria della Salute',b'Michele Marieschi',b'Salute',,https://az333959.vo.msecnd.net/images-2/view-of-the-dogana-and-santa-maria-della-salute-michele-marieschi-857148a0.jpg
b'Portrait of John Gerry',b'Joseph Badger',b'1745',,https://az333960.vo.msecnd.net/images-1/portrait-of-john-gerry-joseph-badger-1745-bd3413db.jpg
b'Portrait of a Young Woman',b'Jean-Baptiste Greuze',b'Woman',b'FR',https://az334034.vo.msecnd.net/images-5/portrait-of-a-young-woman-jean-baptiste-greuze-f1f35368.jpg
b'Apollo Flaying Marsyas',b'Dirck van Baburen',b'Marsyas',b'NL',https://az334033.vo.msecnd.net/images-0/apollo-flaying-marsyas-dirck-van-baburen-a8b0df7d.jpg
b'The Little Gardener',b'Fr\xc3\xa9d\xc3\xa9ric Bazille',b'Gardener',b'FR',https://az333959.vo.msecnd.net/images-4/the-little-gardener-frederic-bazille-4ffa69fe.jpg
b'Empress Eug\xc3\xa9nie',b'Franz Xaver Winterhalter',b'1854',,https://az333960.vo.msecnd.net/images-6/empress-eugenie-franz-xaver-winterhalter-1854-bfab6eb7.jpg
b'The Fire at the Opera House of the Palais-Royal',b'Hubert Robert',b'Palais-Royal',b'FR',https://az334034.vo.msecnd.net/images-3/the-fire-at-the-opera-house-of-the-palais-royal-hubert-robert-eac6a022.jpg
b'The Last Supper',b'Sebastiano Ricci',b'Supper',b'IT',https://az333960.vo.msecnd.net/images-2/the-last-supper-sebastiano-ricci-1-9bcdf8c7.jpg
b'Allegory of the Consequences of the Peace of Utrecht',b'Paolo de Matteis',b'Utrecht',,https://az334033.vo.msecnd.net/images-4/allegory-of-the-consequences-of-the-peace-of-utrecht-paolo-de-matteis-8aabc462.jpg
b'L\xc3\xa9opold Zborowski',b'Amedeo Modigliani',b'Zborowski',b'IT',https://az334034.vo.msecnd.net/images-3/leopold-zborowski-amedeo-modigliani-8f6edd1d.jpg
