Title,Artist,Year,Country,Thumbnail
b'La plage de Trouville',b'Claude Monet',b'1870',b'FR',https://az333959.vo.msecnd.net/images-7/la-plage-de-trouville-claude-monet-1870-fdfdfa06.jpg
b'Tiger in a Tropical Storm (Surprised!)',b'Henri Rousseau',b'1891',b'FR',https://az334034.vo.msecnd.net/images-5/tiger-in-a-tropical-storm-henri-rousseau-1891-7cfe4d9e.jpg
b'Self Portrait in a Straw Hat',b'Elisabeth Louise Vig\xc3\xa9e Le Brun',b'1782',b'FR',https://az333960.vo.msecnd.net/images-6/self-portrait-in-a-straw-hat-louise-elisabeth-vigee-le-brun-819136b6.jpg
b'The Thames below Westminster',b'Claude Monet',b'1871',b'FR',https://az333959.vo.msecnd.net/images-2/the-thames-below-westminster-claude-monet-2a321094.jpg
b'Boy Bitten by a Lizard / Ragazzo morso da un ramarro',b'Michelangelo Merisi da Caravaggio',b'1595',b'IT',https://az333959.vo.msecnd.net/images-5/boy-bitten-by-a-lizard-caravaggio-1593-60e3dfc9.jpg
b'Eva Gonzal\xc3\xa8s',b'Edouard Manet',b'1870',b'FR',https://az333960.vo.msecnd.net/images-6/eva-gonzales-edouard-manet-a693c86e.jpg
b'Portrait of a young man with a skull',b'Frans Hals',b'1628',b'NL',https://az333960.vo.msecnd.net/images-4/portrait-of-a-young-man-with-a-skull-frans-hals-1616-1-6e11ef78.jpg
b'Bathers at Asni\xc3\xa8res',b'Georges Seurat',b'1884',b'FR',https://az333959.vo.msecnd.net/images-5/bathers-at-asnieres-georges-seurat-1884-c3aa23cf.jpg
b'After the Misdeed',b'Jean B\xc3\xa9raud',b'1887',b'FR',https://az334034.vo.msecnd.net/images-3/after-the-misdeed-jean-beraud-1887-df761b06.jpg
|b'A Wheatfield, with Cypresses'|,b'Vincent van Gogh',b'1889',b'NL',https://az333959.vo.msecnd.net/images-7/wheat-field-with-cypresses-vincent-van-gogh-1889-2-b69fa9f6.jpg
b"The Toilet of Venus ('The Rokeby Venus')",b'Diego Vel\xc3\xa1zquez',b'1651',b'ES',https://az334033.vo.msecnd.net/images-2/rokeby-venus-diego-velazquez-1647-1-d33b020e.jpg
b'A Lady Seated at a Virginal',b'Johannes Vermeer',b'1670',b'NL',https://az333960.vo.msecnd.net/images-1/lady-seated-at-a-virginal-johannes-vermeer-1670-6063298b.jpg
b'Calais Pier',b'Joseph Mallord William Turner',b'1803',b'GB',https://az333960.vo.msecnd.net/images-9/calais-pier-j-m-w-turner-1803-ee33f6fd.jpg
b'Gladioli in a Vase',b'Auguste Renoir',b'1875',b'FR',https://az334034.vo.msecnd.net/images-7/gladioli-in-a-vase-pierre-auguste-renoir-5fd0504a.jpg
b'Samson and Delilah',b'Peter Paul Rubens',b'1609',b'NL',https://az334033.vo.msecnd.net/images-8/samson-and-delilah-peter-paul-rubens-1609-cb377785.jpg
b'An Experiment on a Bird in the Air Pump',b'Joseph Wright of Derby',b'1768',b'GB',https://az334034.vo.msecnd.net/images-5/an-experiment-on-a-bird-in-the-air-pump-joseph-wright-of-derby-1768-ce5806f3.jpg
b'Portrait of Hermine Gallia',b'Gustav Klimt',b'1904',b'AT',https://az334034.vo.msecnd.net/images-7/portrait-of-hermine-gallia-gustav-klimt-f16957b4.jpg
b'Portrait of Do\xc3\xb1a Isabel de Porcel',b'Francisco de Goya',b'1805',b'ES',https://az333960.vo.msecnd.net/images-8/portrait-of-dona-isabel-de-porcel-francisco-de-goya-1805-1971353f.jpg
b'Saskia van Uylenburgh in Arcadian Costume',b'Rembrandt',b'1635',b'NL',https://az334033.vo.msecnd.net/images-9/saskia-van-uylenburgh-in-arcadian-costume-rembrandt-1635-40f68af6.jpg
b'Sunflowers',b'Vincent van Gogh',b'1888',b'NL',https://az334034.vo.msecnd.net/images-0/sunflowers-vincent-van-gogh-1-ee8bab8f.jpg
b'Still Life with Water Jug',b'Paul C\xc3\xa9zanne',b'1893',b'FR',https://az334033.vo.msecnd.net/images-6/still-life-with-water-jug-paul-cezanne-1892-e26e4168.jpg
