Title,Artist,Year,Country,Thumbnail
b'Luncheon of the Boating Party',b'Auguste Renoir',b'1881',b'FR',https://az334033.vo.msecnd.net/images-5/luncheon-of-the-boating-party-pierre-auguste-renoir-1880-1c80546f.jpg
b'The Road Menders',b'Vincent van Gogh',b'1889',b'NL',https://az333960.vo.msecnd.net/images-5/the-road-menders-vincent-van-gogh-1889-017b3ee7.jpg
b'The Pink Candle',b'Henri Rousseau',b'1908',b'FR',https://az333959.vo.msecnd.net/images-0/the-pink-candle-henri-rousseau-1908-ae87c124.jpg
b'La R\xc3\xa9p\xc3\xa9tition au foyer de la danse',b'Edgar Degas',b'1872',b'FR',https://az333959.vo.msecnd.net/images-1/la-repetition-au-foyer-de-la-danse-edgar-degas-f4b67aa2.jpg
b'Miss Lillian Woakes',b'James Abbott McNeill Whistler',b'1891',b'US',https://az333959.vo.msecnd.net/images-0/miss-lillian-woakes-james-abbott-mcneill-whistler-1aec3bbc.jpg
b'Painting No. 9',b'Piet Mondrian',b'1942',b'NL',https://az334033.vo.msecnd.net/images-5/composition-9-with-black-white-yellow-and-red-piet-mondrian-1939-6d01a052.jpg
b'The Painter Before His Subject',b'Henri de Toulouse-Lautrec',b'1880',b'FR',https://az334033.vo.msecnd.net/images-0/the-painter-before-his-subject-henri-de-toulouse-lautrec-9e0dc7cf.jpg
b'Melancholy',b'Edgar Degas',b'Melancholy',b'FR',https://az333959.vo.msecnd.net/images-9/melancholy-edgar-degas-f9156cfd.jpg
b'Girl with Pitchfork',b'Winslow Homer',b'1867',b'US',https://az333959.vo.msecnd.net/images-4/girl-with-pitchfork-winslow-homer-1867-cbc6b281.jpg
b'Two Girls',b'Berthe Morisot',b'1894',b'FR',https://az333959.vo.msecnd.net/images-6/two-girls-berthe-morisot-ef20867b.jpg
b'Paganini',b'Eug\xc3\xa8ne Delacroix',b'1831',b'FR',https://az333959.vo.msecnd.net/images-2/paganini-eugene-delacroix-1831-128f4c0a.jpg
b'Women Combing Their Hair',b'Edgar Degas',b'1876',b'FR',https://az334033.vo.msecnd.net/images-6/women-combing-their-hair-edgar-degas-767b6be7.jpg
