Title,Artist,Year,Country,Thumbnail
b'The Swing',b'Jean-Honor\xc3\xa9 Fragonard',b'1767',b'FR',https://az334033.vo.msecnd.net/images-0/the-swing-jean-honore-fragonard-1767-3a84db0e.jpg
b'The Laughing Cavalier',b'Frans Hals',b'1624',b'NL',https://az334033.vo.msecnd.net/images-2/laughing-cavalier-frans-hals-1624-482185f8.jpg
b'A Woman Peeling Apples',b'Pieter de Hooch',b'1663',b'NL',https://az334033.vo.msecnd.net/images-6/a-woman-peeling-apples-pieter-de-hooch-1663-6a6b19fb.jpg
b'The Listening Housewife - Wallace',b'Nicolaes Maes',b'Wallace',b'NL',https://az334034.vo.msecnd.net/images-8/the-listening-housewife-wallace-nicolaes-maes-526d56d8.jpg
b'The Setting of the Sun',b'Fran\xc3\xa7ois Boucher',b'1752',b'FR',https://az334033.vo.msecnd.net/images-3/untitled-francois-boucher-1752-5530f8c1.jpg
b'Perseus and Andromeda',b'Fran\xc3\xa7ois Lemoyne',b'Andromeda',b'FR',https://az333959.vo.msecnd.net/images-5/perseus-and-andromeda-francois-lemoyne-a0669473.jpg
b'Untitled',b'Fran\xc3\xa7ois Boucher',b'1754',b'FR',https://az334033.vo.msecnd.net/images-3/untitled-francois-boucher-1754-71e47c14.jpg
b'Untitled',b'Fran\xc3\xa7ois Boucher',b'Untitled',b'FR',https://az333959.vo.msecnd.net/images-4/untitled-francois-boucher-2-ca5bb0e8.jpg
b'Landscape with a Rainbow',b'Peter Paul Rubens',b'1636',b'NL',https://az334034.vo.msecnd.net/images-0/landscape-with-a-rainbow-peter-paul-rubens-1636-c4b351a2.jpg
b'A Dance to the Music of Time',b'Nicolas Poussin',b'1634',b'FR',https://az333960.vo.msecnd.net/images-5/a-dance-to-the-music-of-time-nicolas-poussin-1634-8eefdc92.jpg
b'Madame de Pompadour',b'Fran\xc3\xa7ois Boucher',b'1759',b'FR',https://az334033.vo.msecnd.net/images-3/madame-de-pompadour-francois-boucher-1-f4f8ab05.jpg
b'Mars et Venus',b'Fran\xc3\xa7ois Boucher',b'1754',b'FR',https://az333959.vo.msecnd.net/images-9/untitled-francois-boucher-1754-1-63585427.jpg
b'The Lady with a Fan',b'Diego Vel\xc3\xa1zquez',b'1635',b'ES',https://az333959.vo.msecnd.net/images-2/the-lady-with-a-fan-diego-velazquez-1635-749eed4d.jpg
b'The Shepherd Paris',b'Anthony van Dyck',b'Paris',b'NL',https://az334034.vo.msecnd.net/images-5/the-shepherd-paris-anthony-van-dyck-121510cb.jpg
b'Doubtful Crumbs',b'Edwin Henry Landseer',b'1858',b'GB',https://az333959.vo.msecnd.net/images-0/doubtful-crumbs-edwin-henry-landseer-1858-b0170bed.jpg
b'Venice: The Bacino from the Giudecca',b'Canaletto',b'1740',b'IT',https://az333960.vo.msecnd.net/images-9/venice-the-bacino-from-the-giudecca-canaletto-1740-ee6afe17.jpg
b'The Good Samaritan',b'Rembrandt',b'Samaritan',b'NL',https://az334034.vo.msecnd.net/images-1/the-good-samaritan-rembrandt-1-09798f5c.jpg
b'Innocence',b'Jean-Baptiste Greuze',b'1790',b'FR',https://az333959.vo.msecnd.net/images-1/innocence-jean-baptiste-greuze-1790-7183c554.jpg
b'Centurion Cornelius',b'Rembrandt',b'Cornelius',b'NL',https://az334033.vo.msecnd.net/images-3/centurion-cornelius-rembrandt-8b049279.jpg
