Title,Artist,Year,Country,Thumbnail
|b'"Over a Balcony," View of the Grand Canal, Venice'|,b'Francis Hopkinson Smith',b'1897',b'US',https://az334034.vo.msecnd.net/images-1/over-a-balcony-view-of-the-grand-canal-venice-francis-hopkinson-smith-1897-a77b45d5.jpg
b'Good Friends (Puppy and Kitten)',b'John Henry Dolph',b'1875',,https://az333960.vo.msecnd.net/images-3/good-friends-puppy-and-kitten-john-henry-dolph-1875-9fec206b.jpg
b'Pandora',b'Alexandre Cabanel',b'1873',b'FR',https://az334034.vo.msecnd.net/images-4/pandora-alexandre-cabanel-1873-3de8a0ba.jpg
b'An Ecclesiastic',b'Mari\xc3\xa0 Fortuny',b'1874',b'ES',https://az334033.vo.msecnd.net/images-8/an-ecclesiastic-mariano-jose-maria-bernardo-fortuny-y-carbo-1874-b70fc1e2.jpg
b'Springtime',b'Claude Monet',b'1872',b'FR',https://az334033.vo.msecnd.net/images-1/springtime-claude-monet-1872-d03489d2.jpg
b'A Perch of Birds',b'Hector Giacomelli',b'1880',b'FR',https://az334033.vo.msecnd.net/images-9/a-perch-of-birds-hector-giacomelli-1880-c61a8096.jpg
b'Tailpiece for Bonvin Album',b'Jean-Marie Reignier',b'1867',b'FR',https://az334033.vo.msecnd.net/images-3/tailpiece-for-bonvin-album-jean-marie-reignier-1867-95cfe806.jpg
|b'The Sheepfold, Moonlight'|,b'Jean-Fran\xc3\xa7ois Millet',b'1860',b'FR',https://az333960.vo.msecnd.net/images-1/the-sheepfold-moonlight-jean-francois-millet-1c7533d5.jpg
b'Diogenes',b'Jean-L\xc3\xa9on G\xc3\xa9r\xc3\xb4me',b'1860',b'FR',https://az333959.vo.msecnd.net/images-6/diogenes-jean-leon-gerome-1860-8da70add.jpg
b'News from Afar',b'Alfred Stevens',b'1865',b'BE',https://az333960.vo.msecnd.net/images-6/news-from-afar-alfred-e-stevens-1860-0d45cbac.jpg
b'The Waning Honeymoon',b'George Henry Boughton',b'1878',,https://az333960.vo.msecnd.net/images-1/the-waning-honeymoon-george-henry-boughton-1878-b041e832.jpg
b'The Painter and His Model',b'Alfred Stevens',b'1855',b'BE',https://az334034.vo.msecnd.net/images-6/the-painter-and-his-model-alfred-e-stevens-1855-e4cc0092.jpg
b'Sappho and Alcaeus',b'Lawrence Alma-Tadema',b'1881',b'NL',https://az333960.vo.msecnd.net/images-8/sappho-and-alcaeus-lawrence-alma-tadema-1881-306c63a4.jpg
b"Figaro's Shop",b'Jos\xc3\xa9 Jim\xc3\xa9nez Aranda',b'1875',b'ES',https://az334033.vo.msecnd.net/images-7/figaro-s-shop-jose-jimenez-aranda-1875-d40df51d.jpg
b'Politics in an Oyster House',b'Richard Caton Woodville',b'1848',b'US',https://az334033.vo.msecnd.net/images-7/politics-in-an-oyster-house-richard-caton-woodville-1848-0a7a0d19.jpg
b'Birds Resting on Bushes',b'L\xc3\xa9on Bonvin',b'1864',b'FR',https://az334033.vo.msecnd.net/images-2/birds-resting-on-bushes-leon-bonvin-1864-c94c7fe0.jpg
b'A Roman Slave Market',b'Jean-L\xc3\xa9on G\xc3\xa9r\xc3\xb4me',b'1884',b'FR',https://az334033.vo.msecnd.net/images-7/a-roman-slave-market-jean-leon-gerome-1884-78145da0.jpg
b'The Caf\xc3\xa9-Concert',b'Edouard Manet',b'1879',b'FR',https://az334034.vo.msecnd.net/images-4/the-cafe-concert-edouard-manet-1879-a80c052a.jpg
b'Portrait of Mrs. Francis Stanton Blake (Eugenia White Blake)',b'Julius LeBlanc Stewart',b'1908',,https://az334034.vo.msecnd.net/images-7/untitled-julius-leblanc-stewart-1908-e79e84bf.jpg
b'Clearing Up--Coast of Sicily',b'Andreas Achenbach',b'1847',b'DE',https://az334033.vo.msecnd.net/images-1/clearing-up-coast-of-sicily-andreas-achenbach-1847-c8c62710.jpg
b'Basket of Asters',b'L\xc3\xa9on Bonvin',b'1863',b'FR',https://az334034.vo.msecnd.net/images-8/basket-of-asters-leon-bonvin-1863-25e542c9.jpg
b'The Scarlet Letter',b'Hugues Merle',b'1861',b'FR',https://az334033.vo.msecnd.net/images-5/the-scarlet-letter-hugues-merle-1861-61b497a4.jpg
b'Saint Mary Magdalene',b'Giacomo Galli',b'1635',,https://az333960.vo.msecnd.net/images-1/the-penitent-mary-magdalene-giacomo-galli-7bdcc378.jpg
b'The Important Response',b'Florent Joseph Marie Willems',b'19',b'BE',https://az334033.vo.msecnd.net/images-9/the-important-response-florent-joseph-marie-willems-6170fb77.jpg
b'Interior of a Gothic Church',b'\xc3\x89mile-Antoine-Fran\xc3\xa7ois Herson',b'1864',,https://az334034.vo.msecnd.net/images-5/interior-of-a-gothic-church-emile-antoine-francois-herson-1864-d4d419f8.jpg
b"The Christian Martyrs' Last Prayer",b'Jean-L\xc3\xa9on G\xc3\xa9r\xc3\xb4me',b'1883',b'FR',https://az333960.vo.msecnd.net/images-7/the-christian-martyrs-last-prayer-jean-leon-gerome-7fadf251.jpg
|b'Original Manuscript and Rare Book Library, Walters Art...'|,b'Frederic Schuler Briggs',b'1975',,https://az334033.vo.msecnd.net/images-6/riginal-manuscript-and-rare-book-library-walters-art-gallery-frederic-schuler-briggs-1975-23966ba3.jpg
