Title,Artist,Year,Country,Thumbnail
b'October Festival evening outside the walls of Rome',b'Wilhelm Marstrand',b'1839',,https://az334033.vo.msecnd.net/images-9/october-festival-evening-outside-the-walls-of-rome-wilhelm-marstrand-1839-a4f8f12b.jpg
|b'The coast at Laurvig, Norway'|,b'Johan Christian Dahl',b'Norway',b'NO',https://az333959.vo.msecnd.net/images-3/the-coast-at-laurvig-norway-johan-christian-dahl-c212979c.jpg
b"Artist in the Evening at Finck's Coffee House in Munich",b'Wilhelm Bendz',b'1832',b'DK',https://az333959.vo.msecnd.net/images-7/untitled-wilhelm-bendz-01a5089d.jpg
b'View of Athens from the south-west',b'Martinus R\xc3\xb8rbye',b'south-west',b'DK',https://az333960.vo.msecnd.net/images-8/view-of-athens-from-the-south-west-martinus-rorbye-14bcb32d.jpg
b'The Bay of Naples by moonlight',b'Johan Christian Dahl',b'moonlight',b'NO',https://az334033.vo.msecnd.net/images-7/the-bay-of-naples-by-moonlight-johan-christian-dahl-20323276.jpg
|b'Country road near La Storta, Italy'|,b'Johan Christian Dahl',b'Italy',b'NO',https://az333960.vo.msecnd.net/images-0/country-road-near-la-storta-italy-johan-christian-dahl-4fea5159.jpg
b'Untitled',b'Ditlev Blunck',b'Untitled',,https://az334033.vo.msecnd.net/images-4/untitled-ditlev-blunck-1-5a729bf5.jpg
|b'Norwegian landscape, Jordalsnuten'|,b'Johan Christian Dahl',b'Jordalsnuten',b'NO',https://az334033.vo.msecnd.net/images-8/norwegian-landscape-jordalsnuten-johan-christian-dahl-e8348308.jpg
b'Nys\xc3\xb8 Manor with Thorvaldsen in front of his Studio',b'Heinrich Buntzen',b'Studio',,https://az334034.vo.msecnd.net/images-2/nyso-manor-with-thorvaldsen-in-front-of-his-studio-heinrich-buntzen-fa9755ba.jpg
b'View of the Thorvaldsen Museum',b'Constantin Hansen',b'Museum',b'DK',https://az334033.vo.msecnd.net/images-4/view-of-the-thorvaldsen-museum-constantin-hansen-83f2b358.jpg
|b'Harbour scene, Palermo'|,b'Martinus R\xc3\xb8rbye',b'Palermo',b'DK',https://az334034.vo.msecnd.net/images-6/harbour-scene-palermo-martinus-rorbye-caef5164.jpg
b'Grotto by the Bay of Naples. Moonlight',b'Johan Christian Dahl',b'Moonlight',b'NO',https://az333960.vo.msecnd.net/images-6/grotto-by-the-bay-of-naples-moonlight-johan-christian-dahl-6708eb40.jpg
b'Untitled',b'Ernst Meyer',b'Untitled',,https://az334033.vo.msecnd.net/images-6/untitled-ernst-meyer-b649216e.jpg
b'Surf at the coast of Capri',b'Christian Frederik Ferdinand Thoming',b'Capri',,https://az334034.vo.msecnd.net/images-4/surf-at-the-coast-of-capri-christian-frederik-ferdinand-thoming-6f3fd88b.jpg
|b'Landscape from Telemark, Norway'|,b'Johan Christian Dahl',b'Norway',b'NO',https://az333959.vo.msecnd.net/images-4/landscape-from-telemark-norway-johan-christian-dahl-d3a0f844.jpg
b'The Reception of Thorvaldsen on Toldboden in Copenhagen...',b'Friedrich Bernhard Westphal',b'Copenhagen...',,https://az333960.vo.msecnd.net/images-3/the-reception-of-thorvaldsen-on-toldboden-in-copenhagen-the-17th-of-september-1838-friedrich-bernhard-westphal-490f974f.jpg
b'Portrait of Thorvaldsen',b'Johan Christian Dahl',b'1841',b'NO',https://az333959.vo.msecnd.net/images-9/portrait-of-thorvaldsen-johan-christian-dahl-1841-72660df1.jpg
b'Untitled',b'Johan Lundbye',b'Untitled',,https://az334034.vo.msecnd.net/images-3/untitled-johan-lundbye-2-61a9ae66.jpg
