Title,Artist,Year,Country,Thumbnail
b'Zarte Spannung (Delicate Tension)',b'Wassily Kandinsky',b'1923',b'RU',https://az334033.vo.msecnd.net/images-7/mild-tension-vasily-kandinsky-1923-fd2b1723.jpg
b'Night: Mediterranean Coast Scene with Fishermen and Boats',b'Claude-Joseph Vernet',b'1753',b'FR',https://az333959.vo.msecnd.net/images-3/night-mediterranean-coast-scene-with-fishermen-and-boats-claude-joseph-vernet-1753-6ad38de1.jpg
b'Beach Scene',b'Winslow Homer',b'1869',b'US',https://az333959.vo.msecnd.net/images-8/beach-scene-winslow-homer-740bfc57.jpg
|b'Portrait of Millicent, Duchess of Sutherland'|,b'John Singer Sargent',b'1904',b'US',https://az334034.vo.msecnd.net/images-6/portrait-of-millicent-duchess-of-sutherland-john-singer-sargent-6d69a4c2.jpg
b'Easter Morning',b'Caspar David Friedrich',b'1835',b'DE',https://az333959.vo.msecnd.net/images-4/easter-morning-caspar-david-friedrich-1828-eacf04ee.jpg
b'Seated Woman',b'Juan Gris',b'1917',b'ES',https://az334034.vo.msecnd.net/images-8/seated-woman-juan-gris-cb1e5586.jpg
|b'Horsewoman, Fullface'|,b'Edouard Manet',b'1882',b'FR',https://az333960.vo.msecnd.net/images-1/horsewoman-fullface-edouard-manet-cd375629.jpg
b'The Stevedores in Arles',b'Vincent van Gogh',b'1888',b'NL',https://az333959.vo.msecnd.net/images-8/the-stevedores-in-arles-vincent-van-gogh-eb3d4be6.jpg
b'Girl at Sewing Machine',b'Edward Hopper',b'1921',b'US',https://az333960.vo.msecnd.net/images-3/girl-at-sewing-machine-edward-hopper-1921-486d06ce.jpg
b'Alpine Kitchen',b'Ernst Ludwig Kirchner',b'1918',b'DE',https://az333960.vo.msecnd.net/images-8/alpine-kitchen-ernst-ludwig-kirchner-6e709172.jpg
b'The Psyche Mirror',b'Berthe Morisot',b'1876',b'FR',https://az333960.vo.msecnd.net/images-7/the-psyche-mirror-berthe-morisot-1876-10a7f7ae.jpg
|b'Murnau, Houses in the Obermarkt'|,b'Wassily Kandinsky',b'1908',b'RU',https://az333960.vo.msecnd.net/images-8/houses-in-murnau-on-obermarkt-vasily-kandinsky-1908-8bc94ba6.jpg
b"'The Vessenots' in Auvers",b'Vincent van Gogh',b'1890',b'NL',https://az333960.vo.msecnd.net/images-8/view-of-vessenots-near-auvers-vincent-van-gogh-1890-50b5fa52.jpg
b'Orchid and Hummingbird near a Mountain Waterfall',b'Martin Johnson Heade',b'1902',b'US',https://az333960.vo.msecnd.net/images-1/orchid-and-hummingbird-near-a-mountain-waterfall-martin-johnson-heade-1902-0ec8b5b2.jpg
b'Rue Saint-Honor\xc3\xa9 in the Afternoon - Effect of Rain',b'Camille Pissarro',b'1897',b'FR',https://az334033.vo.msecnd.net/images-3/rue-saint-honore-in-the-afternoon-effect-of-rain-camille-pissarro-4b1faa5c.jpg
b'The Dream',b'Franz Marc',b'1912',b'DE',https://az333959.vo.msecnd.net/images-7/the-dream-franz-marc-1912-234347fc.jpg
b'Gaston Bonnefoy',b'Henri de Toulouse-Lautrec',b'1891',b'FR',https://az334033.vo.msecnd.net/images-7/gaston-bonnefoy-henri-de-toulouse-lautrec-455a6054.jpg
b'La Toilette',b'Fran\xc3\xa7ois Boucher',b'1742',b'FR',https://az334033.vo.msecnd.net/images-0/la-toilette-francois-boucher-426890ec.jpg
b'Still Life With Cat and Fish',b'Jean-Baptiste-Sim\xc3\xa9on Chardin',b'Fish',b'FR',https://az334034.vo.msecnd.net/images-7/still-life-with-cat-and-fish-jean-baptiste-simeon-chardin-dd217a15.jpg
b'Hussars on a Sortie',b'August Macke',b'1913',b'DE',https://az334034.vo.msecnd.net/images-1/hussars-on-a-sortie-august-macke-00482c07.jpg
b'Woman with a Parasol in a Garden',b'Auguste Renoir',b'1875',b'FR',https://az334033.vo.msecnd.net/images-4/woman-with-a-parasol-in-a-garden-pierre-auguste-renoir-1875-1c5b7224.jpg
b'Portrait of Henry VIII',b'Hans Holbein the Younger',b'1537',b'DE',https://az333960.vo.msecnd.net/images-0/portrait-of-henry-viii-hans-holbein-1537-1-904d1522.jpg
b'Saint Catherine of Alexandria',b'Michelangelo Merisi da Caravaggio',b'1598',b'IT',https://az333960.vo.msecnd.net/images-9/saint-catherine-caravaggio-1598-0931e3cc.jpg
b'Lilacs',b'Paul Gauguin',b'Lilacs',b'FR',https://az334034.vo.msecnd.net/images-0/lilacs-paul-gauguin-dc880ceb.jpg
b'The Immaculate Conception',b'El Greco',b'1614',b'GR',https://az333960.vo.msecnd.net/images-4/the-immaculate-conception-el-greco-645a8220.jpg
b'Portrait of Helena de Kay',b'Winslow Homer',b'Kay',b'US',https://az333960.vo.msecnd.net/images-7/portrait-of-helena-de-kay-winslow-homer-e1b80dc7.jpg
b'Racehorses in a Landscape',b'Edgar Degas',b'Landscape',b'FR',https://az334034.vo.msecnd.net/images-5/racehorses-in-a-landscape-edgar-degas-c69d65f8.jpg
b'The Virgin and Child with Saint Rose of Viterbo',b'Bartolom\xc3\xa9 Esteban Murillo',b'Viterbo',b'ES',https://az334034.vo.msecnd.net/images-7/the-virgin-and-child-with-saint-rose-of-viterbo-bartolome-esteban-murillo-1f51d34e.jpg
b'Houses on the River (The Old Town)',b'Egon Schiele',b'Town)',b'AT',https://az333960.vo.msecnd.net/images-7/houses-on-the-river-the-old-town-egon-schiele-da002527.jpg
b'Expulsion: Moon and Firelight',b'Thomas Cole',b'1828',b'US',https://az333959.vo.msecnd.net/images-7/expulsion-moon-and-firelight-thomas-cole-1828-8eef3d96.jpg
b'Madonna of the Dry Tree',b'Petrus Christus',b'1462',b'NL',https://az333959.vo.msecnd.net/images-4/madonna-of-the-dry-tree-petrus-christus-1462-31f02259.jpg
b'View of the Giudecca Canal and the Zattere',b'Francesco Guardi',b'1757',b'IT',https://az333960.vo.msecnd.net/images-5/view-of-the-giudecca-canal-and-the-zattere-francesco-guardi-1757-8e8f5f62.jpg
b'View onto a Square',b'Paul Klee',b'Square',b'CH',https://az334033.vo.msecnd.net/images-0/view-onto-a-square-paul-klee-07346b66.jpg
