Title,Artist,Year,Country,Thumbnail
b'Landscape with the Parable of the Sower',b'Pieter Brueghel the Elder',b'1552',b'NL',https://az333959.vo.msecnd.net/images-1/landscape-with-the-parable-of-the-sower-pieter-brueghel-the-elder-1552-2ca19d8b.jpg
b'Still Life',b'Pieter Claesz.',b'1627',b'BE',https://az334033.vo.msecnd.net/images-2/still-life-pieter-claesz-1627-043c11ed.jpg
|b'Opus 24: Rome, from the Campagna, Sunset'|,b'Thomas Moran',b'1867',b'US',https://az334034.vo.msecnd.net/images-9/opus-24-rome-from-the-campagna-sunset-thomas-moran-1867-bdf83863.jpg
b'Ariccia',b'George Inness',b'1874',b'US',https://az334033.vo.msecnd.net/images-5/ariccia-george-inness-1874-c97b8aea.jpg
b'Portrait of a man',b'Frans Hals',b'1634',b'NL',https://az334034.vo.msecnd.net/images-4/portrait-of-a-man-frans-hals-1634-204f7464.jpg
b'The Return of the Prodigal Son',b'Guercino',b'1654',b'IT',https://az334034.vo.msecnd.net/images-8/the-return-of-the-prodigal-son-guercino-1654-d311e1ea.jpg
b'Apple Blossoms',b'Jasper Francis Cropsey',b'1887',b'US',https://az333959.vo.msecnd.net/images-9/apple-blossoms-jasper-francis-cropsey-1887-42ea99ee.jpg
b'View of Haarlem from the South with Bleaching fields',b'Jacob van Ruisdael',b'fields',b'NL',https://az333959.vo.msecnd.net/images-0/view-of-haarlem-from-the-south-with-bleaching-fields-jacob-van-ruisdael-c506e54d.jpg
b'Untitled',b'Girolamo Savoldo',b'1521',,https://az334033.vo.msecnd.net/images-2/untitled-girolamo-savoldo-1521-1b885a86.jpg
b'Pastoral Landscape',b'Claude Lorrain',b'1646',b'FR',https://az334033.vo.msecnd.net/images-4/pastoral-landscape-claude-lorrain-1646-e0ddca9a.jpg
b'The Magnolia Blossom',b'Martin Johnson Heade',b'1888',b'US',https://az334034.vo.msecnd.net/images-0/the-magnolia-blossom-martin-johnson-heade-1888-57705f5d.jpg
b'A Seaport at Sunset',b'Claude-Joseph Vernet',b'1749',b'FR',https://az334034.vo.msecnd.net/images-5/a-seaport-at-sunset-claude-joseph-vernet-1749-9d1572e3.jpg
|b'Cho-looke, the Yosemite Fall'|,b'Albert Bierstadt',b'1864',,https://az334034.vo.msecnd.net/images-9/cho-looke-the-yosemite-fall-albert-bierstadt-1864-2668007a.jpg
b'Portrait of Cooper Penrose',b'Jacques-Louis David',b'1802',b'FR',https://az334033.vo.msecnd.net/images-0/untitled-jacques-louis-david-1802-509ad438.jpg
b'Young man in armor',b'Peter Paul Rubens',b'1620',b'NL',https://az334034.vo.msecnd.net/images-2/young-man-in-armor-peter-paul-rubens-1620-eaebf78e.jpg
b'St. Bartholomew',b'Rembrandt',b'Bartholomew',b'NL',https://az334033.vo.msecnd.net/images-9/st-bartholomew-rembrandt-4e40af33.jpg
b'Untitled',b'Petrus Christus',b'1457',b'NL',https://az333959.vo.msecnd.net/images-4/untitled-petrus-christus-1457-1983a0fb.jpg
b'Castine Harbor and Town',b'Fitz Henry Lane',b'1851',b'US',https://az334033.vo.msecnd.net/images-6/castine-harbor-and-town-fitz-henry-lane-1851-c6457291.jpg
