Title,Artist,Year,Country,Thumbnail
b'Hyde Park',b'Camille Pissarro',b'Park',b'FR',https://az334033.vo.msecnd.net/images-4/hyde-park-camille-pissarro-447bdf2e.jpg
b'Boat Lying at Low Tide',b'Claude Monet',b'1881',b'FR',https://az334034.vo.msecnd.net/images-8/boat-lying-at-low-tide-claude-monet-1881-89cd47cf.jpg
b'Detour in Auvers',b'Paul C\xc3\xa9zanne',b'1873',b'FR',https://az333960.vo.msecnd.net/images-0/detour-in-auvers-paul-cezanne-1873-4a8d6a5a.jpg
b'Squall on the Horizon',b'Gustave Courbet',b'1872',b'FR',https://az334033.vo.msecnd.net/images-9/squall-on-the-horizon-gustave-courbet-1872-7a5d12e1.jpg
b'Smoker',b'Georges de La Tour',b'1646',b'FR',https://az334034.vo.msecnd.net/images-1/smoker-georges-de-la-tour-1646-80c70cd1.jpg
|b'Spring, Morning, Cloudy, Eragny'|,b'Camille Pissarro',b'1900',b'FR',https://az334034.vo.msecnd.net/images-3/spring-morning-cloudy-eragny-camille-pissarro-1900-d6ec6173.jpg
b'Don Quixote in His Library',b'Eug\xc3\xa8ne Delacroix',b'1824',b'FR',https://az333959.vo.msecnd.net/images-1/don-quixote-in-his-library-eugene-delacroix-1824-24f947e5.jpg
b'Water Lilies',b'Claude Monet',b'1908',b'FR',https://az334034.vo.msecnd.net/images-9/water-lilies-claude-monet-1908-e7550e3f.jpg
b'Rome: The Piazza del Quirinale',b'Canaletto',b'1751',b'IT',https://az333959.vo.msecnd.net/images-7/rome-the-piazza-del-quirinale-canaletto-1751-8ef45f65.jpg
b'Portrait of a man',b'Frans Hals',b'1633',b'NL',https://az333960.vo.msecnd.net/images-0/portrait-of-a-man-frans-hals-1633-a886184e.jpg
b'Portrait of the Marquise de la Fert\xc3\xa9-Imbault',b'Jean-Marc Nattier',b'1740',b'FR',https://az334033.vo.msecnd.net/images-2/portrait-of-the-marquise-de-la-ferte-imbault-jean-marc-nattier-1740-a1291bab.jpg
b'Portrait of Madame Geoffrin',b'Jean-Marc Nattier',b'1738',b'FR',https://az334033.vo.msecnd.net/images-6/portrait-of-madame-geoffrin-jean-marc-nattier-1738-0ce7a850.jpg
b'Promenade',b'Edouard Manet',b'1880',b'FR',https://az334033.vo.msecnd.net/images-5/promenade-edouard-manet-1880-4499a1e8.jpg
b'Woman After Bath',b'Auguste Renoir',b'1896',b'FR',https://az334034.vo.msecnd.net/images-1/woman-after-bath-pierre-auguste-renoir-1896-bb76777f.jpg
|b'Portrait of Princess Elisabeth of France, Sister of Louis...'|,b'Elisabeth Louise Vig\xc3\xa9e Le Brun',b'1782',b'FR',https://az333959.vo.msecnd.net/images-1/portrait-of-princess-elisabeth-of-france-sister-of-louis-xvi-louise-elisabeth-vigee-le-brun-1782-c58da04e.jpg
|b'Autumn, Morning, Cloudy, Eragny'|,b'Camille Pissarro',b'1900',b'FR',https://az334033.vo.msecnd.net/images-6/autumn-morning-cloudy-eragny-camille-pissarro-1900-209c8403.jpg
b'Arabs of Oran',b'Eug\xc3\xa8ne Delacroix',b'1834',b'FR',https://az333959.vo.msecnd.net/images-3/arabs-of-oran-eugene-delacroix-1834-5f3a6951.jpg
b'Willow by the Aven',b'Paul Gauguin',b'1888',b'FR',https://az334034.vo.msecnd.net/images-2/willow-by-the-aven-paul-gauguin-1888-ed0e233e.jpg
