Title,Artist,Year,Country,Thumbnail
b'Untitled',b'Kuroda Seiki',b'Untitled',,https://az333959.vo.msecnd.net/images-5/untitled-kuroda-seiki-013dbd78.jpg
b'Pine Trees',b'Hasegawa T\xc5\x8dhaku',b'1600',,https://az334033.vo.msecnd.net/images-5/pine-trees-hasegawa-tohaku-1600-2c543f96.jpg
|b'Ten physiognomic types of women, Coquettish type'|,b'Kitagawa Utamaro',b'type',b'JP',https://az333960.vo.msecnd.net/images-4/ten-physiognomic-types-of-women-coquettish-type-kitagawa-utamaro-d1943ecc.jpg
b'Portrait of Terajima Munenori',b'Kuroda Seiki',b'Munenori',,https://az333959.vo.msecnd.net/images-4/portrait-of-terajima-munenori-kuroda-seiki-ab6e7682.jpg
b'Flowering Plants of Summer and Autumn',b'Sakai Hoitsu',b'1821',,https://az334033.vo.msecnd.net/images-5/flowering-plants-of-summer-and-autumn-sakai-hoitsu-1821-d03c5d69.jpg
b'Beauty Looking Back',b'Hishikawa Moronobu',b'Back',,https://az334033.vo.msecnd.net/images-6/beauty-looking-back-hishikawa-moronobu-419b74d5.jpg
b'Landscapes and Beauties- Feeling Like Reading the Next...',b'Utagawa Kuniyoshi',b'Next...',,https://az333960.vo.msecnd.net/images-1/landscapes-and-beauties-feeling-like-reading-the-next-volume-utagawa-kuniyoshi-7e812068.jpg
b'Portrait of Sato Issai (age 50)',b'Watanabe Kazan',b'50)',,https://az333959.vo.msecnd.net/images-4/portrait-of-sato-issai-age-50-watanabe-kazan-b60595a5.jpg
b'Li Bai saying a poem',b'Liang Kai',b'1300',,https://az333959.vo.msecnd.net/images-1/li-bai-saying-a-poem-liang-kai-1300-a2490163.jpg
|b'One Hundred and Eight Heroes from the Chinese Tale, The...'|,b'Utagawa Kuniyoshi',b'The...',,https://az334034.vo.msecnd.net/images-1/one-hundred-and-eight-heroes-from-the-chinese-tale-the-water-margin-zhang-shun-alias-white-stripe-utagawa-kuniyoshi-d47da30c.jpg
b'Red and White Cotton Roses',b'Li Di',b'1197',,https://az333959.vo.msecnd.net/images-4/red-and-white-cotton-roses-li-di-1197-4516f0e4.jpg
b'Merrymaking Under the Cherry Blossoms',b'Kan\xc5\x8d Naganobu',b'1650',,https://az333959.vo.msecnd.net/images-1/merrymaking-under-the-cherry-blossoms-kano-naganobu-1650-c9e954e4.jpg
b'Rouleau illustr\xc3\xa9 de Tsuchigumo',b'Anonymous',b'Tsuchigumo',,https://az333959.vo.msecnd.net/images-3/rouleau-illustre-de-tsuchigumo-anonymous-79e0421a.jpg
b'Tengu Zoshi Emaki',b'Anonymous',b'1296',,https://az333959.vo.msecnd.net/images-5/tengu-zoshi-emaki-anonymous-1296-b7899a7f.jpg
b'Scroll of Sumiyoshi Monogatari',b'Anonymous',b'1300',,https://az333959.vo.msecnd.net/images-6/scroll-of-sumiyoshi-monogatari-anonymous-1300-abb5dc59.jpg
b'Narrative Picture Scroll about Love Romance of Courtier...',b'Anonymous',b'Courtier...',,https://az333959.vo.msecnd.net/images-9/narrative-picture-scroll-about-love-romance-of-courtier-and-girl-at-sumiyoshi-anonymous-a6bb325c.jpg
b'Winter Landscape',b'Sessh\xc5\xab T\xc5\x8dy\xc5\x8d',b'1470',b'JP',https://az333959.vo.msecnd.net/images-9/winter-landscape-sesshu-toyo-1470-e1f4de43.jpg
b'Image of Grand Master Jigen Daishi (Tenkai)',b'Anonymous',b'(Tenkai)',,https://az333960.vo.msecnd.net/images-0/image-of-grand-master-jigen-daishi-tenkai-anonymous-f1d4b8af.jpg
