Title,Artist,Year,Country,Thumbnail
b'Open Air Breakfast',b'William Merritt Chase',b'1888',b'US',https://az333959.vo.msecnd.net/images-2/open-air-breakfast-william-merritt-chase-1888-24239dca.jpg
b'Anunciaci\xc3\xb3n',b'El Greco',b'1609',b'GR',https://az333960.vo.msecnd.net/images-0/untitled-el-greco-1609-2-ec9cc63f.jpg
b'Young Man with a Plumed Hat',b'Rembrandt',b'Hat',b'NL',https://az333959.vo.msecnd.net/images-2/young-man-with-a-plumed-hat-rembrandt-828d6f43.jpg
|b'Rainy Day, Boston'|,b'Childe Hassam',b'1885',b'US',https://az333959.vo.msecnd.net/images-6/rainy-day-boston-childe-hassam-1885-58724975.jpg
b'Two Women and a Child in a Courtyard',b'Pieter de Hooch',b'Courtyard',b'NL',https://az333960.vo.msecnd.net/images-4/two-women-and-a-child-in-a-courtyard-pieter-de-hooch-0c3d5529.jpg
b'Studio of an Antiquities Restorer in Rome',b'Hubert Robert',b'1783',b'FR',https://az333960.vo.msecnd.net/images-9/studio-of-an-antiquities-restorer-in-rome-hubert-robert-1783-3e86c42a.jpg
b'Victoria Dubourg',b'Edgar Degas',b'1869',b'FR',https://az333960.vo.msecnd.net/images-7/victoria-dubourg-edgar-degas-a88b2097.jpg
b'Comtesse de C\xc3\xa9r\xc3\xa8s Former title (from 1963 to 1992)- Lady...',b'Elisabeth Louise Vig\xc3\xa9e Le Brun',b'1784',b'FR',https://az333959.vo.msecnd.net/images-6/comtesse-de-ceres-former-title-from-1963-to-1992-lady-folding-a-letter-louise-elisabeth-vigee-le-brun-1784-2a7f14fe.jpg
b"The Architect's Dream",b'Thomas Cole',b'Dream',b'US',https://az334034.vo.msecnd.net/images-5/the-architect-s-dream-thomas-cole-7a0527ce.jpg
b'Houses at Auvers',b'Vincent van Gogh',b'1890',b'NL',https://az334033.vo.msecnd.net/images-2/houses-at-auvers-vincent-van-gogh-10cf6491.jpg
b'The Campo Santo',b'Joseph Mallord William Turner',b'1842',b'GB',https://az333959.vo.msecnd.net/images-6/the-campo-santo-j-m-w-turner-1842-386220fd.jpg
b'La Ville de Paris',b'Robert Delaunay',b'1911',b'FR',https://az333959.vo.msecnd.net/images-9/la-ville-de-paris-robert-delaunay-1911-1-02f38b3c.jpg
b"Blind Man's Bluff",b'Jean-Honor\xc3\xa9 Fragonard',b'1760',b'FR',https://az333960.vo.msecnd.net/images-0/blind-man-s-bluff-jean-honore-fragonard-1760-560fc7d2.jpg
|b'View of the Riva degli Schiavoni, Venice'|,b'Canaletto',b'1740',b'IT',https://az334034.vo.msecnd.net/images-9/view-of-the-riva-degli-schiavoni-venice-canaletto-1740-dc072b4e.jpg
b'Wilderness',b'Sanford Robinson Gifford',b'1860',b'US',https://az333959.vo.msecnd.net/images-9/wilderness-sanford-robinson-gifford-1860-47d79843.jpg
b'Adoration of the Magi',b'Bartolom\xc3\xa9 Esteban Murillo',b'1655',b'ES',https://az334034.vo.msecnd.net/images-1/adoration-of-the-magi-bartolome-esteban-murillo-1655-1d67d06b.jpg
b'Left half of Gijsbert Claesz. van Campen family portrait',b'Frans Hals',b'1620',b'NL',https://az334033.vo.msecnd.net/images-1/left-half-of-gijsbert-claesz-van-campen-family-portrait-frans-hals-1620-618c1daa.jpg
b'Jacob Cornelisz Painting a Portrait of His Wife',b'Dirck Jacobsz.',b'1550',,https://az334034.vo.msecnd.net/images-4/jacob-cornelisz-painting-a-portrait-of-his-wife-dirck-jacobsz-1550-e39fc0c3.jpg
b'Mill at Charenton',b'Fran\xc3\xa7ois Boucher',b'1758',b'FR',https://az334034.vo.msecnd.net/images-3/mill-at-charenton-francois-boucher-1758-ae21b6f5.jpg
b'Holy Family with Saint John the Baptist',b"Francesco de' Rossi",b'Baptist',,https://az333959.vo.msecnd.net/images-5/holy-family-with-saint-john-the-baptist-francesco-de-rossi-a2544089.jpg
