Title,Artist,Year,Country,Thumbnail
b'Christ in the Desert',b'Ivan Kramskoi',b'1872',b'RU',https://az333960.vo.msecnd.net/images-4/christ-in-the-desert-ivan-kramskoi-1872-b5035575.jpg
b'The Mother of a Partisan',b'Sergei Vasilyevich Gerasimov',b'1943',b'RU',https://az334033.vo.msecnd.net/images-1/the-mother-of-a-partisan-alexander-gerasimov-1943-8e8bf13e.jpg
|b'Odessa, Port'|,b'Wassily Kandinsky',b'1898',b'RU',https://az334033.vo.msecnd.net/images-4/odessa-port-vasily-kandinsky-1898-40fc6630.jpg
b'Bathing of a Red Horse',b'Kuzma Petrov-Vodkin',b'Horse',,https://az334034.vo.msecnd.net/images-5/untitled-kuzma-petrov-vodkin-1-e46e8850.jpg
b'Moonlit Night on the Dniepr',b'Arkhip Kuindzhi',b'1882',,https://az333959.vo.msecnd.net/images-1/moonlit-night-on-the-dniepr-arkhip-kuindzhi-1882-6ae5ca74.jpg
b"Bull's Head",b'Mikhail Larionov',b'1913',b'RU',https://az334034.vo.msecnd.net/images-8/bull-s-head-mikhail-larionov-221b17b0.jpg
b'Beekeeper',b'Ivan Kramskoi',b'Beekeeper',b'RU',https://az333960.vo.msecnd.net/images-9/beekeeper-ivan-kramskoi-f8aa422b.jpg
b'The Black Sea',b'Ivan Aivazovsky',b'1881',b'RU',https://az334033.vo.msecnd.net/images-9/the-black-sea-ivan-aivazovsky-1881-9c1409e0.jpg
b'In the boat',b'Konstantin Korovin',b'boat',,https://az334033.vo.msecnd.net/images-2/in-the-boat-konstantin-korovin-968e8d57.jpg
b'Composition VII',b'Wassily Kandinsky',b'1913',b'RU',https://az334033.vo.msecnd.net/images-2/composition-vii-vasily-kandinsky-1913-e12c25d9.jpg
b'Portrait of an Unknown Woman',b'Ivan Kramskoi',b'1883',b'RU',https://az333959.vo.msecnd.net/images-5/portrait-of-an-unknown-woman-ivan-kramskoi-1883-13b758ba.jpg
b'Movement I',b'Wassily Kandinsky',b'1935',b'RU',https://az333959.vo.msecnd.net/images-3/movement-i-vasily-kandinsky-1935-f71298f4.jpg
b'Inconsolable grief',b'Ivan Kramskoi',b'grief',b'RU',https://az333959.vo.msecnd.net/images-8/inconsolable-grief-ivan-kramskoi-1f772855.jpg
b'\xd0\x97\xd0\xb0\xd1\x80\xd0\xbe\xd1\x81\xd1\x88\xd0\xb8\xd0\xb9 \xd0\xbf\xd1\x80\xd1\x83\xd0\xb4',b'Vasily Polenov',b'1879',b'RU',https://az333960.vo.msecnd.net/images-8/untitled-vasily-polenov-2bd00341.jpg
b'The Apotheosis of War',b'Vasily Vereshchagin',b'1871',b'RU',https://az334033.vo.msecnd.net/images-3/the-apotheosis-of-war-vasily-vereshchagin-1871-65fa24cb.jpg
b'Erechtheion',b'Vasily Polenov',b'1882',b'RU',https://az334034.vo.msecnd.net/images-4/erechtheion-vasily-polenov-1882-bba797d3.jpg
b'Moonlight night',b'Ivan Kramskoi',b'night',b'RU',https://az333960.vo.msecnd.net/images-0/moonlight-night-ivan-kramskoi-39537161.jpg
b'Our Lady of the Don',b'Theophanes the Greek',b'1382',,https://az333960.vo.msecnd.net/images-7/our-lady-of-the-don-theophanes-the-greek-1382-99be0576.jpg
b'The Hunters at Rest',b'Vasily Perov',b'Rest',b'RU',https://az333959.vo.msecnd.net/images-9/the-hunters-at-rest-vasily-perov-55e1cb9a.jpg
b'Rye Fields',b'Ivan Shishkin',b'1878',b'RU',https://az334033.vo.msecnd.net/images-1/rye-fields-ivan-shishkin-1878-bb4f77a2.jpg
b'Matchmaking of the major',b'Pavel Fedotov',b'1848',,https://az334034.vo.msecnd.net/images-9/matchmaking-of-the-major-pavel-fedotov-1848-01019029.jpg
b'Boyarina Morozova',b'Vasily Surikov',b'1887',,https://az333960.vo.msecnd.net/images-4/boyarina-morozova-vasily-surikov-1887-8556d09f.jpg
b'Morning in a Pine Forest',b'Ivan Shishkin',b'1889',b'RU',https://az334034.vo.msecnd.net/images-7/morning-in-a-pine-forest-ivan-shishkin-1889-5ae71a4e.jpg
b'Troika',b'Vasily Perov',b'1866',b'RU',https://az334033.vo.msecnd.net/images-4/untitled-vasily-perov-d3203472.jpg
b'Gro\xc3\x9fmutters Garten',b'Vasily Polenov',b'1878',b'RU',https://az333959.vo.msecnd.net/images-0/untitled-vasily-polenov-1-68cda5c2.jpg
b'Pancake Week',b'Boris Kustodiev',b'1916',,https://az334033.vo.msecnd.net/images-6/pancake-week-boris-kustodiev-1916-a149270e.jpg
b'Mortally wounded',b'Vasily Vereshchagin',b'wounded',b'RU',https://az334034.vo.msecnd.net/images-7/mortally-wounded-vasily-vereshchagin-7b6eb628.jpg
b'Working Casket',b'Olga Rozanova',b'1915',b'RU',https://az334034.vo.msecnd.net/images-5/working-casket-olga-rozanova-a9a371c4.jpg
b'Trinity',b'Andrei Rublev',b'1411',,https://az334034.vo.msecnd.net/images-5/trinity-andrei-rublev-1411-f0536aba.jpg
b'Portrait of Fedor Dostoyevsky',b'Vasily Perov',b'1872',b'RU',https://az333960.vo.msecnd.net/images-3/portrait-of-fedor-dostoyevsky-vasily-perov-1872-042c2ad6.jpg
|b'Moscow, Zubovskaya Square, Study'|,b'Wassily Kandinsky',b'1916',b'RU',https://az334034.vo.msecnd.net/images-3/moscow-zubovskaya-square-study-vasily-kandinsky-1916-8cdc8a3c.jpg
b'Virgin Eleousa of Kykkos',b'Simon Ushakov',b'1668',,https://az333959.vo.msecnd.net/images-2/virgin-eleousa-of-kykkos-simon-ushakov-1668-4a7fa439.jpg
b'Portrait of Pavel Tretyakov',b'Ivan Kramskoi',b'1876',b'RU',https://az333959.vo.msecnd.net/images-6/portrait-of-pavel-tretyakov-ivan-kramskoi-1876-46b960f2.jpg
b'Untitled',b'Nikolay Bogdanov-Belsky',b'Untitled',b'RU',https://az333960.vo.msecnd.net/images-9/untitled-nikolay-bogdanov-belsky-6cc347b0.jpg
b'At Breakfast',b'Zinaida Serebriakova',b'Breakfast',,https://az333960.vo.msecnd.net/images-0/at-breakfast-zinaida-serebriakova-b7c223b1.jpg
b'The Last Tavern at the City Gates',b'Vasily Perov',b'1868',b'RU',https://az334033.vo.msecnd.net/images-1/the-last-tavern-at-the-city-gates-vasily-perov-1868-0591f6cf.jpg
b'Princess Tarakanova',b'Konstantin Flavitsky',b'1864',,https://az333960.vo.msecnd.net/images-3/untitled-konstantin-flavitsky-2a715ce1.jpg
b'Untitled',b'Ivan Aivazovsky',b'Untitled',b'RU',https://az333959.vo.msecnd.net/images-7/untitled-ivan-aivazovsky-2-adb35ba1.jpg
b'Demon',b'Mikhail Vrubel',b'1890',,https://az333959.vo.msecnd.net/images-3/demon-mikhail-vrubel-1890-df7d85a2.jpg
b'Metronome',b'Olga Rozanova',b'Metronome',b'RU',https://az333959.vo.msecnd.net/images-9/metronome-olga-rozanova-5680011a.jpg
b'Kerosene',b'Olga Rozanova',b'Kerosene',b'RU',https://az334034.vo.msecnd.net/images-8/kerosene-olga-rozanova-23e2504d.jpg
b'Sideboard with Dishes',b'Olga Rozanova',b'Dishes',b'RU',https://az334033.vo.msecnd.net/images-4/sideboard-with-dishes-olga-rozanova-52f69ff9.jpg
b'A rich Kyrgyz hunter with a falcon',b'Vasily Vereshchagin',b'falcon',b'RU',https://az333960.vo.msecnd.net/images-5/a-rich-kyrgyz-hunter-with-a-falcon-vasily-vereshchagin-1e5eed22.jpg
b'Beer-sheva',b'Karl Bryullov',b'1832',,https://az334033.vo.msecnd.net/images-0/beer-sheva-karl-bryullov-1832-ccdfff25.jpg
b'Woman Reading. Portrait of Sofia Kramskaya',b'Ivan Kramskoi',b'1860',b'RU',https://az334033.vo.msecnd.net/images-6/woman-reading-portrait-of-sofia-kramskaya-ivan-kramskoi-1860-60a76d13.jpg
b'Self Portrait',b'Ivan Kramskoi',b'1867',b'RU',https://az334034.vo.msecnd.net/images-3/self-portrait-ivan-kramskoi-1867-632d80d6.png
b'They are triumphant',b'Vasily Vereshchagin',b'1872',b'RU',https://az333959.vo.msecnd.net/images-4/untitled-vasily-vereshchagin-1872-6c06fac3.jpg
b'Menshikov in Berezovo',b'Vasily Surikov',b'Berezovo',,https://az333960.vo.msecnd.net/images-5/menshikov-in-berezovo-vasily-surikov-88655a0f.jpg
b'Portrait of K.G.Ravich',b'Vasily Tropinin',b'1823',,https://az333959.vo.msecnd.net/images-4/portrait-of-k-g-ravich-vasily-tropinin-1823-52ff90c1.jpg
b'Portrait of Vladimir Dal',b'Vasily Perov',b'Dal',b'RU',https://az333960.vo.msecnd.net/images-7/portrait-of-vladimir-dal-vasily-perov-3b4e37f1.jpg
b'Vladimir Lenin in Smolny',b'Isaak Brodsky',b'1930',b'RU',https://az333960.vo.msecnd.net/images-9/untitled-isaak-brodsky-7e99ab62.jpg
b'Moscow Environs',b'Wassily Kandinsky',b'1908',b'RU',https://az333960.vo.msecnd.net/images-8/moscow-environs-vasily-kandinsky-1908-1c6cb1a0.jpg
b'Uzbek Woman in Tashkent',b'Vasily Vereshchagin',b'1873',b'RU',https://az334034.vo.msecnd.net/images-2/untitled-vasily-vereshchagin-1873-f8c46fba.jpg
b'Beggars in Samarkand',b'Vasily Vereshchagin',b'1870',b'RU',https://az334034.vo.msecnd.net/images-8/beggars-in-samarkand-vasily-vereshchagin-1870-a1ffa524.jpg
b'The Last Tavern at the City Gates',b'Vasily Perov',b'1868',b'RU',https://az334034.vo.msecnd.net/images-6/untitled-vasily-perov-1868-7856ae4c.jpg
b'Rustic View',b'Alexei Savrasov',b'View',,https://az333960.vo.msecnd.net/images-0/rustic-view-alexei-savrasov-d65cf74b.jpg
b'Portrait of M. P. Musorgsky',b'Ilya Repin',b'1881',b'RU',https://az333959.vo.msecnd.net/images-0/portrait-of-m-p-musorgsky-ilya-repin-1881-a2560769.jpg
b'Portrait of Prince A.B.Kurakin',b'Vladimir Borovikovsky',b'1801',,https://az334033.vo.msecnd.net/images-6/portrait-of-prince-a-b-kurakin-vladimir-borovikovsky-1801-a81f4f9c.jpg
b'About war',b'Vasily Vereshchagin',b'1873',b'RU',https://az333960.vo.msecnd.net/images-6/about-war-vasily-vereshchagin-1873-8f06203a.jpg
