Title,Artist,Year,Country,Thumbnail
b'Isenheim Altarpiece',b'Mathias Gr\xc3\xbcnewald',b'1512',,https://az333959.vo.msecnd.net/images-3/isenheim-altarpiece-mathias-grunewald-1512-6a895875.jpg
b'Untitled',b'Mathias Gr\xc3\xbcnewald',b'1512',,https://az333959.vo.msecnd.net/images-4/untitled-mathias-grunewald-1512-1-3fabed22.jpg
b'The Chariot of Death',b'Th\xc3\xa9ophile Schuler',b'1848',,https://az333960.vo.msecnd.net/images-8/the-chariot-of-death-theophile-schuler-1848-389658fd.jpg
b'Portrait of a Woman',b'Hans Holbein the Elder',b'1515',b'DE',https://az333960.vo.msecnd.net/images-8/portrait-of-a-woman-hans-holbein-the-elder-1515-17a1a044.jpg
b'Les ruines du ch\xc3\xa2teau de Crozant',b'Armand Guillaumin',b'1898',b'FR',https://az333960.vo.msecnd.net/images-4/les-ruines-du-chateau-de-crozant-armand-guillaumin-1898-f692defc.jpg
b'Saints Paul and Anthony in the Desert',b'Mathias Gr\xc3\xbcnewald',b'Desert',,https://az333960.vo.msecnd.net/images-0/saints-paul-and-anthony-in-the-desert-mathias-grunewald-9177470e.jpg
|b'Flagellation, Crowning with Thorns'|,b'Caspar Isenmann',b'Thorns',,https://az334033.vo.msecnd.net/images-0/flagellation-crowning-with-thorns-caspar-isenmann-6dba5bc0.jpg
|b'Altarpiece, second opening\xe2\x80\x8e'|,b'Mathias Gr\xc3\xbcnewald',b'1515',,https://az333959.vo.msecnd.net/images-6/altarpiece-second-opening-mathias-grunewald-1515-b60d4c42.jpg
b'Lamentation',b'Mathias Gr\xc3\xbcnewald',b'Lamentation',,https://az333960.vo.msecnd.net/images-0/lamentation-mathias-grunewald-30d5c764.jpg
b'Still Life with Parrot',b'Robert Delaunay',b'1907',b'FR',https://az333960.vo.msecnd.net/images-0/still-life-with-parrot-robert-delaunay-1907-1-cdc920fc.jpg
b'The Wedding at Cana',b'Anonymous',b'1500',,https://az333960.vo.msecnd.net/images-7/the-wedding-at-cana-anonymous-1500-e2ed6625.jpg
b'Untitled',b'Mathias Gr\xc3\xbcnewald',b'1512',,https://az333960.vo.msecnd.net/images-2/untitled-mathias-grunewald-1512-86176873.jpg
b'Untitled',b'Mathias Gr\xc3\xbcnewald',b'Untitled',,https://az334034.vo.msecnd.net/images-4/untitled-mathias-grunewald-fc777df0.jpg
b'Paysage normand',b'Pierre Bonnard',b'1920',b'FR',https://az334034.vo.msecnd.net/images-4/paysage-normand-pierre-bonnard-1920-95b98303.jpg
b'Noli me tangere',b'Martin Schongauer',b'1500',b'DE',https://az334034.vo.msecnd.net/images-2/noli-me-tangere-martin-schongauer-1500-1b90be2e.jpg
b'Still Life with Bottles and Books',b'Anonymous',b'1525',,https://az334034.vo.msecnd.net/images-7/still-life-with-bottles-and-books-anonymous-1525-49558116.jpg
b'Doubting Saint Thomas',b'Martin Schongauer',b'Thomas',b'DE',https://az333959.vo.msecnd.net/images-0/doubting-saint-thomas-martin-schongauer-c1ee7e6e.jpg
b'Annunciation',b'Mathias Gr\xc3\xbcnewald',b'1515',,https://az333959.vo.msecnd.net/images-4/annunciation-mathias-grunewald-1515-3be0a0d8.jpg
|b'Hansi - Colmar, puits place des Dominicains'|,b'Jean-Jacques Waltz',b'1974',,https://az334034.vo.msecnd.net/images-6/hansi-colmar-puits-place-des-dominicains-jean-jacques-waltz-1974-125336a1.jpg
b'Saint Sebastian',b'Mathias Gr\xc3\xbcnewald',b'1515',,https://az333960.vo.msecnd.net/images-0/saint-sebastian-mathias-grunewald-1515-38c4ccd6.jpg
b"La femme du L\xc3\xa9vite d'Ephra\xc3\xafm",b'Jean-Jacques Henner',b'1895',,https://az334034.vo.msecnd.net/images-6/la-femme-du-levite-d-ephraim-jean-jacques-henner-1895-b3a471de.jpg
b'Retable de Sainte Catherine et Saint Laurent',b'Anonymous',b'1515',,https://az333960.vo.msecnd.net/images-4/retable-de-sainte-catherine-et-saint-laurent-anonymous-1515-2464a2e5.jpg
b'Crucifixion',b'Jost Haller',b'1445',,https://az333959.vo.msecnd.net/images-6/crucifixion-jost-haller-1445-01f6eb6e.jpg
b'Couvent des Unterlinden',b'Henri Lebert',b'1838',,https://az334034.vo.msecnd.net/images-0/couvent-des-unterlinden-henri-lebert-1838-8836631d.jpg
|b'Retable de Saint-Georges, Saint-Jean et autres saints'|,b'Anonymous',b'1401',,https://az334034.vo.msecnd.net/images-0/retable-de-saint-georges-saint-jean-et-autres-saints-anonymous-1401-8ba79870.jpg
b'Retable des Dominicains',b'Martin Schongauer',b'1480',b'DE',https://az333960.vo.msecnd.net/images-7/retable-des-dominicains-martin-schongauer-1480-11045600.jpg
