Title,Artist,Year,Country,Thumbnail
b'Legend of St Francis: 19. Stigmatization of St Francis',b'Giotto di Bondone',b'1295',b'IT',https://az334034.vo.msecnd.net/images-1/untitled-giotto-di-bondone-1295-15-4c8d3702.jpg
b'Untitled',b'Giotto di Bondone',b'1295',b'IT',https://az333959.vo.msecnd.net/images-0/untitled-giotto-di-bondone-1295-4-f599a1c9.jpg
b'Untitled',b'Giotto di Bondone',b'1295',b'IT',https://az334033.vo.msecnd.net/images-4/untitled-giotto-di-bondone-1295-2-2ac3a791.jpg
b'Untitled',b'Giotto di Bondone',b'1295',b'IT',https://az333960.vo.msecnd.net/images-3/untitled-giotto-di-bondone-1295-14-749f8d92.jpg
b'Untitled',b'Giotto di Bondone',b'1295',b'IT',https://az333959.vo.msecnd.net/images-6/untitled-giotto-di-bondone-1295-18-05484171.jpg
b'Untitled',b'Giotto di Bondone',b'1295',b'IT',https://az334033.vo.msecnd.net/images-7/untitled-giotto-di-bondone-1295-1-0f4f42b8.jpg
b'Untitled',b'Giotto di Bondone',b'1295',b'IT',https://az334033.vo.msecnd.net/images-6/untitled-giotto-di-bondone-1295-7-2513fda7.jpg
b'Untitled',b'Giotto di Bondone',b'1295',b'IT',https://az334034.vo.msecnd.net/images-8/untitled-giotto-di-bondone-1295-17-a45005bf.jpg
b'Untitled',b'Giotto di Bondone',b'1295',b'IT',https://az334034.vo.msecnd.net/images-2/untitled-giotto-di-bondone-1295-9-41a3bbfd.jpg
b'Crucifixion',b'Pietro Lorenzetti',b'1310',,https://az334034.vo.msecnd.net/images-7/crucifixion-pietro-lorenzetti-1310-6938bd08.jpg
b'Untitled',b'Giotto di Bondone',b'1295',b'IT',https://az333960.vo.msecnd.net/images-2/untitled-giotto-di-bondone-1295-16-439b0062.jpg
b'Legend of St Francis - 16. Death of the Knight of Celano',b'Giotto di Bondone',b'1295',b'IT',https://az333960.vo.msecnd.net/images-0/untitled-giotto-di-bondone-1295-6-b69bbd30.jpg
b'Untitled',b'Giotto di Bondone',b'1295',b'IT',https://az334034.vo.msecnd.net/images-1/untitled-giotto-di-bondone-1295-19-c230f557.jpg
b'Untitled',b'Giotto di Bondone',b'1295',b'IT',https://az333960.vo.msecnd.net/images-0/untitled-giotto-di-bondone-1295-414fdd8f.jpg
b'Untitled',b'Giotto di Bondone',b'1295',b'IT',https://az333960.vo.msecnd.net/images-0/untitled-giotto-di-bondone-1295-11-27a6bed5.jpg
b'Untitled',b'Cimabue',b'1277',,https://az333959.vo.msecnd.net/images-8/untitled-cimabue-1277-3-41813eaf.jpg
b'Untitled',b'Giotto di Bondone',b'1291',b'IT',https://az333960.vo.msecnd.net/images-9/untitled-giotto-di-bondone-1291-8-e3f0621e.jpg
b'Untitled',b'Giotto di Bondone',b'1291',b'IT',https://az334033.vo.msecnd.net/images-0/untitled-giotto-di-bondone-1291-6-f2f9a3e2.jpg
b'Untitled',b'Cimabue',b'1277',,https://az334033.vo.msecnd.net/images-9/untitled-cimabue-1277-7-e49530b9.jpg
b'Untitled',b'Giotto di Bondone',b'1295',b'IT',https://az334034.vo.msecnd.net/images-0/untitled-giotto-di-bondone-1295-3-8daffe07.jpg
b'Joseph in the well',b'Giotto di Bondone',b'1291',b'IT',https://az334034.vo.msecnd.net/images-3/joseph-in-the-well-giotto-di-bondone-1291-e1c9b1c6.jpg
b'Untitled',b'Giotto di Bondone',b'1295',b'IT',https://az333959.vo.msecnd.net/images-7/untitled-giotto-di-bondone-1295-8-e24e4553.jpg
b'Untitled',b'Master of Saint Cecilia',b'1295',,https://az334033.vo.msecnd.net/images-9/untitled-master-of-saint-cecilia-1295-afb1dd2b.jpg
b'Untitled',b'Cimabue',b'1277',,https://az333959.vo.msecnd.net/images-8/untitled-cimabue-1277-2-4596a5c6.jpg
b'Untitled',b'Master of Saint Cecilia',b'1295',,https://az333959.vo.msecnd.net/images-8/untitled-master-of-saint-cecilia-1295-1-7f19e8c6.jpg
b'Untitled',b'Cimabue',b'1277',,https://az333960.vo.msecnd.net/images-7/untitled-cimabue-1277-1-b5a1d96e.jpg
b'Untitled',b'Master of Saint Cecilia',b'1295',,https://az333959.vo.msecnd.net/images-2/untitled-master-of-saint-cecilia-1295-2-77d24223.jpg
