Title,Artist,Year,Country,Thumbnail
b'Portrait of a Lady known as Esmeralda Brandini',b'Sandro Botticelli',b'1475',b'IT',https://az333960.vo.msecnd.net/images-4/portrait-of-a-lady-known-as-esmeralda-brandini-sandro-botticelli-1475-20aeb543.jpg
b'Our Lady with the Infant Jesus riding on a Lamb',b'William Blake',b'Lamb',b'GB',https://az333960.vo.msecnd.net/images-4/our-lady-with-the-infant-jesus-riding-on-a-lamb-william-blake-6845671f.jpg
b'The Healing of the Lame Man',b'Raphael',b'1515',b'IT',https://az334034.vo.msecnd.net/images-3/the-healing-of-the-lame-man-raphael-1515-6199eeb6.jpg
b'The Miraculous Draught of Fishes',b'Raphael',b'1515',b'IT',https://az333960.vo.msecnd.net/images-5/the-miraculous-draught-of-fishes-raphael-1515-d0aa8555.jpg
b'The Mill',b'Edward Burne-Jones',b'Mill',b'GB',https://az334033.vo.msecnd.net/images-9/the-mill-edward-burne-jones-3656bb09.jpg
b'Dedham Lock and Mill',b'John Constable',b'1820',b'GB',https://az334033.vo.msecnd.net/images-6/dedham-lock-and-mill-john-constable-1820-32fbd15d.jpg
b'Untitled',b'William Blake',b'1808',b'GB',https://az333960.vo.msecnd.net/images-5/untitled-william-blake-1808-37ef5792.jpg
b"Salisbury Cathedral from the Bishop's Grounds",b'John Constable',b'1823',b'GB',https://az333960.vo.msecnd.net/images-1/salisbury-cathedral-from-the-bishop-s-grounds-john-constable-1823-5efb07b2.jpg
b'A spray of flowers',b'Rachel Ruysch',b'flowers',b'NL',https://az334034.vo.msecnd.net/images-6/a-spray-of-flowers-rachel-ruysch-200b6e3f.jpg
b"Trompe l'\xc5\x93il with Writing Materials",b'Evert Collier',b'1702',b'NL',https://az333960.vo.msecnd.net/images-7/trompe-l-oeil-with-writing-materials-evert-collier-1702-03e4f7a0.jpg
b'Venice from the Giudecca',b'Joseph Mallord William Turner',b'1840',b'GB',https://az333960.vo.msecnd.net/images-2/venice-from-the-giudecca-j-m-w-turner-1840-72e598ff.jpg
b'The Waterseller of Seville',b'Diego Vel\xc3\xa1zquez',b'1620',b'ES',https://az333959.vo.msecnd.net/images-1/the-waterseller-of-seville-diego-velazquez-1620-d6856201.jpg
b'The Garden of the Hesperides',b'Edward Burne-Jones',b'1881',b'GB',https://az334034.vo.msecnd.net/images-7/the-garden-of-the-hesperides-edward-burne-jones-1881-a040cc6e.jpg
b'Dorigen of Bretagne longing for the safe return of her...',b'Edward Burne-Jones',b'1871',b'GB',https://az334033.vo.msecnd.net/images-5/dorigen-of-bretagne-longing-for-the-safe-return-of-her-husband-edward-burne-jones-1871-c837c0c9.jpg
b'Merlin and Nimue',b'Edward Burne-Jones',b'Nimue',b'GB',https://az333959.vo.msecnd.net/images-5/merlin-and-nimue-edward-burne-jones-68d4897b.jpg
b'The Death of Ananias',b'Raphael',b'1515',b'IT',https://az333960.vo.msecnd.net/images-8/the-death-of-ananias-raphael-1515-8eb62c3a.jpg
b'Mother and Child 1894',b'Mary L. Gow',b'1894',b'GB',https://az333959.vo.msecnd.net/images-1/mother-and-child-1894-mary-l-gow-e13d2399.jpg
b'Untitled',b'Gentile Bellini',b'1480',b'IT',https://az334033.vo.msecnd.net/images-7/untitled-gentile-bellini-1480-90cae939.jpg
|b'Flowers: Tulips, Azaleas and Roses'|,b'Henri Fantin-Latour',b'1864',b'FR',https://az334034.vo.msecnd.net/images-1/flowers-tulips-azaleas-and-roses-henri-fantin-latour-1864-7434c21d.jpg
b'The Shipwreck of Don Juan',b'Eug\xc3\xa8ne Delacroix',b'1840',b'FR',https://az334033.vo.msecnd.net/images-1/the-shipwreck-of-don-juan-eugene-delacroix-1840-2b272a0f.jpg
b'Morning: Landscape with Two Cows and a Figure',b'Jean-Baptiste-Camille Corot',b'1858',b'FR',https://az333960.vo.msecnd.net/images-4/morning-landscape-with-two-cows-and-a-figure-camille-corot-1858-03734124.jpg
b"Scene from 'The Honeymoon'",b'George Clint',b'1835',,https://az333960.vo.msecnd.net/images-9/scene-from-the-honeymoon-george-clint-1835-353c07f0.png
|b'Mary, Queen of Scots (1542-1587)'|,b'Fran\xc3\xa7ois Clouet',b'1559',,https://az334033.vo.msecnd.net/images-5/mary-queen-of-scots-1542-1587-francois-clouet-1559-4214e83c.jpg
|b'Portr\xc3\xa4t eines J\xc3\xbcnglings unter Rosen, Oval. Robert...'|,b'Nicholas Hilliard',b'1558',,https://az333959.vo.msecnd.net/images-6/portrat-eines-junglings-unter-rosen-oval-robert-devereux-2nd-earl-of-essex-ca-1588-paul-hammer-the-polarisation-of-elizabethan-politics-cambridge-university-press-1999-s-69-nicholas-hilliard-1558-3f0a59c0.jpg
b'The Itinerant Musician',b'Adriaen van Ostade',b'Musician',b'NL',https://az333959.vo.msecnd.net/images-6/the-itinerant-musician-adriaen-van-ostade-346601b3.jpg
b'Landscape: Woodland Study',b'Jean-Baptiste-Camille Corot',b'Study',b'FR',https://az333959.vo.msecnd.net/images-1/landscape-woodland-study-camille-corot-9b5eaeeb.jpg
b'Portrait of Edward Howard (1744\xe2\x80\x931767)',b'Pompeo Batoni',b'1766',,https://az333960.vo.msecnd.net/images-0/portrait-of-edward-howard-1744-1767-pompeo-batoni-1766-374134cf.jpg
b'The Alarm',b'Jean Fran\xc3\xa7ois de Troy',b'1723',,https://az333960.vo.msecnd.net/images-2/the-alarm-jean-francois-de-troy-1723-4ceb6414.jpg
b'A lady combing her hair',b'Sahib Ram',b'1790',,https://az333960.vo.msecnd.net/images-7/a-lady-combing-her-hair-sahib-ram-1790-9f889636.jpg
b'Nasturtiums',b'Henri Fantin-Latour',b'1880',b'FR',https://az333959.vo.msecnd.net/images-5/nasturtiums-henri-fantin-latour-1880-2f4f2c61.jpg
b'Air: Three Putti with Birds',b'Fran\xc3\xa7ois Boucher',b'1741',b'FR',https://az334033.vo.msecnd.net/images-2/air-three-putti-with-birds-francois-boucher-1741-3b225e18.jpg
b'The Luteplayer',b'Adriaen Brouwer',b'1636',,https://az333959.vo.msecnd.net/images-5/the-luteplayer-adriaen-brouwer-1636-fa292a8a.jpg
|b'Flowers: Tulips, Camellias and Hyacinths'|,b'Henri Fantin-Latour',b'1864',b'FR',https://az333960.vo.msecnd.net/images-6/flowers-tulips-camellias-and-hyacinths-henri-fantin-latour-1864-bcbeaa61.jpg
b'Fruit and a Goblet',b'Johann Wilhelm Preyer',b'1854',,https://az334033.vo.msecnd.net/images-6/fruit-and-a-goblet-johann-wilhelm-preyer-1854-4bef2ace.jpg
b'A Family Merrymaking',b'Jan Miense Molenaer',b'1640',b'NL',https://az334033.vo.msecnd.net/images-1/a-family-merrymaking-jan-miense-molenaer-1640-29ea3ad7.jpg
b'The Falls of the Rhine at Schaffhausen',b'Philip James de Loutherbourg',b'1788',,https://az333960.vo.msecnd.net/images-2/the-falls-of-the-rhine-at-schaffhausen-philip-james-de-loutherbourg-1788-94288cc4.jpg
b'White Lilies',b'Henri Fantin-Latour',b'1877',b'FR',https://az334034.vo.msecnd.net/images-0/white-lilies-henri-fantin-latour-1877-99ab55f1.jpg
b'De heks Ankarut',b'Anonymous',b'1577',,https://az333959.vo.msecnd.net/images-9/de-heks-ankarut-anonymous-1577-5b17c1a3.jpg
b'A Highland Breakfast',b'Edwin Henry Landseer',b'1834',b'GB',https://az333959.vo.msecnd.net/images-5/a-highland-breakfast-edwin-henry-landseer-1834-702ca6e3.jpg
b'Shipping in a Calm',b'Willem van de Velde the Younger',b'1673',,https://az333960.vo.msecnd.net/images-9/shipping-in-a-calm-willem-van-de-velde-the-younger-1673-ebebc855.jpg
|b'Worship of the Devi at Kothi, near Chini'|,b'William Simpson',b'1860',,https://az333959.vo.msecnd.net/images-1/worship-of-the-devi-at-kothi-near-chini-william-simpson-1860-fd6ec8ff.jpg
b'Portrait of Ishwari Sen',b'Anonymous',b'1825',,https://az333959.vo.msecnd.net/images-4/portrait-of-ishwari-sen-anonymous-1825-f2aa90fa.jpg
b'The Flood',b'Philip James de Loutherbourg',b'Flood',,https://az334033.vo.msecnd.net/images-8/the-flood-philip-james-de-loutherbourg-7f1ee666.jpg
b'Cavaliers',b'Gerard ter Borch',b'1638',,https://az334033.vo.msecnd.net/images-6/cavaliers-gerard-ter-borch-1638-79198210.jpg
b'Woman Holding a Fan',b'Raja Ravi Varma',b'1895',,https://az333959.vo.msecnd.net/images-3/woman-holding-a-fan-raja-ravi-varma-1895-4c17b837.jpg
b'Dahlias',b'Henri Fantin-Latour',b'1877',b'FR',https://az334034.vo.msecnd.net/images-7/dahlias-henri-fantin-latour-1877-05e5bff2.jpg
b'The Wood Sawyers',b'Jean-Fran\xc3\xa7ois Millet',b'1851',b'FR',https://az333959.vo.msecnd.net/images-0/the-wood-sawyers-jean-francois-millet-1851-8b44a63a.jpg
b'Vishnu',b'Anonymous',b'1825',,https://az333959.vo.msecnd.net/images-0/vishnu-anonymous-1825-d8b03874.jpg
|b'Kailasanatha temple, Ellora'|,b'William Simpson',b'1862',,https://az334034.vo.msecnd.net/images-2/kailasanatha-temple-ellora-william-simpson-1862-727f21cc.jpg
b'Gateway of the Buddhist Top at Sanchi',b'William Simpson',b'1865',,https://az333959.vo.msecnd.net/images-5/gateway-of-the-buddhist-top-at-sanchi-william-simpson-1865-96fc55a1.jpg
b'F\xc3\xaate champ\xc3\xaatre',b'Antoine Watteau',b'champ\xc3\xaatre',b'FR',https://az334033.vo.msecnd.net/images-1/fete-champetre-antoine-watteau-1-14d40ec8.jpg
b'The Trumpeter',b'Anthonie Palamedes',b'1654',,https://az333960.vo.msecnd.net/images-9/the-trumpeter-anthonie-palamedes-1654-2f0e75aa.jpg
b'Landscape with Figures and Cattle',b'Philip James de Loutherbourg',b'Cattle',,https://az333960.vo.msecnd.net/images-4/landscape-with-figures-and-cattle-philip-james-de-loutherbourg-023eb61e.jpg
b'A Thames Wharf',b'Samuel Scott',b'1757',,https://az333959.vo.msecnd.net/images-2/a-thames-wharf-samuel-scott-1757-b8b359df.jpg
b'Cavalier and Two Ladies',b'Nicolas Lancret',b'Ladies',b'FR',https://az333959.vo.msecnd.net/images-7/cavalier-and-two-ladies-nicolas-lancret-b36ba2c1.jpg
b'Cavalry Engagements',b'Jacques Courtois',b'Engagements',,https://az333960.vo.msecnd.net/images-6/cavalry-engagements-jacques-courtois-34f1efed.jpg
b'The Rape of Europa',b'Pierre Gobert',b'1715',,https://az333960.vo.msecnd.net/images-2/the-rape-of-europa-pierre-gobert-1715-0a2d8638.jpg
b'A Girl writing',b'Henriette Browne',b'1860',,https://az333960.vo.msecnd.net/images-3/a-girl-writing-henriette-browne-1860-64eafc56.jpg
b'A Scottish Girl',b'Alfred de Dreux',b'1854',,https://az334034.vo.msecnd.net/images-7/a-scottish-girl-alfred-de-dreux-1854-4802b7ea.jpg
b'The Battle of Waterloo: The British Squares Receiving the...',b'Henri F\xc3\xa9lix Emmanuel Philippoteaux',b'1874',,https://az334034.vo.msecnd.net/images-8/the-battle-of-waterloo-the-british-squares-receiving-the-charge-of-the-french-cuirassiers-henri-felix-emmanuel-philippoteaux-1874-6356a98c.jpg
b'Charity: A Sketch',b'Pierre Puvis de Chavannes',b'1891',b'FR',https://az334033.vo.msecnd.net/images-1/charity-a-sketch-pierre-puvis-de-chavannes-1891-abeea459.jpg
b"Akbar visits the tomb of Khwajah Mu'in ad-Din Chishti at...",b'Basawan',b'1590',,https://az334034.vo.msecnd.net/images-2/akbar-visits-the-tomb-of-khwajah-mu-in-ad-din-chishti-at-ajmer-basawan-1590-3fe1f5ad.jpg
|b'A View in the Landes, near Bordeaux'|,b'Th\xc3\xa9odore Rousseau',b'1855',b'FR',https://az333960.vo.msecnd.net/images-0/a-view-in-the-landes-near-bordeaux-theodore-rousseau-1855-4f2def35.jpg
b'Portrait of Begam Samru',b'Jiwan Ram',b'1830',,https://az333959.vo.msecnd.net/images-8/portrait-of-begam-samru-jiwan-ram-1830-b90f7636.jpg
|b'The Bull Nandi in the courtyard of the Golden Temple,...'|,b'William Simpson',b'1864',,https://az334034.vo.msecnd.net/images-8/the-bull-nandi-in-the-courtyard-of-the-golden-temple-benares-william-simpson-1864-db3adbbc.jpg
b'Pont de Batignies in the Forest of Compi\xc3\xa8gne',b'Th\xc3\xa9odore Rousseau',b'1828',b'FR',https://az333959.vo.msecnd.net/images-1/pont-de-batignies-in-the-forest-of-compiegne-theodore-rousseau-1828-11a87954.jpg
|b'Tissarakshita, Queen of Asoka'|,b'Abanindranath Tagore',b'1911',,https://az334033.vo.msecnd.net/images-0/tissarakshita-queen-of-asoka-abanindranath-tagore-1911-ecfd4a4e.jpg
b'Louis XVI of France (1754-1793)',b'Joseph Duplessis',b'(1754-1793)',,https://az334033.vo.msecnd.net/images-5/louis-xvi-of-france-1754-1793-joseph-duplessis-2717f10f.jpg
b'The Young Louis XV at Versailles',b'Henri F\xc3\xa9lix Emmanuel Philippoteaux',b'Versailles',,https://az334034.vo.msecnd.net/images-5/the-young-louis-xv-at-versailles-henri-felix-emmanuel-philippoteaux-1541ded4.jpg
b'The Descent from the Cross',b'Charles Le Brun',b'1643',,https://az333959.vo.msecnd.net/images-7/the-descent-from-the-cross-charles-le-brun-1643-99f89e27.jpg
b'Innocence: A Girl with a Dove',b'Jean-Baptiste Greuze',b'Dove',b'FR',https://az334033.vo.msecnd.net/images-2/innocence-a-girl-with-a-dove-jean-baptiste-greuze-e9090e4d.jpg
b'Vishnu as the incarnation Kalki',b'Anonymous',b'1850',,https://az333959.vo.msecnd.net/images-0/vishnu-as-the-incarnation-kalki-anonymous-1850-ba9b8657.jpg
b'Girl with a Birdcage Seated on a Bed',b'Jean-Fr\xc3\xa9d\xc3\xa9ric Schall',b'Bed',,https://az334033.vo.msecnd.net/images-9/girl-with-a-birdcage-seated-on-a-bed-jean-frederic-schall-e1d2f81c.jpg
b'Lama in a monastery working the prayer wheels',b'William Simpson',b'1861',,https://az333960.vo.msecnd.net/images-6/lama-in-a-monastery-working-the-prayer-wheels-william-simpson-1861-f74d2634.jpg
b'Self-portrait dressed as Colonel Cornelis Backer',b'Wybrand Hendricks',b'1800',,https://az333960.vo.msecnd.net/images-2/self-portrait-dressed-as-colonel-cornelis-backer-wybrand-hendricks-1800-f2f88991.jpg
b'Moonlight and River Scene',b'Aert van der Neer',b'1665',,https://az333960.vo.msecnd.net/images-8/moonlight-and-river-scene-aert-van-der-neer-1665-86583056.jpg
