Title,Artist,Year,Country,Thumbnail
b'Blue-Black Fox',b'Franz Marc',b'1911',b'DE',https://az333960.vo.msecnd.net/images-2/untitled-franz-marc-1911-6dc274bb.jpg
b'Houses in Munich',b'Wassily Kandinsky',b'1908',b'RU',https://az333959.vo.msecnd.net/images-6/houses-in-munich-vasily-kandinsky-1908-641fc0df.jpg
b'Breakfast Still Life with Cheese',b'Floris van Schooten',b'Cheese',,https://az333960.vo.msecnd.net/images-7/breakfast-still-life-with-cheese-floris-van-schooten-0a7a4450.jpg
b'Paysanne gardant une vache',b'Camille Pissarro',b'1883',b'FR',https://az334033.vo.msecnd.net/images-0/untitled-camille-pissarro-64-25983a02.jpg
b'Untitled',b'Lovis Corinth',b'Untitled',,https://az334033.vo.msecnd.net/images-5/untitled-lovis-corinth-137b1f8b.jpg
b'Untitled',b'Camille Pissarro',b'Untitled',b'FR',https://az334033.vo.msecnd.net/images-1/untitled-camille-pissarro-32-290b4222.jpg
b'The hermitage at Pontoise',b'Paul C\xc3\xa9zanne',b'1881',b'FR',https://az334033.vo.msecnd.net/images-0/the-hermitage-at-pontoise-paul-cezanne-1881-be09e359.jpg
b'Tavern Scene',b'David Teniers the Younger',b'1634',b'NL',https://az334034.vo.msecnd.net/images-2/tavern-scene-david-teniers-the-younger-1634-38c4e5f1.jpg
b'Femme nue (L\xc3\xa9da?)',b'Paul C\xc3\xa9zanne',b'(L\xc3\xa9da?)',b'FR',https://az333959.vo.msecnd.net/images-3/femme-nue-leda-paul-cezanne-8025d386.jpg
b'Visioni simultanee (Simultanvisionen)',b'Umberto Boccioni',b'1911',b'IT',https://az333960.vo.msecnd.net/images-6/untitled-umberto-boccioni-1911-ee16ba90.jpg
b'Four Bathers',b'Ernst Ludwig Kirchner',b'Bathers',b'DE',https://az333960.vo.msecnd.net/images-4/four-bathers-ernst-ludwig-kirchner-9c7dc912.jpg
b'Still Life with Jug and Pears',b'Vincent van Gogh',b'1881',b'NL',https://az334033.vo.msecnd.net/images-0/still-life-with-beer-mug-and-fruit-vincent-van-gogh-1881-2fa7052e.jpg
b'Untitled',b'Carl Spitzweg',b'Untitled',,https://az333959.vo.msecnd.net/images-1/untitled-carl-spitzweg-5-bfdfff4c.jpg
b'Untitled',b'Caspar Netscher',b'Untitled',b'NL',https://az333959.vo.msecnd.net/images-0/untitled-caspar-netscher-1-86f3d1ac.jpg
|b'Vase with Flowers, Coffeepot and Fruit'|,b'Vincent van Gogh',b'1887',b'NL',https://az333960.vo.msecnd.net/images-2/vase-with-flowers-coffeepot-and-fruit-vincent-van-gogh-1887-c7ee50e8.jpg
b'M\xc3\xa4dchen mit rotem Rock',b'Adolf Erbsl\xc3\xb6h',b'1910',,https://az333959.vo.msecnd.net/images-6/madchen-mit-rotem-rock-adolf-erbsloh-1910-55a000ea.jpg
b'M\xc3\xa4dchen mit Fischglas',b'August Macke',b'1914',b'DE',https://az334033.vo.msecnd.net/images-0/madchen-mit-fischglas-august-macke-1914-2b52743f.jpg
b'Pond in the Woods',b'Jan van Goyen',b'1642',b'NL',https://az334033.vo.msecnd.net/images-6/pond-in-the-woods-jan-van-goyen-1642-285ecdaf.jpg
