Title,Artist,Year,Country,Thumbnail
b'Portrait of Gabrielle de Polastron',b'Elisabeth Louise Vig\xc3\xa9e Le Brun',b'Polastron',b'FR',https://az334034.vo.msecnd.net/images-2/portrait-of-gabrielle-de-polastron-louise-elisabeth-vigee-le-brun-b0195952.jpg
|b'A Riding-School in the Open, with a Coach'|,b'Philips Wouwerman',b'Coach',,https://az333960.vo.msecnd.net/images-5/a-riding-school-in-the-open-with-a-coach-philips-wouwerman-03527308.jpg
b'The Duet',b'Gerard ter Borch',b'1675',,https://az334033.vo.msecnd.net/images-0/the-duet-gerard-ter-borch-1675-8f223e0f.jpg
b'A Girl with a Basket of Fruit at a Window',b'Gerrit Dou',b'1657',b'NL',https://az334034.vo.msecnd.net/images-3/a-girl-with-a-basket-of-fruit-at-a-window-gerrit-dou-1657-60f50c4a.jpg
b'A Landing Party on the Maas at Dordrecht',b'Aelbert Cuyp',b'1657',b'NL',https://az334033.vo.msecnd.net/images-2/a-landing-party-on-the-maas-at-dordrecht-aelbert-cuyp-1657-d7e424ce.jpg
b'Kermis Outside an Inn',b'David Teniers the Younger',b'1649',b'NL',https://az333960.vo.msecnd.net/images-5/kermis-outside-an-inn-david-teniers-the-younger-1649-2b934221.jpg
b'Fishing Boats on a Calm Sea',b'Willem van de Velde the Younger',b'1655',,https://az333960.vo.msecnd.net/images-9/fishing-boats-on-a-calm-sea-willem-van-de-velde-the-younger-1655-9d550ddf.jpg
b'Portrait dit de Georges de Selve',b'Anonymous',b'1540',,https://az334034.vo.msecnd.net/images-9/portrait-dit-de-georges-de-selve-anonymous-1540-d4d43b08.jpg
b"A Farrier's Shop with a White Horse Being Shod",b'Philips Wouwerman',b'1657',,https://az333959.vo.msecnd.net/images-2/a-farrier-s-shop-with-a-white-horse-being-shod-philips-wouwerman-1657-ea8b1be2.jpg
b'Madonna and Child Enthroned',b'Bernard van Orley',b'Enthroned',,https://az333960.vo.msecnd.net/images-9/madonna-and-child-enthroned-bernard-van-orley-e093577a.jpg
b'Skittle Players in a Garden',b'Pieter de Hooch',b'Garden',b'NL',https://az334033.vo.msecnd.net/images-4/skittle-players-in-a-garden-pieter-de-hooch-32bb872f.jpg
b'Portrait of Emerantia Beresteyn',b'Pieter Soutman',b'Beresteyn',,https://az333959.vo.msecnd.net/images-2/portrait-of-emerantia-beresteyn-pieter-soutman-542c1915.jpg
|b'Landscape with a Horseman, Figures, and Cattle'|,b'Aelbert Cuyp',b'1655',b'NL',https://az334033.vo.msecnd.net/images-7/landscape-with-a-horseman-figures-and-cattle-aelbert-cuyp-1655-6fe010ab.jpg
b'Emmerich: View through a Gateway of the Waterpoort',b'Jan van der Heyden',b'1670',b'NL',https://az333959.vo.msecnd.net/images-7/emmerich-view-through-a-gateway-of-the-waterpoort-jan-van-der-heyden-1670-b8cdf800.jpg
b'A Hawking Party Resting outside an Inn',b'Philips Wouwerman',b'1656',,https://az333960.vo.msecnd.net/images-1/a-hawking-party-resting-outside-an-inn-philips-wouwerman-1656-ca232a42.jpg
|b'The T\xc3\xaate-\xc3\xa0-T\xc3\xaate: A Lady Playing a Lute, and a Cavalier'|,b'Gabri\xc3\xabl Metsu',b'1665',b'NL',https://az334034.vo.msecnd.net/images-0/the-tete-a-tete-a-lady-playing-a-lute-and-a-cavalier-gabriel-metsu-1665-39f498d1.jpg
|b'A Canal Junction, near a Church'|,b'Jan van der Heyden',b'1670',b'NL',https://az333959.vo.msecnd.net/images-1/a-canal-junction-near-a-church-jan-van-der-heyden-1670-e7dca282.jpg
b'David Garrick Between Tragedy and Comedy',b'Joshua Reynolds',b'1761',,https://az334034.vo.msecnd.net/images-3/david-garrick-between-tragedy-and-comedy-joshua-reynolds-1761-5bdbaef9.jpg
