Title,Artist,Year,Country,Thumbnail
b'The Sense of Sight',b'Annie Swynnerton',b'1895',b'GB',https://az333960.vo.msecnd.net/images-1/the-sense-of-sight-annie-swynnerton-738f8e3d.jpg
b'Isabella',b'John Everett Millais',b'1849',b'GB',https://az334033.vo.msecnd.net/images-0/isabella-john-everett-millais-1849-48456524.jpg
b'Perseus and Andromeda',b'Frederic Leighton',b'1891',b'GB',https://az334033.vo.msecnd.net/images-8/perseus-and-andromeda-frederic-leighton-1891-40ee799c.jpg
|b'The Annual Girandola at the Castel Sant\xe2\x80\x99Angelo, Rome'|,b'Joseph Wright of Derby',b'1775',b'GB',https://az333959.vo.msecnd.net/images-6/the-annual-girandola-at-the-castel-sant-angelo-rome-joseph-wright-of-derby-1775-d1de5d5a.jpg
b'The Little Foot Page',b'Eleanor Fortescue-Brickdale',b'1905',b'GB',https://az333960.vo.msecnd.net/images-7/the-little-foot-page-eleanor-fortescue-brickdale-1905-2c97a1f8.jpg
b"Dante's Dream",b'Dante Gabriel Rossetti',b'1871',b'GB',https://az334034.vo.msecnd.net/images-2/dante-s-dream-dante-gabriel-rossetti-1871-450eafff.jpg
b'Virgin and Child in Glory',b'Bartolom\xc3\xa9 Esteban Murillo',b'1673',b'ES',https://az333959.vo.msecnd.net/images-8/virgin-and-child-in-glory-bartolome-esteban-murillo-1673-a33e9bd7.jpg
b'The Morning of St Valentine',b'John Callcott Horsley',b'1865',,https://az334033.vo.msecnd.net/images-0/the-morning-of-st-valentine-john-callcott-horsley-be5b7ee1.jpg
b'Landscape with the Ashes of Phocion',b'Nicolas Poussin',b'1648',b'FR',https://az334034.vo.msecnd.net/images-3/landscape-with-the-ashes-of-phocion-nicolas-poussin-1648-76306c84.jpg
b'Helen of Troy',b'Frederick Sandys',b'1867',,https://az334033.vo.msecnd.net/images-7/helen-of-troy-frederick-sandys-1867-6161f097.jpg
b'Puritan and Cavalier',b'Frederick Goodall',b'1886',b'GB',https://az334033.vo.msecnd.net/images-2/puritan-and-cavalier-frederick-goodall-1886-d065d33d.jpg
b'Portrait of Henry VIII',b'Workshop of Hans Holbein the Younger',b'1537',,https://az334033.vo.msecnd.net/images-3/portrait-of-henry-viii-hans-holbein-1537-1c2af150.jpg
b'The Punishment of Lust',b'Giovanni Segantini',b'1891',,https://az334034.vo.msecnd.net/images-9/the-punishment-of-lust-giovanni-segantini-47a69d3b.jpg
b'Echo and Narcissus',b'John William Waterhouse',b'1903',b'GB',https://az333960.vo.msecnd.net/images-7/echo-and-narcissus-john-william-waterhouse-1903-1-6ac16440.jpg
b'The Ruins of Holyrood Chapel',b'Louis Daguerre',b'1824',,https://az334034.vo.msecnd.net/images-5/the-ruins-of-holyrood-chapel-louis-daguerre-1824-bf64fe70.jpg
b'Sponsa de Libano',b'Edward Burne-Jones',b'1891',b'GB',https://az334034.vo.msecnd.net/images-4/sponsa-de-libano-edward-burne-jones-1891-92189e84.jpg
b'The Nativity of the Virgin',b'Pietro Perugino',b'1472',b'IT',https://az334033.vo.msecnd.net/images-1/the-nativity-of-the-virgin-pietro-perugino-1472-77bb5fff.jpg
