Title,Artist,Year,Country,Thumbnail
b'Abend am Fluss / Einsames Haus am Kiefernwald',b'Caspar David Friedrich',b'Kiefernwald',b'DE',https://az333959.vo.msecnd.net/images-2/untitled-caspar-david-friedrich-5653d4c5.jpg
b'Bunch of Asparagus',b'Edouard Manet',b'Asparagus',b'FR',https://az334033.vo.msecnd.net/images-4/bunch-of-asparagus-edouard-manet-fad4f082.jpg
b'The Cross Beside The Baltic',b'Caspar David Friedrich',b'1815',b'DE',https://az333960.vo.msecnd.net/images-6/untitled-caspar-david-friedrich-2-b4cf5676.jpg
b'Melisande',b'Marianne Stokes',b'1895',,https://az333960.vo.msecnd.net/images-7/melisande-marianne-stokes-1895-2a89c5f0.jpg
b'Young Jesus with Saint John the Baptist',b'Lucas Cranach the Elder',b'Baptist',b'DE',https://az333959.vo.msecnd.net/images-8/young-jesus-with-saint-john-the-baptist-lucas-cranach-the-elder-7a3f1b67.jpg
b'Portrait of a Scholar at his Desk (formerly called Lipsius)',b'Rembrandt',b'Lipsius)',b'NL',https://az333959.vo.msecnd.net/images-1/portrait-of-a-scholar-at-his-desk-formerly-called-lipsius-rembrandt-eaa9a542.jpg
b'Bathsheba Bathing',b'Paris Bordone',b'1549',,https://az334034.vo.msecnd.net/images-6/bathsheba-bathing-paris-bordone-1549-4809cba6.jpg
b'Ship in the early morning fog',b'Caspar David Friedrich',b'1820',b'DE',https://az333960.vo.msecnd.net/images-1/ship-in-the-early-morning-fog-caspar-david-friedrich-1820-e4ea8b12.jpg
b'Prometheus Bound',b'Jacob Jordaens',b'1640',,https://az333959.vo.msecnd.net/images-2/prometheus-bound-jacob-jordaens-1640-f383275a.jpg
b'Adoration of the Child',b'Hieronymus Bosch',b'1568',b'NL',https://az333960.vo.msecnd.net/images-0/adoration-of-the-child-hieronymus-bosch-1568-bd7597a7.jpg
b'A Couple (Les Fianc\xc3\xa9s)',b'Auguste Renoir',b'1868',b'FR',https://az334033.vo.msecnd.net/images-6/untitled-pierre-auguste-renoir-1868-1-c7c07df0.jpg
b'Madonna of the Rose Bower',b'Stefan Lochner',b'1440',,https://az333960.vo.msecnd.net/images-3/madonna-of-the-rose-bower-stefan-lochner-1440-06a5150c.jpg
b'Young woman playing a virginal',b'Catharina van Hemessen',b'virginal',b'BE',https://az333959.vo.msecnd.net/images-5/young-woman-playing-a-virginal-catharina-van-hemessen-a281f0ef.jpg
b'The Girls on the Bridge',b'Edvard Munch',b'1905',b'NO',https://az334034.vo.msecnd.net/images-3/the-girls-on-the-bridge-edvard-munch-1905-7d432162.jpg
b'Oak in the Snow',b'Caspar David Friedrich',b'1827',b'DE',https://az333959.vo.msecnd.net/images-3/oak-in-the-snow-caspar-david-friedrich-1827-ac2ace5e.jpg
b'Young woman playing a virginal',b'Catharina van Hemessen',b'virginal',b'BE',https://az334033.vo.msecnd.net/images-6/young-woman-playing-a-virginal-catharina-van-hemessen-1-04255dae.jpg
b'Couple with Parrot',b'Pieter de Hooch',b'Parrot',b'NL',https://az334034.vo.msecnd.net/images-0/couple-with-parrot-pieter-de-hooch-12525813.jpg
b'Juno and Argus',b'Peter Paul Rubens',b'1610',b'NL',https://az333960.vo.msecnd.net/images-9/juno-and-argus-peter-paul-rubens-1610-398c2cd8.jpg
