Title,Artist,Year,Country,Thumbnail
b'Still life with nautilus cup and musk apple on golden chain',b'Pieter Claesz',b'1636',,https://az333959.vo.msecnd.net/images-2/still-life-with-nautilus-cup-and-musk-apple-on-golden-chain-pieter-claesz-1636-278fc9ba.jpg
b'Girls at the Fountain',b'August Macke',b'1913',b'DE',https://az334034.vo.msecnd.net/images-8/girls-at-the-fountain-august-macke-1913-eff5003f.jpg
b'Tunisian Harbour',b'August Macke',b'1914',b'DE',https://az334034.vo.msecnd.net/images-1/tunisian-harbour-august-macke-1914-cc288a74.jpg
|b'Sybilla Catharina Elisabeth Sch\xc3\xbccking, geb. Busch'|,b'Johann Christoph Rincklake',b'1810',,https://az333959.vo.msecnd.net/images-1/sybilla-catharina-elisabeth-schucking-geb-busch-johann-christoph-rincklake-1810-40c0c075.jpg
b'Paradies',b'Franz Marc',b'1912',b'DE',https://az334034.vo.msecnd.net/images-0/paradies-franz-marc-1912-6e9151b3.jpg
b'Portrait of a woman at a window',b'Ludger Tom Ring the Younger',b'1560',,https://az334034.vo.msecnd.net/images-8/portrait-of-a-woman-at-a-window-ludger-tom-ring-the-younger-1560-b8cfd13d.jpg
b'Massacre of the Innocents',b'Johann Christoph Rincklake',b'1785',,https://az333959.vo.msecnd.net/images-5/massacre-of-the-innocents-johann-christoph-rincklake-1785-110226db.jpg
b'Paulus Modestus Sch\xc3\xbccking',b'Johann Christoph Rincklake',b'1811',,https://az334033.vo.msecnd.net/images-8/paulus-modestus-schucking-johann-christoph-rincklake-1811-bdb63366.jpg
b'Clemens August von Galen mit seinen T\xc3\xb6chtern vor der...',b'Johann Christoph Rincklake',b'1791',,https://az334034.vo.msecnd.net/images-8/clemens-august-von-galen-mit-seinen-tochtern-vor-der-buste-der-mutter-im-park-johann-christoph-rincklake-1791-5011b482.jpg
b'The Fashion Store',b'August Macke',b'1914',b'DE',https://az333959.vo.msecnd.net/images-4/the-fashion-store-august-macke-1914-e1182886.jpg
b'Color Forms I',b'August Macke',b'1913',b'DE',https://az334033.vo.msecnd.net/images-6/color-forms-i-august-macke-1913-378b87e5.jpg
b'Portrait of Wilhelm Vincent van Wyttenhorst',b'Bartholomeus van der Helst',b'Wyttenhorst',b'NL',https://az334033.vo.msecnd.net/images-9/portrait-of-wilhelm-vincent-van-wyttenhorst-bartholomeus-van-der-helst-9bf0fbae.jpg
b'Bildnis der Familie Beyerle',b'Johann Christoph Rincklake',b'1804',,https://az334033.vo.msecnd.net/images-7/bildnis-der-familie-beyerle-johann-christoph-rincklake-1804-aee98f64.jpg
b'Portr\xc3\xa4t einer jungen Dame aus westf\xc3\xa4lischem Adel',b'Johann Christoph Rincklake',b'1800',,https://az333960.vo.msecnd.net/images-8/portrat-einer-jungen-dame-aus-westfalischem-adel-johann-christoph-rincklake-1800-3d94d38e.jpg
b'Drei Kinder Lutterbeck',b'Johann Christoph Rincklake',b'1810',,https://az334033.vo.msecnd.net/images-9/drei-kinder-lutterbeck-johann-christoph-rincklake-1810-7f02299a.jpg
b'Bildnis eines Naturwissenschaftlers',b'Johann Christoph Rincklake',b'1801',,https://az333959.vo.msecnd.net/images-0/bildnis-eines-naturwissenschaftlers-johann-christoph-rincklake-1801-1fb16ab8.jpg
b'Sitzbildnis Engelbert Anton Maria Freiherr von Wrede zu...',b'Johann Christoph Rincklake',b'1791',,https://az333959.vo.msecnd.net/images-6/sitzbildnis-engelbert-anton-maria-freiherr-von-wrede-zu-melschede-johann-christoph-rincklake-1791-7394034c.jpg
|b'Maria Anna Buchholtz, geb. Detten'|,b'Johann Christoph Rincklake',b'1812',,https://az334033.vo.msecnd.net/images-8/maria-anna-buchholtz-geb-detten-johann-christoph-rincklake-1812-a4b088ff.jpg
b'Samian Sibyl',b'Ludger tom Ring the Elder',b'1538',,https://az333960.vo.msecnd.net/images-2/samian-sibyl-ludger-tom-ring-the-elder-1538-ff9bc1b9.jpg
b"The Artist's Wife with Hat",b'August Macke',b'1909',b'DE',https://az334033.vo.msecnd.net/images-5/the-artist-s-wife-with-hat-august-macke-1909-e25d633a.jpg
