Title,Artist,Year,Country,Thumbnail
|b'Castle Rock, Nahant, Massachusetts'|,b'Alfred Thompson Bricher',b'1877',b'US',https://az334034.vo.msecnd.net/images-2/castle-rock-nahant-massachusetts-alfred-thompson-bricher-1877-50010e57.jpg
|b'Yosemite, Bridal Veil Falls'|,b'Thomas Hill',b'1895',b'US',https://az333959.vo.msecnd.net/images-1/yosemite-bridal-veil-falls-thomas-hill-1895-8d9e2416.jpg
|b'Vernal Falls, Yosemite'|,b'Thomas Hill',b'1889',b'US',https://az333959.vo.msecnd.net/images-1/vernal-falls-yosemite-thomas-hill-1889-93af62a3.jpg
b'Storm Clouds',b'Albert Bierstadt',b'1880',,https://az334034.vo.msecnd.net/images-4/storm-clouds-albert-bierstadt-1880-5e48eb5d.jpg
b'The Rainbow in the Berkshire Hills',b'George Inness',b'1869',b'US',https://az333960.vo.msecnd.net/images-9/the-rainbow-in-the-berkshire-hills-george-inness-1869-6eea9284.jpg
|b'Sand Dunes at Sunset, Atlantic City'|,b'Henry Ossawa Tanner',b'1885',b'US',https://az334033.vo.msecnd.net/images-1/sand-dunes-at-sunset-atlantic-city-henry-ossawa-tanner-1885-95665263.jpg
|b'Rutland Falls, Vermont'|,b'Frederic Edwin Church',b'1848',b'US',https://az334033.vo.msecnd.net/images-2/rutland-falls-vermont-frederic-edwin-church-1848-f34799b6.jpg
b'Crossing the River Platte',b'Worthington Whittredge',b'1871',,https://az334033.vo.msecnd.net/images-9/crossing-the-river-platte-worthington-whittredge-1871-1393ffee.jpg
|b'In the White Mountains, New Hampshire'|,b'William Louis Sonntag',b'1876',,https://az333959.vo.msecnd.net/images-4/in-the-white-mountains-new-hampshire-william-louis-sonntag-1876-f1f56deb.jpg
b'Rocky Mountain Landscape',b'Albert Bierstadt',b'1870',,https://az334033.vo.msecnd.net/images-8/rocky-mountain-landscape-albert-bierstadt-1870-b907cd89.jpg
b"The Indian's Vespers",b'Asher Brown Durand',b'1847',,https://az334034.vo.msecnd.net/images-4/the-indian-s-vespers-asher-brown-durand-1847-c36a830e.jpg
|b'Nevada Falls, Yosemite'|,b'Thomas Hill',b'1889',b'US',https://az333959.vo.msecnd.net/images-4/nevada-falls-yosemite-thomas-hill-1889-156d2217.jpg
b'Sailing off the Coast',b'Martin Johnson Heade',b'1869',b'US',https://az334034.vo.msecnd.net/images-7/sailing-off-the-coast-martin-johnson-heade-1869-c59251d2.jpg
|b'Point Lobos, Monterey, California'|,b'Thomas Moran',b'1912',b'US',https://az333960.vo.msecnd.net/images-4/point-lobos-monterey-california-thomas-moran-1912-805b2810.jpg
b'Woodland Pool',b'George Inness',b'1891',b'US',https://az333960.vo.msecnd.net/images-5/woodland-pool-george-inness-1891-48aadb85.jpg
b'Lake Among the Hills',b'William Hart',b'1858',,https://az334034.vo.msecnd.net/images-0/lake-among-the-hills-william-hart-1858-2ba3ebf6.jpg
b'The Peacemakers',b'George Peter Alexander Healy',b'1868',,https://az334033.vo.msecnd.net/images-3/the-peacemakers-george-peter-alexander-healy-1868-429289ad.jpg
b'The Three Tetons',b'Thomas Moran',b'1895',b'US',https://az334034.vo.msecnd.net/images-3/the-three-tetons-thomas-moran-1895-8567c0cc.jpg
b'James Madison',b'John Vanderlyn',b'1816',,https://az334034.vo.msecnd.net/images-0/james-madison-john-vanderlyn-1816-36de7f49.jpg
b'Ulysses Simpson Grant',b'Anonymous',b'1850',,https://az333960.vo.msecnd.net/images-3/ulysses-simpson-grant-anonymous-1850-a918a298.jpg
b'Lighter Relieving a Steamboat Aground',b'George Caleb Bingham',b'1847',,https://az333959.vo.msecnd.net/images-8/lighter-relieving-a-steamboat-aground-george-caleb-bingham-1847-ea2ebc17.jpg
b'Chester Alan Arthur',b'Daniel Huntington',b'1885',,https://az333959.vo.msecnd.net/images-5/chester-alan-arthur-daniel-huntington-1885-1043af10.jpg
b'William Henry Harrison',b'James Lambdin',b'1835',,https://az334033.vo.msecnd.net/images-6/william-henry-harrison-james-lambdin-1835-8d327c4a.jpg
b'Benjamin Harrison',b'Eastman Johnson',b'1895',,https://az334033.vo.msecnd.net/images-0/benjamin-harrison-eastman-johnson-1895-70b8be3e.jpg
b'The Farm Landing',b'Edward Mitchell Bannister',b'1892',b'CA',https://az334034.vo.msecnd.net/images-2/the-farm-landing-edward-mitchell-bannister-1892-8fa29afa.jpg
b'John Adams',b'John Trumbull',b'1792',b'US',https://az334034.vo.msecnd.net/images-7/john-adams-john-trumbull-1792-a7375a5b.jpg
b'John Quincy Adams',b'Gilbert Stuart',b'1818',b'US',https://az333959.vo.msecnd.net/images-0/john-quincy-adams-gilbert-stuart-1818-0842e117.jpg
b'Benjamin Franklin',b'David Martin',b'1767',,https://az333960.vo.msecnd.net/images-4/benjamin-franklin-david-martin-1767-1-7a16a6ee.jpg
b'William McKinley',b'Harriet Anderson Stubbs Murphy',b'1902',,https://az334034.vo.msecnd.net/images-0/william-mckinley-harriet-anderson-stubbs-murphy-1902-a8446eca.jpg
