Title,Artist,Year,Country,Thumbnail
b'Mary Magdalen in Penitence',b'El Greco',b'1580',b'GR',https://az333960.vo.msecnd.net/images-2/untitled-el-greco-43-179e9e2e.jpg
b'Te Faaturuma',b'Paul Gauguin',b'1891',b'FR',https://az334034.vo.msecnd.net/images-4/untitled-paul-gauguin-1891-1-aaf1182a.jpg
b'Northbrook Madonna',b'Raphael',b'1507',b'IT',https://az333960.vo.msecnd.net/images-4/northbrook-madonna-raphael-1507-7dee24c9.jpg
b'Golfe Juan',b'Paul Signac',b'1896',b'FR',https://az333960.vo.msecnd.net/images-2/golfe-juan-paul-signac-1896-120e0bf1.jpg
b'Portrait of Sampson Vryling Stoddard Wilder',b'John Vanderlyn',b'1812',,https://az334034.vo.msecnd.net/images-7/portrait-of-sampson-vryling-stoddard-wilder-john-vanderlyn-00f8da81.jpg
b'An Old Woman Praying',b'Nicolaes Maes',b'1656',b'NL',https://az334033.vo.msecnd.net/images-3/an-old-woman-praying-nicolaes-maes-1656-4c96916a.jpg
|b'View on the Arno, near Florence'|,b'Thomas Cole',b'1837',b'US',https://az334034.vo.msecnd.net/images-5/view-on-the-arno-near-florence-thomas-cole-1837-ee825b30.jpg
b'A Game of Tric Trac',b'Judith Leyster',b'Trac',b'NL',https://az334033.vo.msecnd.net/images-0/a-game-of-tric-trac-judith-leyster-82162a61.jpg
b'Untitled',b'Piero di Cosimo',b'1505',b'IT',https://az334034.vo.msecnd.net/images-1/untitled-piero-di-cosimo-1505-1-fff7c9a5.jpg
b'Yosemite Falls',b'Albert Bierstadt',b'1865',,https://az334034.vo.msecnd.net/images-4/yosemite-falls-albert-bierstadt-1865-d3e7e995.jpg
b'Untitled',b'Jean-Baptiste-Camille Corot',b'1865',b'FR',https://az333959.vo.msecnd.net/images-0/untitled-jean-baptiste-camille-corot-1865-12-b989e15f.jpg
b"Ville-d'Avray",b'Jean-Baptiste-Camille Corot',b'1865',b'FR',https://az334034.vo.msecnd.net/images-0/untitled-jean-baptiste-camille-corot-1865-11-a6454afd.jpg
b'Earth Mother',b'Edward Burne-Jones',b'1882',b'GB',https://az334034.vo.msecnd.net/images-5/earth-mother-edward-burne-jones-1882-576b37bf.jpg
b'Pharaoh and His Host Lost in the Red Sea',b'Benjamin West',b'1792',b'US',https://az333960.vo.msecnd.net/images-8/pharaoh-and-his-host-lost-in-the-red-sea-benjamin-west-1792-bea9aabf.jpg
b'Frozen Moat Outside City Walls',b'Jan Asselijn',b'1647',b'NL',https://az334034.vo.msecnd.net/images-2/frozen-moat-outside-city-walls-jan-asselijn-1647-5b3b195f.jpg
b'The Shipwreck',b'Hubert Robert',b'1750',b'FR',https://az334033.vo.msecnd.net/images-0/the-shipwreck-hubert-robert-1750-190e77ce.jpg
b'Roman Ruins',b'Hubert Robert',b'1760',b'FR',https://az334033.vo.msecnd.net/images-8/roman-ruins-hubert-robert-1760-6884f075.jpg
