Title,Artist,Year,Country,Thumbnail
b'The Night Caf\xc3\xa9',b'Vincent van Gogh',b'1888',b'NL',https://az333959.vo.msecnd.net/images-8/the-night-cafe-vincent-van-gogh-1888-1-0091f4b8.jpg
|b'Richard, Duke of Gloucester, and the Lady Anne'|,b'Edwin Austin Abbey',b'1896',b'US',https://az334033.vo.msecnd.net/images-6/richard-duke-of-gloucester-and-the-lady-anne-edwin-austin-abbey-1896-300b19bb.jpg
b'Valley of the Yosemite',b'Albert Bierstadt',b'1868',,https://az333960.vo.msecnd.net/images-8/valley-of-the-yosemite-albert-bierstadt-1868-72bd34f9.jpg
b'Ave Caesar Morituri te Salutant',b'Jean-L\xc3\xa9on G\xc3\xa9r\xc3\xb4me',b'1859',b'FR',https://az333960.vo.msecnd.net/images-1/ave-caesar-morituri-te-salutant-jean-leon-gerome-1859-8e362cf3.jpg
|b'Yosemite Valley, Glacier Point Trail'|,b'Albert Bierstadt',b'1873',,https://az334034.vo.msecnd.net/images-8/yosemite-valley-glacier-point-trail-albert-bierstadt-1873-09749091.jpg
b'The Vesper Hymn',b'Thomas Cole',b'1838',b'US',https://az334033.vo.msecnd.net/images-6/the-vesper-hymn-thomas-cole-1838-023d58c5.jpg
|b'Jeanne Pissarro, Called Minette, with a Bouquet'|,b'Camille Pissarro',b'Bouquet',b'FR',https://az333960.vo.msecnd.net/images-6/jeanne-pissarro-called-minette-with-a-bouquet-camille-pissarro-68f0c64a.jpg
b'Spinning by Firelight - The Boyhood of George Washington...',b'Henry Ossawa Tanner',b'1894',b'US',https://az333960.vo.msecnd.net/images-0/spinning-by-firelight-the-boyhood-of-george-washington-gray-henry-ossawa-tanner-1894-fa72b593.jpg
b'Mt. Ktaadn',b'Frederic Edwin Church',b'1853',b'US',https://az333959.vo.msecnd.net/images-9/mt-ktaadn-frederic-edwin-church-1853-d30cc1a1.jpg
b'The Knifegrinder',b'Kazimir Malevich',b'Knifegrinder',b'RU',https://az334033.vo.msecnd.net/images-3/the-knifegrinder-kazimir-malevich-2ea1c0ee.jpg
b'An Old Song',b'Edwin Austin Abbey',b'1885',b'US',https://az333960.vo.msecnd.net/images-6/an-old-song-edwin-austin-abbey-1885-9d9ab37f.jpg
b'Untitled',b'Jean-Baptiste-Camille Corot',b'1851',b'FR',https://az334034.vo.msecnd.net/images-7/untitled-jean-baptiste-camille-corot-1851-2-6403f474.jpg
b'Jungle Orchids and Hummingbirds',b'Martin Johnson Heade',b'1872',b'US',https://az333959.vo.msecnd.net/images-2/jungle-orchids-and-hummingbirds-martin-johnson-heade-1872-87e3317a.jpg
b'The Duck Pond at Ennery',b'Camille Pissarro',b'Ennery',b'FR',https://az334033.vo.msecnd.net/images-3/the-duck-pond-at-ennery-camille-pissarro-ed913274.jpg
b'Lake Nemi',b'George Inness',b'1857',b'US',https://az334033.vo.msecnd.net/images-4/lake-nemi-george-inness-1857-3366703a.jpg
b'The Seine at Bougival',b'Alfred Sisley',b'1872',b'GB',https://az333960.vo.msecnd.net/images-0/the-seine-at-bougival-alfred-sisley-1872-a814598d.jpg
b'View of Saint-Ouen-l\xe2\x80\x99Aum\xc3\xb4ne',b'Camille Pissarro',b'Saint-Ouen-l\xe2\x80\x99Aum\xc3\xb4ne',b'FR',https://az334033.vo.msecnd.net/images-1/view-of-saint-ouen-l-aumone-camille-pissarro-eab7b672.jpg
b'Landscape',b'Sanford Robinson Gifford',b'1865',b'US',https://az333959.vo.msecnd.net/images-1/landscape-sanford-robinson-gifford-1865-044ae0b1.jpg
b'Proun\xc2\xa099',b'El Lissitzky',b'1924',,https://az334034.vo.msecnd.net/images-4/proun-99-el-lissitzky-1924-0aae85ba.jpg
