Title,Artist,Year,Country,Thumbnail
b'Preparing for a Fancy Dress Ball',b'William Etty',b'1833',b'GB',https://az334034.vo.msecnd.net/images-4/preparing-for-a-fancy-dress-ball-william-etty-1833-8d1232b0.jpg
b'Venus and Cupid',b'William Etty',b'1825',b'GB',https://az333960.vo.msecnd.net/images-1/venus-and-cupid-william-etty-1825-5ca2945b.jpg
b'Portrait of Nicolas Poussin',b'Gian Lorenzo Bernini',b'Poussin',b'IT',https://az334033.vo.msecnd.net/images-5/portrait-of-nicolas-poussin-gian-lorenzo-bernini-c77c89dd.jpg
b'The Wrestlers',b'William Etty',b'Wrestlers',b'GB',https://az333960.vo.msecnd.net/images-8/the-wrestlers-william-etty-762cc289.jpg
b'Johann Anton Sarg and three friends playing whist by...',b'Mary Ellen Best',b'by...',b'GB',https://az334034.vo.msecnd.net/images-9/johann-anton-sarg-and-three-friends-playing-whist-by-candlelight-mary-ellen-best-68715fd4.jpg
b'White Roses',b'Henri Fantin-Latour',b'1875',b'FR',https://az334033.vo.msecnd.net/images-1/white-roses-henri-fantin-latour-1875-8a076107.jpg
b'Miss Elizabeth Potts',b'William Etty',b'Potts',b'GB',https://az334034.vo.msecnd.net/images-2/miss-elizabeth-potts-william-etty-dd3507e0.jpg
b'The Bridge of Sighs',b'William Etty',b'1833',b'GB',https://az334034.vo.msecnd.net/images-8/the-bridge-of-sighs-william-etty-1833-d82afb3b.jpg
b'James Atkinson',b'William Etty',b'1832',b'GB',https://az333959.vo.msecnd.net/images-7/james-atkinson-william-etty-1832-305d68b1.jpg
|b'Male Nude, with Arms Up-Stretched'|,b'William Etty',b'1828',b'GB',https://az333959.vo.msecnd.net/images-4/male-nude-with-arms-up-stretched-william-etty-1828-0db2760e.jpg
b'A Bacchante',b'William Etty',b'1830',b'GB',https://az333959.vo.msecnd.net/images-3/a-bacchante-william-etty-1830-fd976032.jpg
b'Portrait of a Man with a Book',b'Parmigianino',b'1524',b'IT',https://az333959.vo.msecnd.net/images-5/untitled-parmigianino-1524-1-13058083.jpg
b'A Game Stall',b'Frans Snyders',b'1630',,https://az333960.vo.msecnd.net/images-2/a-game-stall-frans-snyders-1630-80736f44.jpg
b'Mademoiselle Rachel',b'William Etty',b'1841',b'GB',https://az334033.vo.msecnd.net/images-5/mademoiselle-rachel-william-etty-1841-ce46a40b.jpg
|b'The Piazza San Martino, Lucca'|,b'Bernardo Bellotto',b'1742',b'IT',https://az334033.vo.msecnd.net/images-5/the-piazza-san-martino-lucca-bernardo-bellotto-1742-b5d8b455.jpg
|b'The Fishponds, Givendale'|,b'William Etty',b'1843',b'GB',https://az334033.vo.msecnd.net/images-2/the-fishponds-givendale-william-etty-1843-a0029b99.jpg
b'Benaiah',b'William Etty',b'1829',b'GB',https://az334033.vo.msecnd.net/images-4/benaiah-william-etty-1829-32bc7a7a.jpg
b'Givendale Church',b'William Etty',b'1843',b'GB',https://az334033.vo.msecnd.net/images-4/givendale-church-william-etty-1843-229fd385.jpg
b'Man with a Missal',b'Bernardino Licinio',b'1524',,https://az334034.vo.msecnd.net/images-8/man-with-a-missal-bernardino-licinio-1524-4174e38a.jpg
b'Scaffolding at the West End of the Minster',b'Joseph Halfpenny',b'1796',,https://az334034.vo.msecnd.net/images-0/scaffolding-at-the-west-end-of-the-minster-joseph-halfpenny-1796-0ed5367e.jpg
b'Italian Port Scene',b'Anonymous',b'1660',,https://az334034.vo.msecnd.net/images-1/italian-port-scene-anonymous-1660-bcddf827.jpg
b'Lucretia',b'Francesco Francia',b'1510',,https://az334034.vo.msecnd.net/images-0/lucretia-francesco-francia-1510-1a2792fb.jpg
b'Reverend Charles Wellbeloved (1769\xe2\x80\x931858)',b'Chester Earles',b'1859',,https://az334034.vo.msecnd.net/images-5/reverend-charles-wellbeloved-1769-1858-chester-earles-1859-3c156ce7.jpg
b'Tate Wilkinson',b'Stephen Hewson',b'1775',,https://az334034.vo.msecnd.net/images-5/tate-wilkinson-stephen-hewson-1775-1202adba.jpg
b'The Volunteers',b'Frederick Daniel Hardy',b'1860',,https://az333959.vo.msecnd.net/images-2/the-volunteers-frederick-daniel-hardy-1860-dde004d2.jpg
b'Ripon Minster',b'Hendrik-Frans De Cort',b'1800',,https://az333959.vo.msecnd.net/images-3/ripon-minster-hendrik-frans-de-cort-1800-bcfa21c5.jpg
b'Coastal Scene with Crab-Catchers',b'Nicolaes Pieterszoon Berchem',b'1658',,https://az333959.vo.msecnd.net/images-5/coastal-scene-with-crab-catchers-nicolaes-pieterszoon-berchem-1658-c61b099a.jpg
b'St John Preaching',b'Salvator Rosa',b'1660',b'IT',https://az334033.vo.msecnd.net/images-0/st-john-preaching-salvator-rosa-1660-62ff0cc2.jpg
