Title,Artist,Year,Country,Thumbnail
b'Glen Ellis Falls',b'Albert Bierstadt',b'1869',,https://az333959.vo.msecnd.net/images-7/glen-ellis-falls-albert-bierstadt-1869-94befffe.jpg
|b'View of the Shrewsbury River, New Jersey'|,b'John Frederick Kensett',b'1859',b'US',https://az333959.vo.msecnd.net/images-7/view-of-the-shrewsbury-river-new-jersey-john-frederick-kensett-1859-b59d90b0.jpg
b'Girl in White With Cherries',b'Micah Williams',b'1831',,https://az333960.vo.msecnd.net/images-9/girl-in-white-with-cherries-micah-williams-1831-b20bf494.jpg
b'Portrait of an Artist in Her Studio',b'Anonymous',b'1790',,https://az334034.vo.msecnd.net/images-9/portrait-of-an-artist-in-her-studio-anonymous-1790-f61aa272.jpg
b'Susanna and the Elders',b'Domenico di Michelino',b'1467',,https://az334034.vo.msecnd.net/images-4/susanna-and-the-elders-domenico-di-michelino-1467-1147d222.jpg
b'The Mystic Marriage of St Catherine',b'Anonymous',b'1497',,https://az333960.vo.msecnd.net/images-4/the-mystic-marriage-of-st-catherine-anonymous-1497-0d96cf1d.jpg
b'The Good Shepherd',b'Henry Ossawa Tanner',b'1902',b'US',https://az333959.vo.msecnd.net/images-9/the-good-shepherd-henry-ossawa-tanner-1902-680623fd.jpg
b'Calm Before the Storm',b'Nikolay Nikanorovich Dubovskoy',b'Storm',b'RU',https://az334033.vo.msecnd.net/images-9/calm-before-the-storm-nikolay-nikanorovich-dubovskoy-b716cd58.jpg
b'Head of a Man',b'Merry-Joseph Blondel',b'1818',b'FR',https://az333960.vo.msecnd.net/images-1/head-of-a-man-merry-joseph-blondel-1818-2e29ef5f.jpg
b'Dilettante',b'Vladimir Makovsky',b'1896',,https://az334034.vo.msecnd.net/images-4/dilettante-vladimir-makovsky-1896-a5130fbd.jpg
b'Portrait of Adolphe Monet',b'Claude Monet',b'Monet',b'FR',https://az333960.vo.msecnd.net/images-6/portrait-of-adolphe-monet-claude-monet-c11acd04.png
b'Simeon de Witt',b'Ezra Ames',b'1804',b'US',https://az333960.vo.msecnd.net/images-9/simeon-de-witt-ezra-ames-1804-464442ef.jpg
b'View of the New Brunswick Railroad Bridge',b'John Jesse Barker',b'1856',,https://az333959.vo.msecnd.net/images-1/view-of-the-new-brunswick-railroad-bridge-john-jesse-barker-1856-8bbbf2e5.jpg
